"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.886833332E-3,5.212124710E-1,2.565307993E-1,-6.508500659E-1,8.723968702E-1
1.289683336E-2,1.637578342E-1,3.205122024E-2,-5.995974666E-1,6.223833472E-1
2.290783334E-2,-5.663132513E-2,3.485379070E-2,-4.938874090E-1,4.983439239E-1
3.291783336E-2,-1.505687267E-2,-6.075140119E-2,-2.478599632E-1,2.556403793E-1
4.292783333E-2,-5.354470789E-2,-1.245500788E-1,1.235399723E-2,1.361336811E-1
5.293883337E-2,8.766087234E-2,-2.214106679E-2,6.908251405E-2,1.137851006E-1
6.294883334E-2,4.856523366E-1,-8.045593321E-2,3.234130061E-1,5.890053665E-1
7.295883336E-2,7.007681845E-1,-1.984246784E-1,7.958347017E-1,1.078796215E0
8.296983334E-2,7.032267925E-1,-1.731269923E-1,7.841531342E-1,1.067425414E0
9.297983337E-2,7.448789947E-1,-2.897032231E-2,4.582229018E-1,8.750155565E-1
1.029898333E-1,8.290075640E-1,5.630430132E-2,1.586033857E-1,8.459188788E-1
1.130008334E-1,5.778525487E-1,-3.252045929E-2,-1.777518475E-1,6.054476588E-1
1.230108333E-1,3.059401735E-1,-3.389338553E-3,-5.712934345E-1,6.480640907E-1
1.330208334E-1,7.853738867E-2,1.165233135E-1,-9.781251580E-1,9.881673080E-1
1.430308333E-1,5.095029831E-2,2.893868887E-1,-1.258609661E0,1.292454635E0
1.530418334E-1,1.511465777E-1,4.028977168E-1,-9.191448784E-1,1.014888745E0
1.630518333E-1,3.600178917E-1,2.759821469E-1,3.699439788E-1,5.853525221E-1
1.730618334E-1,1.069042052E-1,6.392000735E-2,2.061166906E0,2.064926946E0
1.830728333E-1,-6.950351357E-1,-1.410822040E-1,2.363017135E0,2.467149774E0
1.930828334E-1,-1.067401616E0,-3.122556415E-1,1.857342324E0,2.164848795E0
2.030928333E-1,-7.594523026E-1,-3.244573188E-1,1.238898697E0,1.488929257E0
2.131038333E-1,-1.478168808E-1,-2.315640655E-1,6.514552528E-1,7.070118054E-1
2.231138333E-1,5.518413560E-1,-8.528310210E-2,6.576796138E-1,8.627540577E-1
2.331238334E-1,7.201632527E-1,-3.393285424E-2,5.153542918E-1,8.862147568E-1
2.431338333E-1,1.044868347E0,-4.230232483E-1,1.272762262E0,1.700183021E0
2.531448333E-1,1.167806202E0,-6.933929452E-1,1.625440582E0,2.118164816E0
2.631548333E-1,9.885451886E-1,-8.234098783E-1,1.662492049E0,2.102166794E0
2.731648334E-1,-9.933352277E-2,-1.016740462E0,-7.849518639E-1,1.288323618E0
2.831758333E-1,-2.509937199E0,-5.037779742E-1,-1.142443027E0,2.803346761E0
2.931858333E-1,-3.246372668E0,-2.554706991E0,-1.889761627E-1,4.135356732E0
3.031958333E-1,-6.351169628E-1,-1.239756776E0,1.886045721E0,2.344683109E0
3.132068333E-1,-3.282188326E-2,9.074349520E-1,2.225015829E0,2.403166850E0
3.232168333E-1,-6.653616858E-1,1.591112164E-1,-5.458486909E-1,8.751990319E-1
3.332268333E-1,-1.104135287E0,8.265837470E-1,-1.027396136E0,1.719854134E0
3.432378334E-1,-5.224987122E-1,1.017031654E0,-3.690522784E-1,1.201481533E0
3.532478333E-1,-9.188022316E-3,-1.674043223E-1,-5.543832868E-1,5.791799855E-1
3.632578333E-1,4.660999784E-1,-1.136361338E0,-6.465880305E-1,1.388035433E0
3.732678333E-1,-2.540922180E-1,-2.552076913E0,-1.949817794E0,3.221715204E0
3.832788334E-1,-9.807175210E-1,-2.962517538E0,-3.812889805E0,4.927113322E0
3.932888333E-1,-1.353250062E0,-2.954067434E0,-4.371350940E0,5.446697089E0
4.032988333E-1,-1.705231394E0,-3.875016471E0,-2.591164380E0,4.963637739E0
4.133098333E-1,-4.179875677E0,-5.211086537E0,-1.286037195E0,6.802990169E0
4.233198334E-1,-2.790506779E0,-6.718258411E0,-1.100592166E0,7.357528612E0
4.333298333E-1,-1.278431137E0,-4.912787322E0,8.673876643E-1,5.149973476E0
4.433408334E-1,1.434277853E0,-1.537086815E-1,2.914390860E0,3.251838465E0
4.533508333E-1,3.565003529E-1,1.126994684E0,3.500121070E0,3.694327682E0
4.633608334E-1,-3.608282281E0,1.508584562E0,3.855199088E0,5.491638044E0
4.733708333E-1,-1.146462404E0,2.382009476E0,3.552700403E0,4.428320826E0
4.833818334E-1,1.388488015E0,5.332465378E0,-2.869018221E-1,5.517734919E0
4.933918333E-1,-9.448097697E-1,3.112220292E0,-2.275079105E0,3.969202134E0
5.034018334E-1,4.630332307E0,1.919660779E0,-5.025260854E-1,5.037619204E0
5.134128333E-1,3.212132251E0,2.733400825E0,-1.183097548E0,4.380524338E0
5.234228334E-1,2.266595380E0,8.344274944E-1,-3.849541322E0,4.544523325E0
5.334328333E-1,-2.380234846E-1,-9.676066017E-1,-2.778568227E0,2.951839953E0
5.434438334E-1,8.703989804E-2,-3.217909884E-1,-2.262464322E0,2.286890944E0
5.534538333E-1,3.515960008E-2,9.972250879E-1,-1.300708444E0,1.639370773E0
5.634638334E-1,1.326397017E-1,1.434607928E0,-1.220810920E0,1.888404750E0
5.734738333E-1,1.169764727E-1,1.559758224E0,-1.565510130E-1,1.571953381E0
5.834848334E-1,-3.374907625E-1,5.422117227E-1,1.295414375E0,1.444296358E0
5.934948333E-1,-1.192803634E0,3.848953092E-1,1.589970202E0,2.024581476E0
6.035056250E-1,1.169831970E-1,2.044383059E0,-4.377979928E-1,2.094004356E0
6.135166250E-1,3.608529618E0,5.716004133E0,-3.552709758E-1,6.769077243E0
6.235266250E-1,6.476490662E0,7.501659594E0,1.996279185E0,1.010964681E1
6.335366250E-1,5.597716130E0,5.464037086E0,2.506997804E0,8.214326822E0
6.435476250E-1,2.964796783E0,9.561524910E-1,3.974217993E-1,3.140412654E0
6.535576250E-1,2.297077207E0,-2.162579845E0,-1.185635825E0,3.370318619E0
6.635676250E-1,2.167537699E0,-1.710719883E0,-3.055964815E0,4.118701634E0
6.735776250E-1,1.553384759E0,2.466162604E-1,-3.883034758E0,4.189484780E0
6.835886250E-1,1.735599786E-2,-1.511041562E0,-3.048266371E0,3.402275077E0
6.935986250E-1,-1.090466250E0,-2.537966412E0,-1.493926177E0,3.140414873E0
7.036086250E-1,-1.037418848E0,-4.418383604E0,5.810074139E-1,4.575578778E0
7.136196250E-1,7.962787977E-1,-4.394301846E0,1.121938012E0,4.604638264E0
7.236296250E-1,1.808524505E0,-4.567347854E0,1.554644834E0,5.152508891E0
7.336396250E-1,2.986440836E0,-6.154499114E0,2.589055290E0,7.314362276E0
7.436506250E-1,2.213770172E0,-6.753310715E0,2.647661932E0,7.584068677E0
7.536606250E-1,1.514316880E0,-5.274621212E0,1.257995118E0,5.630038745E0
7.636706250E-1,1.210439421E0,-1.799086515E0,-1.684339001E0,2.745700958E0
7.736806250E-1,8.858093172E-1,7.432816815E-1,-2.951026005E0,3.169492118E0
7.836916250E-1,4.965876532E-1,1.474426882E0,-2.224848599E0,2.714863756E0
7.937016250E-1,7.446440828E-1,1.307664877E0,-6.864420676E-1,1.653990614E0
8.037116250E-1,1.720016810E0,1.033324043E0,1.279253840E0,2.379644258E0
8.137226250E-1,1.870457629E0,-4.799938399E-1,4.680720688E0,5.063413077E0
8.237326250E-1,5.298268814E-1,-2.141236923E0,8.447168983E0,8.730422436E0
8.337426250E-1,6.299089940E-1,3.063303655E-1,5.294810479E0,5.340940146E0
8.437536250E-1,-2.900315443E-1,7.589564295E0,-7.112461903E0,1.040541776E1
8.537636250E-1,1.373209094E0,1.208261041E0,-2.490826160E0,3.090277159E0
8.637736250E-1,-4.579593386E-1,9.161347318E-1,5.885350024E0,5.973807371E0
8.737846250E-1,-3.177334301E0,1.114081693E0,-2.308791227E0,4.082541881E0
8.837946250E-1,-1.640532830E0,1.228814589E0,-4.198221316E0,4.671872802E0
8.938046250E-1,-4.702374682E-2,5.202678825E0,-3.457824066E0,6.247129378E0
9.038146250E-1,-5.909980396E-1,6.322793675E0,-2.015960913E0,6.662664403E0
9.138256250E-1,-1.438921419E0,5.258541369E0,2.523389304E-1,5.457694304E0
9.238356250E-1,-2.438811083E0,4.643622444E0,-6.610826933E-1,5.286592402E0
9.338456250E-1,-2.599195823E0,2.287857610E0,8.563966531E-1,3.567005270E0
9.438566250E-1,-2.148123920E0,1.309021431E0,5.999640870E-1,2.586103321E0
9.538666250E-1,-1.453618834E0,9.334495068E-2,4.531375784E-1,1.525468669E0
