"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.803541603E-3,4.215576437E-1,-3.985590827E-1,-3.463227478E0,3.511481846E0
1.280954166E-2,9.065759960E-1,-4.186629796E-1,-3.028900977E0,3.189263215E0
2.281654160E-2,8.268335693E-1,-2.795243901E-1,-1.939176446E0,2.126544833E0
3.282254166E-2,5.893809190E-1,-3.636833650E-1,-9.665564418E-1,1.189061316E0
4.282854171E-2,4.923704951E-1,-8.108257931E-1,-6.885301083E-1,1.172152243E0
5.283454165E-2,4.151040718E-2,-1.388599112E0,-7.162090731E-1,1.562973462E0
6.284054171E-2,-5.162246498E-1,-1.829694934E0,-1.018535265E0,2.156776653E0
7.284654165E-2,-1.010151235E0,-1.773209077E0,-1.362946208E0,2.454037146E0
8.285254170E-2,-1.295430601E0,-1.063580168E0,-7.173334926E-1,1.823159498E0
9.285854164E-2,-9.727020116E-1,-5.279719985E-1,1.019190738E0,1.504544248E0
1.028645417E-1,-1.260431653E-1,-5.798116583E-1,2.528898550E0,2.597575084E0
1.128715416E-1,5.399750897E-1,-1.480994767E0,3.330866396E0,3.685049464E0
1.228775417E-1,1.953993291E-3,-2.941654673E0,3.494166266E0,4.567552290E0
1.328835416E-1,-4.956414275E-1,-3.674814824E0,1.710125806E0,4.083436627E0
1.428895417E-1,-4.583902418E-1,-3.639714573E0,-4.073059326E-1,3.691008251E0
1.528955416E-1,3.105434306E-1,-2.942917086E0,-2.515876216E0,3.884177047E0
1.629015417E-1,1.581431221E0,-1.627866007E0,-3.570134461E0,4.230452991E0
1.729075416E-1,1.975630035E0,-1.097843975E0,-3.721770304E0,4.354302427E0
1.829135417E-1,1.813078902E0,-1.658513018E0,-3.962690207E0,4.662706748E0
1.929205416E-1,1.443357702E0,-2.457596141E0,-3.512904253E0,4.523666272E0
2.029265417E-1,3.773148327E-1,-3.348921429E0,-2.863597267E0,4.422423604E0
2.129325416E-1,-4.008204934E-1,-4.398760056E0,-1.865585144E0,4.794805004E0
2.229385417E-1,2.225266090E-1,-5.671036121E0,-1.842393333E-1,5.678389993E0
2.329445416E-1,1.371573482E0,-6.478296282E0,1.144652106E0,6.720101560E0
2.429505417E-1,1.867205700E0,-5.561510171E0,1.295252992E0,6.007872570E0
2.529565416E-1,2.109879037E0,-3.689218270E0,-4.786741233E-1,4.276803703E0
2.629625417E-1,2.233610651E0,-2.533697360E0,-3.407495912E0,4.797881537E0
2.729695416E-1,1.576779469E0,-3.346377013E0,-6.203640284E0,7.222854379E0
2.829755417E-1,-6.785144126E-1,-4.387218237E0,-5.041447701E0,6.717459385E0
2.929815416E-1,-1.443284027E0,-5.751785585E0,-3.723719766E0,7.002299272E0
3.029875417E-1,-1.218618506E0,-7.287815223E0,-1.949175770E0,7.641764715E0
3.129935417E-1,-1.223055374E0,-7.897706712E0,-5.141123432E-1,8.008367328E0
3.229995416E-1,-1.083772066E0,-7.219679373E0,8.653996110E-2,7.301083570E0
3.330055417E-1,-4.515336871E-1,-5.914541078E0,2.203341955E-1,5.935842484E0
3.430115416E-1,2.783964622E-1,-4.677716973E0,-5.432355702E-2,4.686308966E0
3.530185417E-1,4.029842556E-1,-4.086938570E0,-6.973623276E-1,4.165546471E0
3.630245416E-1,7.737035751E-2,-3.942171451E0,-1.268052329E0,4.141818276E0
3.730305417E-1,-4.584334016E-2,-3.698695730E0,-1.492117633E0,3.988592075E0
3.830365416E-1,2.278466982E-1,-3.612383810E0,-1.109153075E0,3.785690353E0
3.930425417E-1,6.498671490E-1,-3.840725767E0,-7.709150380E-1,3.970870399E0
4.030485416E-1,6.685326308E-1,-4.135190963E0,5.364528000E-2,4.189226419E0
4.130545417E-1,3.270137215E-1,-4.896483823E0,1.657918357E0,5.179882728E0
4.230605416E-1,3.143229246E-1,-5.561104374E0,3.962689623E0,6.835758173E0
