"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.128333334E-3,-1.714127348E0,1.120543451E0,-4.872549123E-1,2.105057610E0
1.613833336E-2,-1.165999120E0,7.554146540E-1,6.666176677E-1,1.540968644E0
2.614933334E-2,-7.473738554E-1,9.018704492E-1,2.421105130E0,2.689551642E0
3.615933337E-2,-4.407569763E-1,5.921264791E-1,3.407504098E0,3.486540500E0
4.616933333E-2,-4.043785241E-1,9.274151802E-2,2.773761815E0,2.804617191E0
5.618033337E-2,8.507844955E-2,-7.130878294E-1,1.662595544E0,1.811065029E0
6.619033334E-2,4.261860073E-1,-1.533204263E0,1.348472595E0,2.085839918E0
7.620033337E-2,4.887205169E-1,-1.478464969E0,1.194490263E0,1.962527299E0
8.621033333E-2,7.802483636E-1,-1.109109221E0,1.833762258E0,2.280700504E0
9.622133337E-2,3.956082854E-1,-8.126460314E-1,2.151287118E0,2.333438611E0
1.062313333E-1,1.432371661E0,-2.238296610E0,1.375930535E0,2.992464724E0
1.162413334E-1,2.027991413E0,-4.053451273E0,3.280592036E-1,4.544319447E0
1.262523333E-1,1.894962287E0,-4.763069950E0,-1.015387709E0,5.225775504E0
1.362623334E-1,1.028308594E0,-4.697716205E0,-8.203047144E-1,4.878407110E0
1.462723333E-1,6.590136561E-1,-4.737761446E0,1.937165004E-1,4.787296586E0
1.562823334E-1,9.932583368E-1,-5.084803051E0,3.852104741E-1,5.195206569E0
1.662933333E-1,1.481290929E0,-4.707921935E0,-6.513026404E-1,4.978247372E0
1.763033334E-1,2.361019726E0,-3.871570122E0,-1.669797560E0,4.832358974E0
1.863133333E-1,1.088878439E0,-4.298339097E0,-2.257160897E0,4.975555302E0
1.963243334E-1,-2.712720685E-1,-4.100641812E0,-2.035774203E0,4.586199779E0
2.063343333E-1,2.075507203E-1,-4.354106331E0,-1.715412274E0,4.684437908E0
2.163443334E-1,1.184618555E0,-5.244020394E0,-1.113813013E0,5.490323346E0
2.263543333E-1,1.600421808E0,-4.938479987E0,-9.479400766E-1,5.277170164E0
2.363653334E-1,1.049927943E0,-4.331716173E0,-1.305635600E0,4.644437319E0
2.463753333E-1,6.282173945E-1,-4.037620522E0,-2.031335874E0,4.563262211E0
2.563853334E-1,-5.230030346E-1,-3.792276031E0,-3.189093052E0,4.982489755E0
2.663963333E-1,-2.456331680E0,-2.522940238E0,-5.451180228E0,6.489542252E0
2.764063334E-1,-2.608909803E0,-4.024983519E-1,-7.216680336E0,7.684327580E0
2.864163333E-1,-2.484544788E0,4.709347486E-3,-4.614794209E0,5.241117302E0
2.964263334E-1,-1.387636076E0,6.368839914E-1,-3.425231686E-1,1.564761074E0
3.064373333E-1,-1.371227034E0,3.408234415E0,5.983607805E-1,3.722144682E0
3.164473334E-1,-2.385705501E0,5.918050577E0,2.197848788E0,6.748737117E0
3.264573333E-1,-1.878080644E0,9.938168628E0,4.283176974E0,1.098362361E1
3.364683334E-1,-2.048726078E0,1.229077246E1,5.672035995E0,1.369059380E1
3.464783333E-1,-4.922639295E-1,1.431548899E1,5.998051012E0,1.552907482E1
3.564883334E-1,9.697007820E-1,1.624076310E1,5.924205356E0,1.731470227E1
3.664983333E-1,4.232263221E0,1.812476054E1,7.297319287E0,1.999174493E1
3.765093334E-1,2.156340866E0,1.668518423E1,2.286439075E0,1.697860366E1
3.865193333E-1,2.264415538E0,1.293974791E1,2.984023013E0,1.347104476E1
3.965293334E-1,1.670997116E0,1.183338922E1,4.714773703E-1,1.196008456E1
4.065403334E-1,1.717458799E-1,1.107830551E1,-1.828292187E0,1.122947025E1
4.165503334E-1,-3.111516872E-1,1.055769048E1,-1.187630164E0,1.062883385E1
4.265603333E-1,-6.329523236E-2,9.247447568E0,-1.884200340E0,9.437664104E0
4.365703334E-1,2.758596185E0,7.961322080E0,-1.690097777E0,8.593540171E0
4.465813334E-1,-5.172145835E-1,4.732538128E0,-5.273581870E-1,4.789836607E0
4.565914167E-1,-1.820797811E0,4.944327788E0,1.155550073E0,5.394161465E0
4.666014167E-1,-1.436027048E0,3.886416203E0,2.273550643E0,4.726038204E0
4.766124167E-1,-1.088312721E0,-8.749118614E-1,1.594409409E0,2.119442546E0
4.866224167E-1,-1.300233943E0,-4.883965226E0,-3.963978788E-1,5.069601160E0
4.966324167E-1,-7.599728510E-1,-7.241021710E0,-2.192935081E0,7.603875223E0
5.066424167E-1,-1.294056067E-1,-8.806183346E0,-3.510938419E0,9.481154967E0
5.166534167E-1,8.096840512E-2,-9.472788734E0,-4.672179660E0,1.056264858E1
5.266634167E-1,9.579142570E-2,-9.528356579E0,-4.789361370E0,1.066474273E1
5.366734167E-1,5.094430491E-1,-9.718394011E0,-3.802721497E0,1.044832069E1
5.466844167E-1,5.863830150E-1,-9.691415543E0,-1.813018091E0,9.876963848E0
5.566944167E-1,-8.879435509E-2,-1.012537425E1,-7.809272254E-1,1.015583259E1
5.667044167E-1,-1.241748630E0,-1.151219464E1,6.773820262E-2,1.157916895E1
5.767144167E-1,-2.193922968E0,-1.250369648E1,1.212109678E0,1.275244813E1
5.867254167E-1,-3.718336235E0,-1.250751471E1,-2.501518378E0,1.328614100E1
5.967354167E-1,-1.980454865E0,-1.226868402E1,-4.334364377E0,1.316166872E1
6.067454167E-1,-3.961782135E0,-1.337556895E1,-2.175774672E0,1.411862451E1
6.167564167E-1,-2.397362218E0,-1.291541179E1,-1.467780352E0,1.321777540E1
6.267664167E-1,-1.764846682E0,-1.185625066E1,-1.399022359E0,1.206824872E1
6.367764167E-1,-1.566185191E0,-1.176874708E1,-2.075972056E0,1.205263472E1
6.467864167E-1,-1.425840613E0,-1.157932770E1,-2.265145855E0,1.188464291E1
6.567974167E-1,-2.195033939E0,-1.214845591E1,-5.607175756E-1,1.235789461E1
6.668074167E-1,-3.756530247E0,-1.269785561E1,5.733440530E-1,1.325427403E1
6.768174167E-1,-1.580153020E0,-1.240817168E1,3.417639077E-1,1.251304961E1
6.868284167E-1,2.848659970E0,-1.028855133E1,-1.116604182E0,1.073386962E1
6.968384167E-1,4.428044373E0,-7.221224792E0,-2.759663594E0,8.908950983E0
7.068484167E-1,2.485743468E0,-7.872829149E0,-4.175157193E-1,8.266479224E0
7.168584167E-1,3.704459623E-1,-9.162944192E0,2.009996753E0,9.388123531E0
7.268694167E-1,5.604105967E-1,-8.317342084E0,3.193149850E0,8.926838485E0
7.368794167E-1,1.317361607E0,-7.151390326E0,4.115591973E0,8.355592288E0
7.468894167E-1,8.734660643E-1,-5.700195016E0,3.731437506E0,6.868681973E0
7.568994167E-1,3.644402140E-1,-4.026730083E0,3.609522475E0,5.419965344E0
7.669104167E-1,-7.233510084E-2,-1.675745348E0,4.036383251E0,4.371011849E0
7.769204167E-1,-6.541318157E-1,1.754859345E0,3.149683403E0,3.664413362E0
7.869304167E-1,-1.156538399E0,5.777517427E0,1.901373028E0,6.191325227E0
7.969414167E-1,-1.399259463E0,1.028065876E1,7.243538059E-2,1.037569846E1
8.069514167E-1,-1.441842981E0,1.472983556E1,-3.628542298E-1,1.480468270E1
8.169614167E-1,-5.046505981E-1,1.874195286E1,-3.530460372E-1,1.875206951E1
8.269714167E-1,1.694895271E0,2.186887890E1,-2.369326866E-1,2.193573959E1
8.369824167E-1,4.158356169E0,2.357794285E1,1.062978124E0,2.396541754E1
8.469924167E-1,5.717056047E0,2.390681365E1,2.752320660E0,2.473450500E1
8.570024167E-1,6.551870043E0,2.381449781E1,4.094208705E0,2.503637058E1
8.670134167E-1,6.378405958E0,2.393448735E1,5.451402422E0,2.536260112E1
8.770234167E-1,5.382189515E0,2.368737466E1,6.332056834E0,2.510288083E1
8.870334167E-1,3.620278428E0,2.245133409E1,5.374006922E0,2.336768642E1
8.970444167E-1,2.198972623E0,2.059110090E1,2.266746238E0,2.083187594E1
9.070544167E-1,1.617780437E0,1.877741856E1,-7.554040559E-1,1.886211273E1
9.170644167E-1,1.811868236E0,1.603967735E1,-1.624291019E0,1.622320675E1
9.270744167E-1,1.805685975E0,1.284273207E1,-7.220937109E-1,1.298913732E1
9.370854167E-1,1.723594283E0,9.677354743E0,5.560573447E-1,9.845362962E0
9.470954167E-1,1.494086683E0,6.494282570E0,1.710401795E0,6.879932806E0
9.571054167E-1,1.196353990E0,3.997679946E0,2.666954820E0,4.952308132E0
9.671164167E-1,1.161932017E0,1.871991354E0,3.054904715E0,3.766547551E0
9.771264167E-1,7.707138207E-1,-7.996780765E-1,3.293197464E0,3.475432974E0
9.871364167E-1,4.772292763E-2,-3.774816245E0,3.110815791E0,4.891696029E0
9.971464167E-1,-6.339750016E-1,-6.520681579E0,2.627416533E0,7.058649318E0
1.007157417E0,-9.148452014E-1,-9.185813822E0,1.216396272E0,9.311054570E0
1.017167417E0,-4.820740599E-1,-1.132443587E1,-1.522499181E0,1.143648753E1
1.027177417E0,-4.661868095E-1,-1.337384520E1,-4.443699124E0,1.410047969E1
1.037187417E0,-1.197381712E0,-1.537569561E1,-5.431111414E0,1.635061802E1
1.047198417E0,-2.213917522E0,-1.600082962E1,-3.710685153E0,1.657399058E1
1.057208417E0,-4.168013431E0,-1.505650897E1,-3.199360178E0,1.594699670E1
1.067218417E0,-5.196242795E0,-1.458140866E1,-1.984965992E0,1.560636113E1
1.077229417E0,-5.286912645E0,-1.347343029E1,6.244966650E-1,1.448705509E1
1.087239417E0,-4.371015017E0,-1.249567760E1,2.032543616E0,1.339324325E1
1.097249417E0,8.045063417E-1,-9.285769635E0,-5.994646982E-1,9.339812958E0
1.107259417E0,1.550254890E0,-7.009474894E0,-2.786391217E0,7.700649617E0
1.117270417E0,-1.599533616E-1,-9.627718899E0,-7.119921342E-1,9.655334747E0
1.127280417E0,-1.388952869E0,-9.368316532E0,7.946892321E-1,9.504003141E0
1.137290417E0,-9.287259798E-1,-9.213650662E0,1.627175597E-1,9.261769133E0
1.147301417E0,-1.395100339E-1,-9.642602402E0,-5.167688064E-1,9.657447599E0
1.157311417E0,9.747600853E-2,-9.525931739E0,4.948206246E-1,9.539272745E0
1.167321417E0,-4.736689067E-1,-1.020108049E1,1.094536790E0,1.027056066E1
1.177331417E0,-1.245145862E0,-1.104080264E1,1.054716155E0,1.116074090E1
1.187342417E0,-1.424169625E0,-1.128755865E1,1.224417410E0,1.144274606E1
1.197352417E0,-1.021771699E0,-1.086241579E1,1.720264878E0,1.104515303E1
1.207362417E0,-7.087402052E-1,-1.036527499E1,2.039593019E0,1.058778437E1
