"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.458583357E-3,2.403229022E-1,4.933757776E-1,-2.077597582E-1,5.868039471E-1
1.546858333E-2,1.960454464E-2,4.597815502E-1,-1.205929756E-2,4.603572947E-1
2.547958336E-2,4.452964622E-1,3.494164512E-1,5.119997442E-2,5.683328540E-1
3.548958333E-2,3.848052621E-1,2.103272706E-2,4.031070471E-3,3.854007199E-1
4.549958336E-2,2.420244420E-1,-1.944922797E-2,-8.126167953E-2,2.560421128E-1
5.551058333E-2,2.017716247E-1,2.603365327E-1,-3.608316779E-3,3.293932585E-1
6.552058336E-2,4.919841403E-1,2.218269897E-1,-2.975741601E-1,6.162840160E-1
7.553058333E-2,7.559853423E-1,1.029530954E-1,-6.199147868E-1,9.830602832E-1
8.554158336E-2,1.028529326E0,2.311513252E-1,-7.406287998E-1,1.288345656E0
9.555158333E-2,1.483226357E0,1.702844415E-1,-7.435869062E-1,1.667896491E0
1.055615834E-1,1.942498249E0,-6.174747437E-2,-5.482554048E-1,2.019330629E0
1.155725833E-1,2.364980630E0,-4.195435703E-2,-5.109104079E-1,2.419901443E0
1.255825834E-1,2.592598118E0,-3.921946809E-3,-8.268103266E-1,2.721248922E0
1.355925833E-1,2.524324858E0,1.488455522E-1,-1.089849662E0,2.753569188E0
1.456035834E-1,2.348862780E0,2.583510375E-1,-1.291628888E0,2.692992165E0
1.556135833E-1,2.429592363E0,4.595751435E-1,-1.424893949E0,2.853848477E0
1.656235834E-1,2.577459676E0,6.088519279E-1,-1.424266543E0,3.007080684E0
1.756345833E-1,2.905667399E0,6.762410883E-1,-1.347520960E0,3.273532921E0
1.856445834E-1,3.312004448E0,1.062385582E0,-1.173988756E0,3.671006155E0
1.956545833E-1,3.473788719E0,3.320184264E-1,-1.105080197E0,3.660416171E0
2.056655834E-1,4.060636917E0,-5.123732351E-2,-8.814358923E-1,4.155517617E0
2.156755833E-1,4.642617307E0,9.552669302E-3,-3.157932070E-1,4.653354926E0
2.256855834E-1,4.896202279E0,-2.254886623E-1,-8.840229928E-2,4.902188987E0
2.356965833E-1,5.086242051E0,-3.965061253E-1,6.489707708E-2,5.102086528E0
2.457065834E-1,5.322267834E0,-2.978264675E-1,3.661035275E-1,5.343151438E0
2.557165833E-1,4.858459672E0,8.121139348E-2,-1.097966766E-1,4.860378687E0
2.657265834E-1,3.387851021E0,8.768889512E-1,-7.592524740E-1,3.580912327E0
2.757375833E-1,2.389256516E0,1.143585573E0,-9.635930729E-1,2.818660368E0
2.857475834E-1,1.885790198E0,7.651689792E-1,-1.262899178E0,2.395120576E0
2.957575833E-1,7.535950005E-1,6.172290145E-1,-7.645211077E-1,1.238293021E0
3.057685834E-1,-7.961375874E-1,2.069119120E-1,3.616672450E-1,8.985826582E-1
3.157785833E-1,-2.442028806E0,-2.839630115E-1,2.096568874E0,3.231058762E0
3.257885834E-1,-4.155261823E0,-8.388778102E-1,4.306727512E0,6.042997490E0
3.357995834E-1,-6.206221830E0,-1.142479865E0,6.719131985E0,9.217873089E0
3.458095834E-1,-9.090248684E0,-1.269749338E0,8.285809219E0,1.236525450E1
3.558195833E-1,-1.229401065E1,-1.038773941E0,8.995848311E0,1.526915308E1
3.658305833E-1,-1.532400856E1,-5.358150150E-1,8.789731035E0,1.767404050E1
3.758405834E-1,-1.749594512E1,-3.921768469E-1,7.537373217E0,1.905449798E1
3.858505834E-1,-1.772362283E1,-1.752480698E-1,7.644108292E0,1.930258816E1
3.958615834E-1,-1.727061214E1,-6.844484594E-1,7.972341743E0,1.903419939E1
4.058715833E-1,-1.657011103E1,-6.473841289E-1,5.119280573E0,1.735496238E1
4.158815834E-1,-1.544884194E1,-1.022513126E0,4.666693802E0,1.617066113E1
4.258925833E-1,-1.371217445E1,-1.677857362E0,4.757665368E0,1.461076019E1
4.359025834E-1,-1.175783033E1,-2.307582607E0,4.195619305E0,1.269546111E1
4.459125833E-1,-9.178280854E0,-2.923214893E0,4.271172056E0,1.053702688E1
4.559235834E-1,-6.522374933E0,-3.557474654E0,4.348480725E0,8.608500758E0
4.659335833E-1,-3.554124784E0,-4.667763843E0,4.174482206E0,7.200425263E0
4.759435834E-1,-1.141479991E0,-5.019247577E0,3.945162594E0,6.485378224E0
4.859545833E-1,6.462307656E-1,-4.591543340E0,3.207892435E0,5.638302787E0
4.959645834E-1,2.290171353E0,-3.678400921E0,1.623551639E0,4.627249517E0
5.059745833E-1,3.557030266E0,-2.115639714E0,-7.020930174E-1,4.197776830E0
5.159855834E-1,4.303965873E0,-6.322294615E-1,-2.687158412E0,5.113184590E0
5.259955833E-1,5.549928591E0,6.555455263E-1,-4.201995986E0,6.992010982E0
5.360055834E-1,7.223788211E0,1.964734041E0,-5.344372648E0,9.198131059E0
5.460165833E-1,8.948155496E0,3.202824068E0,-5.631657463E0,1.104731345E1
5.560265834E-1,1.064593432E1,3.623974453E0,-5.535225767E0,1.253426634E1
5.660365833E-1,1.173099979E1,3.801679815E0,-5.230859481E0,1.339518632E1
5.760465834E-1,1.231307140E1,3.994624191E0,-4.461782223E0,1.369219669E1
5.860575833E-1,1.208545567E1,3.942935974E0,-3.393614037E0,1.315756813E1
5.960675834E-1,1.125792379E1,3.308813038E0,-1.852220310E0,1.187938601E1
6.060775833E-1,1.016572472E1,2.987187526E0,-1.197885449E-1,1.059620676E1
6.160885834E-1,9.095305356E0,3.162690242E0,1.269590732E0,9.712829130E0
6.260985833E-1,8.486438298E0,3.310899909E0,2.015418437E0,9.329716216E0
6.361085834E-1,8.362279691E0,3.275740309E0,2.125257799E0,9.229025783E0
6.461195833E-1,8.799971849E0,3.123429404E0,1.133226646E0,9.406355214E0
6.561295834E-1,9.078116296E0,3.033075305E0,-4.083584315E-1,9.580109493E0
6.661395833E-1,8.747181432E0,3.162551663E0,-1.020516887E0,9.357156124E0
6.761505834E-1,8.194659898E0,3.347646444E0,-9.426863533E-1,8.902125876E0
6.861605833E-1,7.511610385E0,3.633567395E0,-4.601734599E-1,8.356964892E0
6.961705834E-1,6.962780199E0,3.961145373E0,1.712053049E-1,8.012508473E0
7.061815833E-1,6.605489010E0,3.890670052E0,6.497203839E-1,7.693629514E0
7.161915834E-1,6.689879535E0,3.427543091E0,9.279484463E-1,7.573878012E0
7.262015833E-1,7.343792372E0,2.495417978E0,9.614225864E-1,7.815544171E0
7.362125834E-1,8.070855047E0,1.041697329E0,1.248143145E0,8.232963976E0
7.462225833E-1,9.147670680E0,-4.243912044E-1,1.809282889E0,9.334532197E0
7.562325834E-1,9.612400948E0,-1.545144570E0,2.867851117E0,1.014939869E1
7.662435833E-1,8.272584572E0,-1.783155922E0,4.314437066E0,9.498929821E0
7.762535834E-1,6.611971818E0,-8.251549798E-1,4.647362323E0,8.123855527E0
7.862635833E-1,4.572716768E0,9.510496259E-4,3.947044812E0,6.040604464E0
7.962745833E-1,3.525157678E0,1.067972012E-2,1.555825971E0,3.853238270E0
8.062845833E-1,4.708593780E0,-1.724876577E0,-1.351057649E0,5.193400751E0
8.162945834E-1,4.564955174E0,-4.333614764E0,-2.725738049E0,6.859204077E0
8.263055834E-1,1.567836737E0,-4.951221655E0,-1.505265098E0,5.407266493E0
8.363155833E-1,-3.737019258E0,-4.069686652E0,1.751772015E0,5.796237364E0
8.463255833E-1,-1.071304983E1,-3.223650388E0,2.991758294E0,1.158067253E1
8.563365833E-1,-1.723820570E1,-3.497248333E0,8.000955677E-1,1.760757322E1
8.663465834E-1,-2.134575892E1,-3.821818503E0,-3.323511769E0,2.193840129E1
8.763565833E-1,-2.384081496E1,-3.595442380E0,-7.335893369E0,2.520172604E1
8.863675834E-1,-2.573701788E1,-2.503994674E0,-9.542443106E0,2.756306041E1
8.963775833E-1,-2.608188198E1,-1.725077868E0,-8.620374620E0,2.752365019E1
9.063875417E-1,-2.336674142E1,-2.659335898E0,-6.432067026E0,2.438130756E1
9.163985417E-1,-1.846712788E1,-4.300877666E0,-4.184087427E0,1.941749078E1
9.264085417E-1,-1.414750199E1,-5.240382257E0,-2.343033253E0,1.526771835E1
9.364185417E-1,-1.161373271E1,-5.207824960E0,-1.795962932E0,1.285401537E1
9.464285417E-1,-1.042881668E1,-4.327519042E0,-2.676728733E0,1.160398704E1
9.564395417E-1,-9.283789768E0,-3.274582268E0,-3.494387875E0,1.044616619E1
9.664495417E-1,-7.566503461E0,-2.625615590E0,-3.174254865E0,8.615203178E0
9.764595417E-1,-6.105225797E0,-1.861165819E0,-2.101545731E0,6.719688587E0
9.864705417E-1,-5.190516032E0,-4.269639793E-1,-1.275612195E0,5.361990432E0
9.964805417E-1,-4.397326611E0,1.071270719E0,-1.298425691E0,4.708504173E0
1.006490542E0,-3.046365441E0,2.318643200E0,-2.239954588E0,4.435520854E0
