"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.281791673E-3,-3.060105228E-1,1.279604673E0,-7.246764261E-1,1.502060745E0
1.529079163E-2,-4.715665403E-1,1.380142869E0,3.557095170E-1,1.501232361E0
2.529879159E-2,-5.301261127E-1,1.414825044E0,1.484010469E0,2.117793822E0
3.530679166E-2,-2.614591250E-1,1.321399986E0,2.050534329E0,2.453395572E0
4.531579162E-2,1.661457092E-2,1.152626538E0,1.943030931E0,2.259246153E0
5.532379169E-2,1.782278109E-1,1.042314137E0,1.632926188E0,1.945413027E0
6.533279165E-2,1.574549925E-1,6.899609220E-1,1.024095383E0,1.244833122E0
7.534079161E-2,3.253779629E-1,4.043542582E-1,2.679966044E-1,5.841193070E-1
8.534979168E-2,6.517939527E-1,4.471006206E-1,-3.234200227E-1,8.540110262E-1
9.535779164E-2,8.835015674E-1,8.676700848E-1,-4.921952248E-1,1.332547386E0
1.053657916E-1,8.016911267E-1,1.373901258E0,-1.088710624E-1,1.594417210E0
1.153747917E-1,4.595585521E-1,1.619869355E0,6.253807640E-1,1.796182588E0
1.253827916E-1,-1.676755966E-1,2.062894466E0,1.416050035E0,2.507757242E0
1.353917916E-1,-5.327631704E-1,2.566315176E0,2.615110483E0,3.702514418E0
1.453997917E-1,6.414030120E-2,2.235366863E0,3.927317476E0,4.519380660E0
1.554087916E-1,7.368843891E-3,1.170089540E0,3.893575534E0,4.065598882E0
1.654167917E-1,-4.382824346E-2,3.859714893E-1,2.991903305E0,3.017015130E0
1.754247916E-1,4.010431261E-1,-2.675036842E-1,1.987369782E0,2.045001824E0
1.854337916E-1,8.296457876E-1,-8.214528152E-1,1.107466738E0,1.609217026E0
1.954417917E-1,8.821056908E-1,-6.644886965E-1,3.882223749E-1,1.170629015E0
2.054507916E-1,1.029999901E0,-2.315570489E-1,-8.386895299E-2,1.059033741E0
2.154587916E-1,1.234185256E0,-2.657772937E-1,-4.092074472E-1,1.327140366E0
2.254677917E-1,1.307868944E0,-5.109858370E-1,-6.337025213E-1,1.540521531E0
2.354757916E-1,1.449854543E0,-5.176484469E-1,-5.396904033E-1,1.631350313E0
2.454837917E-1,1.300154420E0,-4.174938288E-1,-6.591039956E-2,1.367130862E0
2.554927916E-1,6.912154421E-2,-1.883142579E-1,4.536889708E-1,4.960581920E-1
2.655007916E-1,-1.350809727E0,2.789434692E-1,6.488409626E-1,1.524300158E0
2.755097917E-1,-2.335640910E0,3.799772161E-1,3.870845068E-1,2.397798065E0
2.855177916E-1,-1.910719802E0,-3.841825336E-2,-5.929661393E-3,1.911115194E0
2.955267916E-1,-8.424076281E-1,-8.351826623E-1,-7.916486800E-1,1.426144566E0
