"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.677166675E-3,-1.785944313E-1,1.487958509E-1,-2.047340580E0,2.060494996E0
1.668716664E-2,-2.513542593E-1,2.980878380E-1,-1.101024275E0,1.168028158E0
2.669816668E-2,-9.595707732E-1,-1.675114726E-1,-2.393914407E-1,1.003067507E0
3.670816665E-2,1.430936462E-1,-9.428357497E-2,3.270166451E-1,3.691951655E-1
4.671816668E-2,4.008348191E-1,-3.114405397E-1,2.908293968E-1,5.850175211E-1
5.672916665E-2,3.752848256E-1,-8.656663902E-1,9.917205191E-1,1.368841330E0
6.673916668E-2,4.512255388E-1,-5.159713192E-1,1.104972315E0,1.300305621E0
7.674916665E-2,3.790404922E-1,9.751986265E-3,8.064386272E-1,8.911285291E-1
8.676016668E-2,2.137584168E-1,1.913429694E-1,4.131443775E-1,5.029841641E-1
9.677016665E-2,3.583758473E-2,2.060053012E-1,8.574473977E-2,2.259970730E-1
1.067811667E-1,1.312542039E-1,2.623578420E-1,-2.281238562E-1,3.716178105E-1
1.167911667E-1,3.655854642E-1,1.743057910E-1,-3.551347357E-1,5.386612302E-1
1.268011667E-1,-2.386014819E-2,1.731629527E-1,3.700235009E-2,1.786725742E-1
1.368121667E-1,-3.035780811E-1,2.608087684E-1,6.564095986E-1,7.688006414E-1
1.468221667E-1,-2.757991290E-1,2.021411687E-1,6.747710252E-1,7.564668850E-1
1.568319167E-1,-2.902160239E-1,2.592523858E-1,4.124304324E-1,5.670414462E-1
1.668429167E-1,-2.040882915E-1,2.623544799E-1,-1.151597428E-1,3.517721851E-1
1.768529167E-1,-6.650272250E-2,1.553355230E-1,-5.721126294E-1,5.965438773E-1
1.868639167E-1,1.776875281E-1,-2.146892935E-2,-7.186105245E-1,7.405638788E-1
1.968739167E-1,3.596084404E-1,-1.985726130E-1,-5.899735343E-1,7.189006081E-1
