"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.465054172E-2,1.265176669E0,9.268474156E-1,-9.072826320E-1,1.811871935E0
3.466054169E-2,1.723807414E0,9.561606771E-1,-2.180917883E-1,1.983259758E0
4.466954176E-2,1.700759590E0,9.042403257E-1,1.182485345E0,2.260200288E0
5.467954173E-2,1.250549274E0,9.891015512E-1,2.700186886E0,3.135794091E0
6.468854169E-2,2.397481209E-1,1.457169410E0,3.668368853E0,3.954459748E0
7.469854178E-2,-4.690883441E-1,2.231861165E0,3.726777860E0,4.369224342E0
8.470754174E-2,-2.431049343E-1,2.198557178E0,2.801851255E0,3.569751270E0
9.471754171E-2,2.839649118E-1,7.287630451E-1,1.113437330E0,1.360688919E0
1.047265417E-1,5.186683474E-1,-1.292581984E0,-6.790032399E-1,1.549461338E0
1.147365418E-1,8.445979220E-1,-1.892207517E0,-1.422455075E0,2.513398770E0
1.247455417E-1,1.494006576E0,-1.141474729E0,-9.217012811E-1,2.093932534E0
1.347555417E-1,1.764398931E0,-3.267292544E-1,-6.452344000E-2,1.795555309E0
1.447645418E-1,1.488477741E0,7.701601624E-2,9.342412198E-1,1.759063419E0
1.547745417E-1,1.130144433E0,2.013070634E-1,1.923186650E0,2.239731650E0
1.647835417E-1,5.518929211E-1,2.188563117E-1,2.527413942E0,2.596209760E0
1.747935418E-1,-1.213629077E-1,2.651805854E-1,2.229348616E0,2.248342712E0
1.848025417E-1,-3.056452180E-1,1.567448482E-1,1.386318698E0,1.428239293E0
1.948125417E-1,-3.850213167E-1,-3.413358915E-1,1.601318479E-1,5.388820036E-1
2.048215417E-1,-2.924840127E-1,-9.807493883E-1,-6.881015074E-1,1.233247722E0
2.148315418E-1,1.046967169E-1,-1.889429797E0,-6.222180051E-1,1.991999399E0
2.248405417E-1,4.388914222E-1,-2.538866006E0,-1.059158796E-1,2.578698209E0
2.348505417E-1,9.802447736E-1,-2.422721592E0,4.383300894E-1,2.650017547E0
2.448595418E-1,1.646798560E0,-1.855151080E0,4.688010997E-1,2.524540651E0
2.548695417E-1,1.663505517E0,-1.194942546E0,3.516725993E-1,2.078175140E0
2.648785417E-1,8.472067304E-1,-4.846692735E-1,5.278486222E-1,1.109634046E0
2.748885417E-1,-6.188792449E-1,1.295234281E-1,6.359221244E-1,8.967635065E-1
2.848975417E-1,-1.599186291E0,2.585285005E-1,9.477944809E-1,1.876845268E0
2.949075417E-1,-1.329583749E0,-3.232030910E-1,1.407598470E0,1.963055434E0
3.049165417E-1,-6.068652633E-1,-3.583974820E-1,1.489983400E0,1.648267191E0
3.149265418E-1,3.412185086E-1,-5.725687122E-1,8.086360109E-1,1.047929959E0
3.249355417E-1,1.488314750E0,-7.062489259E-1,1.534484804E-1,1.654513456E0
3.349455417E-1,1.457601081E0,-8.220723277E-1,-6.091518170E-1,1.780862083E0
3.449545418E-1,8.683797906E-1,-7.502740744E-1,-1.502291204E0,1.890469124E0
3.549645417E-1,-1.911318849E-1,-6.293966317E-1,-1.873421583E0,1.985542733E0
3.649735417E-1,-1.043745389E0,-5.556737673E-1,-1.855481156E0,2.200224555E0
