"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.645083423E-3,-9.423210485E-1,1.513871614E0,2.577393018E0,3.134123640E0
1.165108336E-2,-1.012944742E0,5.669261491E-1,2.542041337E0,2.794536897E0
2.165808342E-2,-1.965712573E0,-1.167887771E-1,2.234478963E0,2.978348833E0
3.166508337E-2,-1.858769483E0,-2.182297826E-2,2.001896605E0,2.731865709E0
4.167108343E-2,-1.193025097E0,-8.765607762E-1,1.828754117E0,2.352872563E0
5.167808337E-2,-6.750590006E-1,-8.701159751E-1,1.997363259E0,2.280847748E0
6.168508343E-2,-4.555086243E-1,-2.721726859E-1,1.999259511E0,2.068478830E0
7.169108337E-2,-3.641528964E-2,-2.217615008E-1,2.210022984E0,2.221419777E0
8.169808344E-2,4.481642291E-1,-4.919063723E-1,2.778664706E0,2.857236532E0
9.170508338E-2,4.131281514E-1,-5.898098123E-1,3.814659757E0,3.882032914E0
1.017110834E-1,5.978266373E-2,-5.380338871E-1,3.978747246E0,4.015405843E0
1.117180834E-1,-9.492808431E-2,-5.555223244E-1,3.366881152E0,3.413723053E0
1.217250834E-1,-3.532612878E-1,-9.753787208E-1,2.467434958E0,2.676638276E0
1.317310834E-1,-4.922300157E-1,-1.453461691E0,1.284385942E0,2.001121816E0
1.417380834E-1,-6.079634435E-1,-1.633868759E0,1.668602389E-1,1.751282104E0
1.517450834E-1,-8.048777130E-1,-1.717089255E0,-1.197106308E0,2.242607223E0
1.617510834E-1,-9.353893206E-1,-1.769297290E0,-2.617921824E0,3.295281590E0
1.717580834E-1,-1.099340423E0,-1.497649099E0,-3.338023388E0,3.820196635E0
1.817650833E-1,-7.351506896E-1,-1.179072910E0,-2.718784540E0,3.053268550E0
1.917710834E-1,-2.537983954E-2,-1.191933276E0,-1.301730537E0,1.765177459E0
2.017780833E-1,6.259635852E-1,-1.360579839E0,5.997372150E-2,1.498867825E0
2.117840834E-1,9.655059895E-1,-1.227526740E0,9.026674247E-1,1.803838183E0
2.217910833E-1,9.250809717E-1,-9.940021026E-1,3.992952472E-1,1.415362737E0
2.317980834E-1,7.281455791E-1,-7.896986336E-1,-5.994758445E-1,1.230118370E0
2.418040833E-1,2.069643907E-1,-3.125097030E-1,-5.841286576E-1,6.940481699E-1
2.518110834E-1,6.742360049E-1,-1.565802491E-1,-1.678871269E0,1.815962638E0
2.618180834E-1,1.231117222E0,-7.088749105E-1,-1.948436097E0,2.411339146E0
2.718240834E-1,7.284771162E-1,-1.291890258E0,-2.199326087E0,2.652676872E0
2.818310834E-1,-4.777102829E-1,-1.860689855E0,-2.524052963E0,3.171942183E0
2.918380834E-1,-1.905489029E0,-2.767241001E0,-2.964458814E0,4.480683793E0
3.018440834E-1,-1.430687224E0,-3.114413583E0,-2.453803344E0,4.215161770E0
3.118510834E-1,-2.594994307E-1,-4.051338674E0,-1.444905460E0,4.309110906E0
3.218580834E-1,-3.040142834E-2,-5.038142270E0,-4.302796429E-1,5.056574171E0
3.318640834E-1,-5.193365380E-2,-4.428382927E0,-1.202376988E0,4.589006742E0
3.418710834E-1,4.194829054E-1,-2.910873760E0,-1.928997028E0,3.517126880E0
3.518780834E-1,1.362673143E0,-2.034442792E0,-1.700075612E0,2.980954990E0
3.618840834E-1,1.309459387E0,-2.190024921E0,-1.988119395E0,3.234735194E0
3.718910834E-1,9.048601305E-1,-2.443008215E0,-2.918917190E0,3.912433840E0
3.818980834E-1,-6.437076920E-1,-2.666171878E0,-4.371223471E0,5.160467683E0
3.919040834E-1,-1.907276376E0,-3.650147760E0,-3.700030357E0,5.536380269E0
4.019110834E-1,-1.310092056E0,-5.301566352E0,-2.630937726E0,6.061747297E0
4.119170834E-1,-1.222910655E0,-5.682824108E0,-1.474870686E0,5.997102955E0
4.219240834E-1,-1.002731411E0,-3.591487323E0,2.243342757E-1,3.735582597E0
4.319310834E-1,-1.724312321E0,2.555087060E-1,1.367874826E0,2.215766057E0
4.419376251E-1,-1.317458963E0,-7.258090317E-2,6.780717784E-1,1.483491639E0
4.519446250E-1,3.004989374E-1,-2.123494132E0,-8.630496150E-1,2.311791855E0
4.619516251E-1,1.192633188E-1,-1.036092407E0,-8.203842366E-1,1.326929354E0
4.719576250E-1,-5.485635531E-1,1.811031792E-1,-9.126456982E-1,1.080112264E0
4.819646251E-1,-3.578800035E-1,9.197047493E-1,-9.969245410E-1,1.402780618E0
4.919716250E-1,1.044824347E0,1.302470503E0,-1.245992539E0,2.083407001E0
5.019776251E-1,2.808680803E0,1.729313737E0,-9.341505879E-1,3.428097311E0
5.119846250E-1,4.425072234E0,2.304715133E0,-4.406602049E-1,5.008708170E0
5.219916251E-1,5.798972615E0,2.739407962E0,-1.278097261E0,6.539569709E0
5.319976250E-1,5.184888087E0,3.749571476E0,-1.174468228E0,6.505515071E0
5.420046251E-1,3.496650748E0,4.647125511E0,-7.363503921E-1,5.862128782E0
5.520106250E-1,3.080679826E0,4.170992295E0,-1.288396547E0,5.343007634E0
5.620176251E-1,2.768482949E0,3.622369100E0,-4.298130351E-1,4.579388058E0
5.720246250E-1,1.254960414E0,3.781281219E0,4.097501273E0,5.715114170E0
5.820306251E-1,6.313484323E-1,3.215123686E0,6.954332727E0,7.687546087E0
5.920376250E-1,2.056587367E0,5.235532576E-1,4.884592048E0,5.325682969E0
6.020446251E-1,2.085224106E0,-7.475533649E-1,3.958168555E0,4.535867493E0
6.120506250E-1,1.480887471E0,1.511794683E-1,2.362296758E0,2.792190700E0
6.220576251E-1,1.018732901E0,7.779775974E-1,6.830840117E-1,1.452470183E0
6.320646250E-1,4.554168230E-1,7.759106067E-1,-6.028485185E-1,1.082990346E0
6.420706251E-1,-4.624141860E-1,5.045723185E-1,-1.731941183E0,1.862267533E0
6.520776250E-1,-1.447377663E0,1.673812258E-1,-2.472558289E0,2.869923878E0
6.620846251E-1,-2.798416600E0,-1.636819848E-1,-1.959423015E0,3.420126578E0
6.720906250E-1,-3.837782571E0,-8.902751282E-1,3.699679524E-1,3.957024280E0
6.820976251E-1,-3.660922424E0,-2.364152080E0,4.093084286E0,5.978704460E0
6.921036250E-1,-2.486584589E0,-3.638407136E0,8.511930404E0,9.585096171E0
