"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.280708291E-3,-6.208672982E-1,1.375393760E0,4.507747185E-1,1.574922869E0
1.728870824E-2,-8.230166531E-1,1.496865865E0,6.437170476E-1,1.825468561E0
2.729570831E-2,-1.084290714E0,1.568227916E0,3.584255487E-1,1.939972686E0
3.730370826E-2,-1.622246248E0,1.596434007E0,3.171085382E-1,2.298008323E0
4.731070832E-2,-2.010360450E0,1.351271072E0,6.701891470E-1,2.513291893E0
5.731770827E-2,-2.510361122E0,9.958124006E-1,1.303595799E0,2.998819319E0
6.732570834E-2,-3.025218986E0,7.721107936E-1,1.948820259E0,3.680489830E0
7.733270829E-2,-3.307869297E0,5.322544992E-1,2.353987280E0,4.094697822E0
8.734070824E-2,-3.017435172E0,1.407740557E-1,2.257467876E0,3.771060005E0
9.734770830E-2,-2.603928267E0,-2.062330502E-1,2.105199949E0,3.354823589E0
1.073547082E-1,-2.187466764E0,-4.434218448E-1,1.802729915E0,2.869053663E0
1.173627083E-1,-1.785509280E0,-7.153185421E-1,1.361959198E0,2.356831954E0
1.273697083E-1,-1.487763212E0,-1.014368247E0,8.212016773E-1,1.979079208E0
1.373777083E-1,-1.293849075E0,-1.212050037E0,1.470738459E-1,1.778972017E0
1.473847083E-1,-1.119589185E0,-1.372600545E0,-4.090501571E-1,1.817920304E0
1.573917083E-1,-1.031614317E0,-1.648879146E0,-5.382309383E-1,2.018098878E0
1.673997083E-1,-1.171261030E0,-2.068165439E0,-1.579525906E-1,2.382038980E0
1.774067082E-1,-1.236896026E0,-2.329561706E0,2.750980479E-1,2.651876403E0
1.874147083E-1,-1.054303853E0,-2.415558461E0,1.495928264E-1,2.639859335E0
1.974217083E-1,-1.063238983E0,-2.203916152E0,-1.816490167E-1,2.453715530E0
2.074297083E-1,-1.291594389E0,-1.702392864E0,-5.927275729E-1,2.217585061E0
2.174367083E-1,-1.222155195E0,-1.220804488E0,-9.146530473E-1,1.954639894E0
2.274437083E-1,-8.667894942E-1,-8.213314855E-1,-1.164946037E0,1.668235207E0
2.374514583E-1,-1.569030154E-1,-6.577643985E-1,-1.144463825E0,1.329311855E0
2.474584583E-1,5.757466739E-1,-6.730285549E-1,-8.832388812E-1,1.250824764E0
2.574664582E-1,1.186434554E0,-8.179354227E-1,-6.051365340E-1,1.562957303E0
2.674734583E-1,1.556052259E0,-1.123759127E0,-1.991351151E-1,1.929711896E0
2.774804583E-1,1.838333026E0,-1.430540605E0,1.080659008E-1,2.331864700E0
2.874884583E-1,1.847614896E0,-1.769990477E0,-2.631422460E-2,2.558757420E0
2.974954583E-1,1.830994186E0,-2.013559169E0,-7.666623580E-1,2.827495607E0
3.075034583E-1,1.819538906E0,-2.031480300E0,-1.724774251E0,3.226837501E0
3.175104583E-1,1.857301394E0,-1.938085648E0,-2.705255252E0,3.811056340E0
3.275174584E-1,1.832166553E0,-2.244573011E0,-3.579364876E0,4.605083625E0
3.375254583E-1,1.986907852E0,-2.777603144E0,-3.984673399E0,5.247904738E0
3.475324583E-1,2.572398326E0,-3.551625100E0,-3.844099903E0,5.831670264E0
3.575404583E-1,3.780704391E0,-4.574630561E0,-3.802728513E0,7.048525705E0
3.675474583E-1,5.178025210E0,-6.076544035E0,-3.755435064E0,8.822676748E0
3.775544583E-1,6.389164250E0,-7.315799412E0,-3.033550683E0,1.017569509E1
3.875624583E-1,7.272172751E0,-8.658586174E0,-3.013701725E0,1.170205149E1
3.975694583E-1,7.123782113E0,-9.845168663E0,-3.949691847E0,1.277793736E1
4.075774583E-1,5.886828784E0,-1.004046800E1,-4.276852626E0,1.239988787E1
4.175844582E-1,5.108576075E0,-9.142949638E0,-4.184890834E0,1.127849232E1
4.275914583E-1,4.727287914E0,-7.833217771E0,-3.771355570E0,9.895942325E0
4.375994583E-1,4.330128654E0,-6.696889762E0,-2.303349808E0,8.300829295E0
4.476064583E-1,3.696979864E0,-6.385413262E0,-8.299844876E-1,7.424960396E0
4.576144583E-1,2.969730663E0,-6.161918646E0,2.408374572E-1,6.844453542E0
4.676214583E-1,1.519535812E0,-5.448091144E0,1.848608046E0,5.950465352E0
4.776284583E-1,-6.365530390E-1,-4.591685428E0,3.310161406E0,5.696134072E0
4.876364582E-1,-3.026493094E0,-3.798514425E0,4.573585664E0,6.671286091E0
4.976434583E-1,-5.318913286E0,-3.109779957E0,5.260941651E0,8.101794677E0
5.076514583E-1,-7.616028793E0,-1.577673508E0,5.369972343E0,9.451431174E0
5.176584583E-1,-9.706437625E0,1.009769120E0,4.781757066E0,1.086737161E1
5.276664583E-1,-1.080401964E1,3.206496704E0,3.696190490E0,1.186045049E1
5.376734583E-1,-1.164760446E1,4.306221728E0,2.063679747E0,1.258844746E1
5.476804583E-1,-1.218185403E1,4.791071973E0,5.700251734E-1,1.310255193E1
5.576884582E-1,-1.195759694E1,4.871252795E0,-7.248024336E-1,1.293207512E1
5.676954583E-1,-1.160480518E1,5.072328601E0,-1.651050217E0,1.277207844E1
5.777034583E-1,-1.064900294E1,5.013635420E0,-2.103213357E0,1.195664293E1
5.877104583E-1,-9.631178697E0,4.584343371E0,-2.102427199E0,1.087179872E1
5.977174583E-1,-8.338288565E0,3.511147165E0,-2.321215098E0,9.340409527E0
6.077254583E-1,-7.161951567E0,2.657920287E0,-3.120583565E0,8.252038069E0
6.177324583E-1,-6.573224074E0,1.807933352E0,-3.288233470E0,7.568908580E0
6.277404584E-1,-7.615949271E0,1.655277754E0,-1.948698929E0,8.033682546E0
6.377474583E-1,-8.539198310E0,1.318134609E0,5.492169794E-1,8.657772572E0
6.477544582E-1,-9.090199567E0,1.602838755E-1,2.411874715E0,9.406091576E0
6.577624583E-1,-7.624752254E0,5.765471578E-2,2.493225272E0,8.022240539E0
6.677694583E-1,-5.724494875E0,2.760265857E-2,3.801441541E-1,5.737169429E0
6.777774583E-1,-4.105433021E0,-6.809658578E-1,-1.418975397E0,4.396792691E0
6.877844583E-1,-2.948704661E0,-2.914653400E0,-1.094686478E0,4.288170018E0
6.977914583E-1,-1.731368741E0,-1.647806182E0,-2.084082144E-1,2.399236736E0
7.077994583E-1,-8.813408750E-1,3.251888055E-1,-2.158195603E0,2.353787959E0
7.178064582E-1,8.125577384E-1,7.173978120E-1,-5.348773263E0,5.457498063E0
7.278144583E-1,1.611447026E0,7.157933360E-1,-5.504341943E0,5.779870400E0
7.378214583E-1,1.975368372E0,1.281129043E0,-4.147998412E0,4.769618711E0
7.478284583E-1,1.467438875E0,9.452453873E-1,-1.667534980E0,2.414029536E0
7.578364583E-1,2.698425120E0,-7.279687008E-1,1.740689495E0,3.292633668E0
7.678434583E-1,3.299112507E0,-1.108652553E0,4.565584334E0,5.740889664E0
7.778514583E-1,2.648983988E0,8.061372033E-1,5.624615076E0,6.269231860E0
7.878584584E-1,2.054810398E0,9.593532568E-1,5.961633968E0,6.378376284E0
7.978654583E-1,1.173218093E0,1.198019058E0,6.619904736E0,6.828969839E0
8.078734583E-1,-7.681767869E-1,2.823244463E0,5.197968308E0,5.964870443E0
8.178804583E-1,-2.055630178E0,4.563159494E0,1.739998939E0,5.298644761E0
8.278884583E-1,-3.298291558E0,5.608253982E0,-1.500687897E-3,6.506246397E0
8.378954583E-1,-5.134744704E0,7.491626941E0,-2.923919190E0,9.541455907E0
8.479024583E-1,-5.716851395E0,9.277477114E0,-7.728328663E0,1.335967946E1
8.579104583E-1,-6.623739340E0,9.156828005E0,-1.065374737E1,1.553137969E1
8.679174583E-1,-7.178172328E0,9.332576596E0,-9.611441420E0,1.519878120E1
8.779254582E-1,-5.842726745E0,7.268483158E0,-8.450711811E0,1.258502417E1
8.879324583E-1,-5.091989864E0,4.300064026E0,-6.777885393E0,9.505716269E0
8.979394583E-1,-2.761182700E0,3.640538738E0,-4.687871833E0,6.546280969E0
9.079474583E-1,-5.941741741E-1,9.655612457E-1,-5.669388376E0,5.781636103E0
9.179544583E-1,1.897315060E0,-1.522119404E0,-4.597962998E0,5.201722374E0
9.279624583E-1,6.622652342E0,-2.311752549E0,-1.921637723E0,7.272992193E0
9.379694583E-1,1.008822923E1,-3.407049184E0,1.784907894E0,1.079658508E1
9.479764584E-1,1.084976709E1,-6.001444736E0,2.512728660E0,1.265103119E1
9.579844583E-1,1.004515396E1,-5.316591357E0,2.985023471E0,1.175081388E1
9.679914583E-1,6.642629355E0,-3.440201728E0,2.761368642E0,7.973999589E0
9.779994583E-1,4.594556703E0,-2.182148429E0,1.156747071E0,5.216300111E0
9.880064583E-1,2.403562898E0,-1.579080494E0,-3.930097827E-1,2.902596510E0
9.980134583E-1,1.003313794E0,-9.124509859E-1,-1.726126712E0,2.195158034E0
1.008021458E0,-3.949092507E-1,-8.621054359E-1,-1.748362211E0,1.988956893E0
1.018028458E0,-1.070958477E0,-1.728837481E0,-9.957586062E-1,2.264368852E0
1.028036458E0,-4.144845593E-1,-2.927362323E0,2.560349554E-2,2.956670959E0
1.038043458E0,-9.315316200E-2,-3.464504510E0,2.945534885E-1,3.478251108E0
1.048050458E0,-3.255355453E-1,-3.359254628E0,-3.569678378E-1,3.393816596E0
1.058058458E0,-7.769008327E-1,-2.746897953E0,-8.739108181E-1,2.985421810E0
1.068065458E0,-1.322669417E0,-1.737771442E0,-1.236258679E0,2.509509811E0
1.078073458E0,-1.757011705E0,-1.044979883E0,-9.296973485E-1,2.245753826E0
1.088080458E0,-1.843879695E0,-1.562678323E0,4.239617264E-1,2.453894745E0
1.098087458E0,-2.118725728E0,-2.753422276E0,2.140560985E0,4.080727174E0
1.108095458E0,-2.517133952E0,-3.698079433E0,2.508763663E0,5.128903386E0
1.118102458E0,-1.959903072E0,-5.501321272E0,2.823255572E0,6.486642260E0
1.128110458E0,-1.744634904E0,-7.307820302E0,3.183286766E0,8.159736708E0
1.138117458E0,-2.052727035E0,-6.904823767E0,3.066288659E0,7.828946652E0
1.148124458E0,-2.517812229E0,-5.246235319E0,2.003162527E0,6.154268727E0
1.158132458E0,-2.426604436E0,-3.156002489E0,9.250455961E-2,3.982124796E0
1.168139458E0,-3.845928912E0,-7.766271830E-1,-3.621171883E-1,3.940234490E0
1.178146458E0,-5.574368198E0,4.550119033E-1,1.501824450E0,5.791035600E0
1.188154458E0,-5.322740289E0,-3.919242471E-1,3.409553547E0,6.333263313E0
1.198161458E0,-6.010145393E0,-1.849843855E0,7.664329133E0,9.913915018E0
1.208169458E0,-6.227834893E0,1.326407834E0,5.119305131E0,8.170224613E0
1.218176458E0,-4.380187837E0,2.169796186E0,2.779595582E0,5.623185270E0
1.228183458E0,-3.714230905E0,2.508947558E0,1.039696923E0,4.601227962E0
1.238191333E0,-2.825802035E0,3.534538074E0,-3.032707807E0,5.447516239E0
1.248198333E0,-3.091132309E0,3.220910091E0,-4.343099240E0,6.228312113E0
1.258206333E0,-3.364770307E0,2.869399167E0,-3.107614148E0,5.404849349E0
1.268213333E0,-1.748797536E0,3.147517594E0,-2.773935185E0,4.545313657E0
1.278220333E0,-1.168215215E0,3.086520025E0,-2.235112216E0,3.985857408E0
1.288228333E0,-1.106346996E0,3.636374059E0,-2.047822098E0,4.317498734E0
1.298235333E0,-1.560800782E0,4.393043818E0,-2.345676340E0,5.218920440E0
1.308243333E0,-2.831468571E0,5.992293844E0,-4.082574208E0,7.784099944E0
1.318250333E0,-2.994421116E0,6.962441061E0,-5.929757872E0,9.623106139E0
1.328257333E0,-2.967884113E0,5.963882807E0,-5.606189330E0,8.706640744E0
1.338265333E0,-5.478022456E-1,3.716599904E0,-4.109668744E0,5.567995989E0
1.348272333E0,1.892439651E0,1.270147387E0,-3.965943598E0,4.574200569E0
1.358280333E0,3.540877333E0,-1.726472575E0,-2.803971455E0,4.835367179E0
1.368287333E0,6.318640983E0,-5.707359610E0,2.851706954E0,8.979499437E0
1.378294333E0,6.509587072E0,-7.752187057E0,9.965976816E-1,1.017174198E1
1.388302333E0,7.558720232E0,-5.460932214E0,1.341834251E0,9.421069544E0
