"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.520999998E-3,1.304491593E0,-2.254265356E-1,-4.054047689E0,4.264717823E0
1.153100003E-2,1.377574187E0,-2.356196212E-1,-4.580381883E0,4.788854293E0
2.154200000E-2,1.323284544E0,-2.947103401E-1,-5.607723640E0,5.769272102E0
3.155199997E-2,2.236354165E0,-6.501340744E-1,-5.943405858E0,6.383418164E0
4.156200000E-2,1.581821523E0,-7.584800568E-1,-5.402680498E0,5.680352796E0
5.157299998E-2,1.444452301E0,-6.331532485E-1,-4.550752287E0,4.816292336E0
6.158300000E-2,2.551033770E0,-9.433960591E-1,-5.040083545E0,5.727146896E0
7.159299997E-2,2.242104317E0,-1.245416003E0,-6.152853123E0,6.666010377E0
8.160300000E-2,1.831933249E0,-9.972437259E-1,-6.430120488E0,6.759949997E0
9.161399998E-2,1.665188200E0,-6.941948909E-1,-6.283841863E0,6.537692777E0
1.016240000E-1,1.490220212E0,-6.080290054E-1,-6.382366278E0,6.582177060E0
1.116340000E-1,1.822333875E0,-8.017542766E-1,-6.734003209E0,7.022144251E0
1.216450000E-1,2.000760491E0,-1.162369754E0,-7.030480431E0,7.401472899E0
1.316550000E-1,2.011243379E0,-1.069031820E0,-6.721064490E0,7.096522870E0
1.416650000E-1,2.103419471E0,-1.033188972E0,-6.543552378E0,6.950534559E0
1.516760000E-1,2.116782698E0,-1.101677117E0,-6.040668443E0,6.494931617E0
1.616860000E-1,2.143686322E0,-1.074902717E0,-5.292898439E0,5.810815845E0
1.716960000E-1,2.180964661E0,-1.130005123E0,-4.552684792E0,5.173051057E0
1.817070000E-1,1.831209363E0,-1.266531761E0,-3.923860018E0,4.511552712E0
1.917170000E-1,1.597317229E0,-1.187977927E0,-3.461612477E0,3.993178537E0
2.017270000E-1,1.407345285E0,-8.322315726E-1,-3.067379165E0,3.475923630E0
2.117370000E-1,9.466595364E-1,-6.920381454E-1,-2.983145345E0,3.205345102E0
2.217480000E-1,1.434187514E-1,-9.293698313E-1,-2.780135280E0,2.934867867E0
2.317580000E-1,-1.064188571E0,-1.212661071E0,-1.724922186E0,2.361863826E0
2.417680000E-1,-2.442503015E0,-1.863953771E0,-6.799282694E-1,3.146815389E0
2.517790000E-1,-4.908106041E0,-2.484688045E0,9.650730032E-1,5.585207739E0
2.617890000E-1,-7.702339543E0,-2.452744998E0,3.378624115E0,8.761112565E0
2.717990000E-1,-1.009072716E1,-2.077460465E0,5.495473471E0,1.167642263E1
2.818100000E-1,-1.113380962E1,-1.878830842E0,6.530494961E0,1.304373744E1
2.918200000E-1,-1.115595186E1,-2.689085947E0,6.302800291E0,1.309243051E1
3.018300000E-1,-1.171847506E1,-4.413707585E0,5.701856210E0,1.375916555E1
3.118400000E-1,-1.201931196E1,-6.025597830E0,5.460336968E0,1.451161497E1
3.218510000E-1,-1.240814713E1,-7.586980995E0,5.585193148E0,1.557943446E1
3.318602083E-1,-1.281463737E1,-9.206443384E0,5.824355963E0,1.681953189E1
3.418702083E-1,-1.271394013E1,-1.037292548E1,6.045514616E0,1.748685517E1
3.518812083E-1,-1.243725456E1,-1.085213989E1,6.392442784E0,1.770077869E1
3.618912083E-1,-1.235436444E1,-1.070839896E1,6.944068524E0,1.776288874E1
3.719012083E-1,-1.194925296E1,-1.005255069E1,7.530777558E0,1.733640771E1
3.819122083E-1,-1.121057421E1,-9.023441906E0,8.140488369E0,1.653381471E1
