"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.113958334E-3,2.196205721E0,-5.830814213E-1,-1.695062209E0,2.834879081E0
1.710495833E-2,2.081727178E0,-4.177338570E-1,-1.104686971E0,2.393412402E0
2.709595834E-2,1.572075384E0,-5.794631642E-1,-9.007606477E-1,1.902253483E0
3.708595833E-2,1.072185515E0,-8.672660422E-1,-9.879098886E-1,1.696377940E0
4.707695833E-2,7.589738542E-1,-8.877640414E-1,-1.094697003E0,1.600789753E0
5.706795834E-2,6.260137251E-1,-6.664922449E-1,-1.234291091E0,1.536092313E0
6.705895834E-2,6.023760635E-1,-4.090410939E-1,-1.287707160E0,1.479311079E0
7.704995833E-2,7.228740218E-1,-3.055962476E-1,-1.098575462E0,1.350112574E0
8.703995834E-2,7.120498024E-1,-1.254616597E-1,-1.188237836E0,1.390922249E0
9.703095834E-2,7.140548126E-1,1.943360129E-1,-7.956809199E-1,1.086622698E0
1.070219583E-1,5.557510968E-1,5.342390442E-1,-4.201686376E-1,8.779591801E-1
1.170129583E-1,8.050766645E-1,3.934527093E-1,-3.856010681E-1,9.755212217E-1
1.270039583E-1,1.106617283E0,-4.963642895E-2,-1.182733852E-1,1.114026113E0
1.369939583E-1,8.740960287E-1,2.481762975E-1,-3.976246977E-1,9.918370543E-1
1.469849583E-1,5.369119526E-1,6.298538840E-1,-1.293171968E0,1.535344944E0
1.569759583E-1,-2.059197856E-1,6.256169915E-1,-2.669026489E0,2.749091118E0
1.669669583E-1,-7.652417039E-1,6.682923102E-1,-2.848104485E0,3.023889653E0
1.769579583E-1,-1.318116628E0,9.775579780E-1,-2.080208949E0,2.649588707E0
1.869479583E-1,-1.809536951E0,5.884398097E-1,-1.601721936E-1,1.909539347E0
1.969389583E-1,-2.470978371E0,-1.857897225E-1,2.089415390E0,3.241281938E0
2.069299583E-1,-7.203415343E0,-2.032468772E-1,9.001270434E0,1.153054081E1
2.169209583E-1,-1.426207935E1,3.813948443E0,1.204271252E1,1.905203493E1
