"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.889416669E-3,-6.423455831E-1,2.675466612E-1,-4.514524108E-1,8.294566555E-1
1.588141667E-2,-3.813852257E-1,8.375025451E-2,-4.261526781E-1,5.779921285E-1
2.587241667E-2,-6.385861158E-2,-1.037575261E-1,-2.946148843E-1,3.188126041E-1
3.586341667E-2,3.681290030E-2,-1.655320439E-1,2.464390898E-1,2.991459044E-1
4.585541667E-2,5.473999572E-1,-2.892757916E-1,5.810407430E-1,8.490792317E-1
5.584641667E-2,1.365162887E0,-2.724688473E-1,3.863536048E-1,1.444706921E0
6.583841667E-2,1.463303432E0,-2.291561821E-1,-2.517430991E-1,1.502379472E0
7.582941667E-2,8.540016335E-1,-3.119936863E-1,-6.254637945E-1,1.103568670E0
8.582041667E-2,4.892496899E-1,-5.239113265E-1,-2.795594734E-1,7.694165557E-1
9.581241667E-2,4.241865519E-1,-8.803138847E-1,-2.693671918E-1,1.013629839E0
1.058034167E-1,7.032598293E-1,-1.243298873E0,-6.007552153E-1,1.549604241E0
1.157954167E-1,1.034153763E0,-1.251465094E0,-7.582002676E-1,1.791788641E0
1.257864167E-1,1.152708545E0,-1.096076727E0,-1.102588406E0,1.935412714E0
1.357784167E-1,1.654824741E0,-5.544148618E-1,-1.648454638E0,2.400671460E0
1.457694167E-1,1.818878463E0,2.839229581E-1,-1.529988295E0,2.393699081E0
1.557604167E-1,1.981568906E0,6.387065685E-1,-1.753884029E-1,2.089335421E0
1.657524167E-1,2.333549946E0,1.701782414E-1,6.402057946E-1,2.425753376E0
1.757434167E-1,2.082315262E0,-5.650615451E-1,8.636056852E-1,2.324036613E0
1.857354167E-1,1.605984703E0,-1.125731539E0,4.016902667E-1,2.001952406E0
1.957264167E-1,1.045738121E0,-1.830227177E0,-3.423872209E-1,2.135539451E0
2.057174167E-1,1.102514950E0,-2.336541674E0,-1.450360912E0,2.962855545E0
2.157094167E-1,1.111191414E0,-2.662230270E0,-2.329709056E0,3.708066970E0
2.257004167E-1,-5.672823907E-1,-2.662229685E0,-4.812553182E0,5.529009345E0
2.356924167E-1,-3.760166338E0,-2.825317301E0,-7.054625339E0,8.478738551E0
2.456834167E-1,-4.767404491E0,-3.649469191E0,-4.890491889E0,7.743622012E0
2.556744167E-1,-5.184786930E0,-3.887796730E0,-3.055361967E0,7.164650423E0
2.656664167E-1,-6.739917083E0,-4.193402041E0,-8.934446114E-1,7.988075252E0
2.756574167E-1,-7.167892923E0,-4.215943642E0,5.554872411E-1,8.334352754E0
2.856494167E-1,-6.783212791E0,-3.549981740E0,1.171420659E0,7.745099901E0
2.956404167E-1,-5.580019532E0,-3.426442060E0,2.100736184E0,6.876788181E0
3.056314167E-1,-4.681872005E0,-4.385676911E0,1.424741921E0,6.571451664E0
3.156234167E-1,-4.292058603E0,-7.492436196E0,9.109909362E-1,8.682641976E0
3.256144167E-1,8.320675582E-1,-1.218184234E1,2.074393308E0,1.238518174E1
3.356057500E-1,5.674704080E0,-1.120707524E1,4.434809602E0,1.332172429E1
3.455967500E-1,3.286011236E0,-2.584254433E0,3.511536005E0,5.459590271E0
3.555877500E-1,2.729291402E0,-5.930200799E-1,2.687753951E0,3.876174102E0
3.655797500E-1,3.709685864E0,-2.478506661E0,2.940343142E0,5.343255774E0
3.755707500E-1,2.259899148E0,-3.344531924E0,4.424509147E0,5.989100028E0
3.855627500E-1,9.892740440E-1,-5.293956785E0,5.752726402E0,7.880260315E0
3.955537500E-1,1.853565608E0,-4.617808156E0,4.464829207E0,6.685398827E0
4.055447500E-1,5.999689987E0,-1.170433064E0,1.945099091E0,6.414795707E0
4.155367500E-1,9.697479106E0,-1.107614380E0,-3.292268341E0,1.030082237E1
4.255277500E-1,1.619129916E1,1.835249789E0,-6.093170008E0,1.739692591E1
4.355187500E-1,8.222892010E0,3.480513602E0,-2.985944408E0,9.415189427E0
4.455107500E-1,1.742481959E-1,1.167866721E0,-5.006041056E-1,1.282528589E0
4.555017500E-1,1.276345435E0,-1.509788504E0,1.590027505E0,2.537066507E0
4.654937500E-1,3.257541143E0,8.263752937E-1,1.120659810E0,3.542647150E0
4.754847500E-1,4.243212132E0,3.484122503E0,-3.606100684E0,6.568707709E0
4.854757500E-1,-1.819333084E0,1.414670677E0,-7.256154889E0,7.613346818E0
4.954677500E-1,-5.803145773E0,8.601444259E-1,-6.126628945E0,8.482448440E0
5.054587500E-1,-5.405847350E0,6.067120662E-1,-1.559233144E0,5.658842028E0
5.154507500E-1,-3.980312546E0,4.553405169E-1,5.261459130E-1,4.040674754E0
5.254417500E-1,-5.094526386E0,7.222588947E-1,-1.107955565E0,5.263404083E0
5.354327500E-1,-7.450435061E0,7.947134981E-1,-2.024152277E0,7.761297867E0
5.454247500E-1,-6.876660068E0,1.187574177E0,-9.698074937E-1,7.045517205E0
5.554157500E-1,-5.552608370E0,8.729121137E-1,1.324381481E0,5.774722640E0
5.654077500E-1,-4.015861278E0,7.243995604E-1,3.564284906E0,5.418119916E0
5.753987500E-1,-2.680619763E0,1.398802503E0,4.322065344E0,5.274715120E0
5.853897500E-1,-1.610623738E0,2.320565180E0,3.456331857E0,4.463783315E0
5.953817500E-1,-1.725802191E0,3.251194575E0,2.863414834E0,4.663454072E0
6.053727500E-1,-5.514661109E-1,4.240467449E0,8.608095467E-1,4.361957374E0
6.153647500E-1,2.196763837E-1,5.752863227E0,-1.463183856E0,5.940084176E0
6.253557500E-1,3.689048116E0,5.830810704E0,9.340225339E-2,6.900445888E0
6.353467500E-1,7.418070722E0,6.501935406E0,1.903438849E0,1.004619414E1
