Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),label
0.005889416669,-0.6423455831,0.2675466612,-0.4514524108,0.8294566555,walking
0.01588141667,-0.3813852257,0.08375025451,-0.4261526781,0.5779921285,walking
0.02587241667,-0.06385861158,-0.1037575261,-0.2946148843,0.3188126041,walking
0.03586341667,0.0368129003,-0.1655320439,0.2464390898,0.2991459044,walking
0.04585541667,0.5473999572,-0.2892757916,0.581040743,0.8490792317,walking
0.05584641667,1.365162887,-0.2724688473,0.3863536048,1.444706921,walking
0.06583841667,1.463303432,-0.2291561821,-0.2517430991,1.502379472,walking
0.07582941667,0.8540016335,-0.3119936863,-0.6254637945,1.10356867,walking
0.08582041667,0.4892496899,-0.5239113265,-0.2795594734,0.7694165557,walking
0.09581241667,0.4241865519,-0.8803138847,-0.2693671918,1.013629839,walking
0.1058034167,0.7032598293,-1.243298873,-0.6007552153,1.549604241,walking
0.1157954167,1.034153763,-1.251465094,-0.7582002676,1.791788641,walking
0.1257864167,1.152708545,-1.096076727,-1.102588406,1.935412714,walking
0.1357784167,1.654824741,-0.5544148618,-1.648454638,2.40067146,walking
0.1457694167,1.818878463,0.2839229581,-1.529988295,2.393699081,walking
0.1557604167,1.981568906,0.6387065685,-0.1753884029,2.089335421,walking
0.1657524167,2.333549946,0.1701782414,0.6402057946,2.425753376,walking
0.1757434167,2.082315262,-0.5650615451,0.8636056852,2.324036613,walking
0.1857354167,1.605984703,-1.125731539,0.4016902667,2.001952406,walking
0.1957264167,1.045738121,-1.830227177,-0.3423872209,2.135539451,walking
0.2057174167,1.10251495,-2.336541674,-1.450360912,2.962855545,walking
0.2157094167,1.111191414,-2.66223027,-2.329709056,3.70806697,walking
0.2257004167,-0.5672823907,-2.662229685,-4.812553182,5.529009345,walking
0.2356924167,-3.760166338,-2.825317301,-7.054625339,8.478738551,walking
0.2456834167,-4.767404491,-3.649469191,-4.890491889,7.743622012,walking
0.2556744167,-5.18478693,-3.88779673,-3.055361967,7.164650423,walking
0.2656664167,-6.739917083,-4.193402041,-0.8934446114,7.988075252,walking
0.2756574167,-7.167892923,-4.215943642,0.5554872411,8.334352754,walking
0.2856494167,-6.783212791,-3.54998174,1.171420659,7.745099901,walking
0.2956404167,-5.580019532,-3.42644206,2.100736184,6.876788181,walking
0.3056314167,-4.681872005,-4.385676911,1.424741921,6.571451664,walking
0.3156234167,-4.292058603,-7.492436196,0.9109909362,8.682641976,walking
0.3256144167,0.8320675582,-12.18184234,2.074393308,12.38518174,walking
0.33560575,5.67470408,-11.20707524,4.434809602,13.32172429,walking
0.34559675,3.286011236,-2.584254433,3.511536005,5.459590271,walking
0.35558775,2.729291402,-0.5930200799,2.687753951,3.876174102,walking
0.36557975,3.709685864,-2.478506661,2.940343142,5.343255774,walking
0.37557075,2.259899148,-3.344531924,4.424509147,5.989100028,walking
0.38556275,0.989274044,-5.293956785,5.752726402,7.880260315,walking
0.39555375,1.853565608,-4.617808156,4.464829207,6.685398827,walking
0.40554475,5.999689987,-1.170433064,1.945099091,6.414795707,walking
0.41553675,9.697479106,-1.10761438,-3.292268341,10.30082237,walking
0.42552775,16.19129916,1.835249789,-6.093170008,17.39692591,walking
0.43551875,8.22289201,3.480513602,-2.985944408,9.415189427,walking
0.44551075,0.1742481959,1.167866721,-0.5006041056,1.282528589,walking
0.45550175,1.276345435,-1.509788504,1.590027505,2.537066507,walking
0.46549375,3.257541143,0.8263752937,1.12065981,3.54264715,walking
0.47548475,4.243212132,3.484122503,-3.606100684,6.568707709,walking
0.48547575,-1.819333084,1.414670677,-7.256154889,7.613346818,walking
0.49546775,-5.803145773,0.8601444259,-6.126628945,8.48244844,walking
0.50545875,-5.40584735,0.6067120662,-1.559233144,5.658842028,walking
0.51545075,-3.980312546,0.4553405169,0.526145913,4.040674754,walking
0.52544175,-5.094526386,0.7222588947,-1.107955565,5.263404083,walking
0.53543275,-7.450435061,0.7947134981,-2.024152277,7.761297867,walking
0.54542475,-6.876660068,1.187574177,-0.9698074937,7.045517205,walking
0.55541575,-5.55260837,0.8729121137,1.324381481,5.77472264,walking
0.56540775,-4.015861278,0.7243995604,3.564284906,5.418119916,walking
0.57539875,-2.680619763,1.398802503,4.322065344,5.27471512,walking
0.58538975,-1.610623738,2.32056518,3.456331857,4.463783315,walking
0.59538175,-1.725802191,3.251194575,2.863414834,4.663454072,walking
0.60537275,-0.5514661109,4.240467449,0.8608095467,4.361957374,walking
0.61536475,0.2196763837,5.752863227,-1.463183856,5.940084176,walking
0.62535575,3.689048116,5.830810704,0.09340225339,6.900445888,walking
0.63534675,7.418070722,6.501935406,1.903438849,10.04619414,walking
0.64533875,8.078721891,7.425356938,2.456067386,11.24428477,walking
0.65532975,8.684671188,6.468937229,2.87691664,11.20478968,walking
0.66532075,8.314467008,4.688678164,2.880938939,9.970650617,walking
0.67531275,4.716355374,2.825022601,1.161619556,5.619085398,walking
0.68530375,1.464108886,2.380847635,-0.3122342992,2.812390539,walking
0.69529575,0.5654859799,2.733204943,0.2230584133,2.799989055,walking
0.70528675,0.3548271722,1.926008517,3.731331087,4.214053014,walking
0.71527775,1.404346833,1.284509903,7.062595679,7.314534396,walking
0.72526975,2.266543339,2.175370629,5.878354999,6.665171685,walking
0.73526075,2.741406248,2.415419882,2.222430775,4.276535978,walking
0.74525275,2.278661694,2.725087838,-1.78369869,3.974919352,walking
0.75524375,1.344264938,2.035819227,-4.78046337,5.366976633,walking
0.76523475,0.3179055136,1.069525909,-5.345536244,5.460742378,walking
0.77522675,-0.6765444857,0.3972756189,-2.271833023,2.403490304,walking
0.78521775,-1.255641614,-1.630589055,0.996029917,2.286379699,walking
0.79520975,-0.07703940511,-3.313052269,3.161501795,4.580103057,walking
0.80520075,0.8893480521,-3.136779767,3.334830516,4.663841961,walking
0.81519175,1.885856856,-1.357135245,1.168370459,2.600646397,walking
0.82518375,2.857073529,0.139164902,-1.485261773,3.223079048,walking
0.83517475,3.19617403,1.419303134,-2.664703934,4.396657466,walking
0.84516575,3.636744187,1.865429316,-2.523949759,4.803754491,walking
0.85515775,4.445413527,0.9871316242,-1.062523284,4.676011762,walking
0.86514875,3.507117264,-0.6194525644,1.059093892,3.715544759,walking
0.87514075,1.841754232,-2.171868732,1.700267108,3.316621878,walking
0.88513175,-0.4579656243,-3.181713865,2.312413284,3.959834698,walking
0.89512275,-1.012885686,-2.481820863,2.723837411,3.821604696,walking
0.90511475,0.2362742901,-1.330422532,2.049032764,2.454462247,walking
0.91510575,0.9337354356,-0.1271599835,0.5227311391,1.07762673,walking
0.92509675,0.8282949346,1.039361001,-2.459673949,2.795771758,walking
