"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.016145833E-2,5.424482426E-1,-1.226432433E0,-5.297203159E-1,1.441870390E0
2.015245833E-2,7.886280084E-1,-1.109462392E0,2.635749400E-2,1.361446162E0
3.014345833E-2,8.382188290E-1,-1.111396651E0,7.563490391E-2,1.394106868E0
4.013445833E-2,8.364886379E-1,-1.028636330E0,-2.501397926E-1,1.349213051E0
5.012545833E-2,5.000041813E-1,-9.237282184E-1,-8.107731682E-1,1.326887762E0
6.011645833E-2,6.293358207E-2,-9.827877277E-1,-1.314972727E0,1.642858979E0
7.010745833E-2,-4.088729864E-1,-7.216721267E-1,-1.224927360E0,1.479335937E0
8.009945833E-2,-6.858123225E-1,-1.023626144E0,-9.218860531E-1,1.538838172E0
9.009045833E-2,-3.987385923E-1,-1.265462013E0,-3.867529696E-1,1.382014627E0
1.000814583E-1,2.380430728E-2,-1.178212785E0,1.542612433E-1,1.188506854E0
1.100724583E-1,1.990617326E-1,-1.046232064E0,3.575519747E-1,1.123419120E0
1.200634583E-1,-5.479805857E-2,-6.528895748E-1,5.411007518E-1,8.497397529E-1
1.300544583E-1,-9.691792104E-1,-3.387292027E-1,6.991392964E-1,1.242111738E0
1.400454583E-1,-1.046587867E0,-5.953097034E-1,9.824725628E-1,1.554024499E0
1.500364583E-1,-1.073378640E0,-7.858213449E-1,1.443636029E0,1.963094974E0
1.600284583E-1,-5.855752587E-1,2.230914500E-1,7.211043620E-1,9.553322352E-1
1.700194583E-1,6.315106925E-1,4.299241322E-1,9.274590343E-1,1.201590935E0
1.800104583E-1,6.209137836E-1,6.264256614E-1,1.455564934E0,1.701943687E0
1.900014583E-1,1.284653744E-1,4.105134228E-1,3.358324921E-1,5.457179541E-1
1.999924583E-1,-6.723216265E-2,-2.953428626E-2,-1.474316955E-1,1.647074455E-1
2.099834583E-1,3.671452090E-1,-3.254551461E-1,-6.393287122E-2,4.947767867E-1
2.199744583E-1,5.691070144E-1,-4.239240119E-1,3.126418501E-1,7.754606941E-1
2.299654583E-1,6.004020435E-1,-1.973882595E-1,7.354405653E-1,9.696997287E-1
2.399574583E-1,3.877674615E-1,1.364665581E-1,7.970211017E-1,8.967883598E-1
2.499484583E-1,-3.666724616E-1,-1.187832624E-1,8.657036662E-1,9.476291444E-1
2.599394583E-1,-8.441802116E-1,-6.225685456E-1,1.092842267E0,1.514772604E0
2.699304583E-1,-5.705756888E-1,-1.094915251E0,1.314435952E0,1.803368486E0
2.799214583E-1,-1.477435713E-1,-1.537268517E0,1.098093651E0,1.894949161E0
2.899124583E-1,-1.360120833E-1,-1.628027536E0,5.784510112E-1,1.733083529E0
2.999034583E-1,-2.295651218E-1,-1.558308407E0,5.065325975E-1,1.654569584E0
3.098944583E-1,-3.632456278E-1,-1.301481885E0,7.251903963E-1,1.533526522E0
3.198864583E-1,-8.621275822E-1,-5.730648485E-1,8.101785064E-1,1.314555629E0
