"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.683416668E-3,5.182192082E-1,5.658058226E-2,-1.261832061E0,1.365273841E0
1.567441667E-2,4.248962577E-1,4.085274160E-2,-7.508573341E-1,8.637085808E-1
2.566541667E-2,2.652500942E-1,-3.491840243E-1,1.642506266E-1,4.682577961E-1
3.565641667E-2,3.091149558E-1,-8.124501497E-1,5.858196723E-1,1.048242334E0
4.564841667E-2,2.756661779E-1,-8.673935115E-1,9.632293761E-2,9.152275421E-1
5.563941667E-2,1.316108841E-1,-5.215798223E-1,-5.280766636E-1,7.538115802E-1
6.563041667E-2,1.707117268E-1,-1.086693335E-1,-7.098572427E-1,7.381387557E-1
7.562141667E-2,9.207371483E-1,-1.071689379E0,-7.740292650E-1,1.611023378E0
8.561341667E-2,1.389704821E0,-1.213881969E-1,-8.407617831E-1,1.628770996E0
9.560441667E-2,6.573361630E-1,5.763863593E-1,-7.799846542E-1,1.171617739E0
1.055954167E-1,7.127389698E-1,1.853321779E-1,-7.807787061E-3,7.364820547E-1
1.155864167E-1,1.663567936E0,-1.242521632E-1,3.297841322E-1,1.700486534E0
1.255774167E-1,2.616178769E0,-3.665432382E-1,8.449752867E-1,2.773576848E0
1.355694167E-1,2.758999058E0,-5.276925015E-1,1.394884869E0,3.136277885E0
1.455604167E-1,2.488211870E0,-7.754893148E-1,1.423965411E0,2.969892166E0
1.555514167E-1,2.386946719E0,-8.990655398E-1,9.582218206E-1,2.724705955E0
1.655424167E-1,2.255258652E0,-3.465896147E-1,7.644632202E-1,2.406391482E0
1.755344167E-1,2.162709946E0,3.078798777E-1,9.848383462E-1,2.396249339E0
1.855254167E-1,2.011794041E0,3.650983912E-1,1.293552037E0,2.419481136E0
1.955164167E-1,1.787224853E0,1.835212952E-1,1.179195117E0,2.149035566E0
2.055074167E-1,1.466749488E0,3.118805426E-1,9.997756433E-1,1.802269367E0
2.154984167E-1,9.565262011E-1,6.487082309E-1,9.846717006E-1,1.518335635E0
2.254904167E-1,7.692503357E-1,6.811895138E-1,1.030774072E0,1.455424481E0
2.354814167E-1,1.012693385E0,4.662505442E-1,1.674588184E0,2.011761181E0
2.454724167E-1,1.082980206E0,2.613091439E-1,1.339230486E0,1.742029532E0
2.554634167E-1,1.122861579E0,1.018087953E-2,6.211099577E-1,1.283237841E0
2.654554167E-1,7.926120088E-1,-4.274186003E-1,1.042061538E-1,9.065204790E-1
2.754464167E-1,9.940997511E-3,-1.216661443E0,-6.112796187E-2,1.218236643E0
2.854374167E-1,-7.824615347E-1,-2.032462925E0,1.298947263E-1,2.181747977E0
2.954284167E-1,-1.290673160E0,-2.385729475E0,-2.171345991E-1,2.721155962E0
3.054194167E-1,-9.323173396E-1,-2.063368968E0,-1.119016158E0,2.525649279E0
3.154114167E-1,-2.461877326E-1,-1.500357530E0,-1.913647503E0,2.444121085E0
