"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.919708331E-3,2.241928462E-1,-1.302660245E-1,-7.506199372E-1,7.941422791E-1
1.191170833E-2,1.214840182E-1,-3.626840758E-1,-3.868664056E-1,5.440254786E-1
2.190270833E-2,-2.543497147E-1,-1.274321714E-1,-1.846661800E-1,3.391671177E-1
3.189470833E-2,-5.563839117E-1,4.890160936E-1,-4.001910406E-1,8.419338846E-1
4.188670833E-2,-6.085583246E-1,1.056224079E0,-1.134242308E0,1.665070014E0
5.187770833E-2,-4.905735726E-1,1.139281438E0,-1.866518945E0,2.241097409E0
6.186970833E-2,4.049759634E-2,-3.093098143E-1,-1.209812892E0,1.249383788E0
7.186070833E-2,-3.953314197E-1,7.318816575E-1,7.869171131E-1,1.145066040E0
8.185270833E-2,-7.240126209E-1,8.009030682E-1,2.021090090E0,2.291384986E0
9.184370833E-2,-6.728407131E-1,5.883231577E-1,1.745499122E0,1.961021659E0
1.018357083E-1,6.524776384E-2,2.469434121E-1,5.960107845E-1,6.484344028E-1
1.118267083E-1,3.788788167E-1,-4.993282431E-1,-6.235394758E-1,8.841263088E-1
1.218187083E-1,3.945878731E-1,-5.765521279E-1,-1.329055746E0,1.501499624E0
1.318107083E-1,-8.340643823E-2,-2.962632143E-1,-7.520677078E-1,8.126096007E-1
1.418017083E-1,-5.623015863E-1,-2.365461856E-2,-1.505827600E-1,5.825957282E-1
1.517937083E-1,-7.849840236E-1,8.525357366E-2,2.691531837E-1,8.342131175E-1
1.617847083E-1,-8.966433308E-1,4.322109783E-1,1.156134283E0,1.525589090E0
1.717767083E-1,-3.695197633E-1,8.532666385E-2,1.411025523E0,1.461101818E0
1.817677083E-1,-7.428770542E-2,-7.422487709E-1,8.804117525E-1,1.153939667E0
1.917597083E-1,-5.393574044E-1,-8.108696473E-1,7.294097471E-1,1.216739320E0
2.017507083E-1,-1.550435423E0,-2.700536549E-2,1.944548283E0,2.487136369E0
2.117427083E-1,-2.561062329E0,2.243363222E-1,1.026385152E0,2.768182350E0
2.217347083E-1,-5.376777917E-2,5.404680830E-1,2.725831604E-1,6.076991872E-1
2.317257083E-1,1.223026138E0,8.577342036E-1,-4.410560614E-1,1.557572261E0
2.417177083E-1,1.853604638E0,-8.319710791E-2,-1.489108656E0,2.379120951E0
2.517087083E-1,2.026361355E0,-1.031251790E0,-1.725570057E0,2.854332254E0
2.617007083E-1,3.480242291E-1,-9.858519611E-1,1.905664299E0,2.173610217E0
2.716917083E-1,-8.510463046E-1,-2.932521322E0,4.333763283E0,5.301458791E0
2.816837083E-1,-3.972145155E-2,-4.062575269E0,3.613113835E0,5.436974084E0
2.916757083E-1,-6.128800017E-1,-2.713026494E0,3.804703118E0,4.712950294E0
3.016667083E-1,-1.322660353E0,-2.723884774E0,1.600082962E0,3.424798411E0
3.116587083E-1,-3.449808995E0,-9.777684778E-2,7.660618490E-1,3.535193513E0
3.216497083E-1,-5.316586679E0,1.017238061E0,1.257134993E0,5.557090568E0
3.316417083E-1,-6.430297074E0,4.007614365E-1,6.579725593E-1,6.476284280E0
3.416327083E-1,1.705652102E0,-9.111184055E-1,-4.191323356E0,4.615904821E0
3.516247083E-1,1.225494423E1,-2.270067164E0,-9.039830482E0,1.539660346E1
3.616157083E-1,-6.969246635E-1,-4.675364639E0,-4.917104321E0,6.820751674E0
3.716077083E-1,-2.261597764E-1,-5.208374598E0,-1.540836049E0,5.436220188E0
