"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.138083336E-3,8.067090610E-1,3.831849986E-1,-2.606793403E0,2.755536626E0
1.713008334E-2,9.185519707E-1,-3.417311633E-1,-1.098248017E0,1.471960128E0
2.712208333E-2,1.017809480E0,-6.476259112E-1,-5.001047534E-1,1.305932702E0
3.711508333E-2,6.347037108E-1,-1.199586112E0,-3.161215281E-1,1.393480700E0
4.710708333E-2,6.225004256E-1,-8.590050960E-1,-9.838893431E-1,1.446870683E0
5.709908333E-2,6.569535358E-1,-4.425061709E-1,-1.825804197E0,1.990216226E0
6.709208334E-2,7.532991314E-1,2.662646592E-2,-1.911187579E0,2.054460151E0
7.708408334E-2,1.026365272E0,5.275153309E-1,-1.436232870E0,1.842406837E0
8.707708334E-2,1.210540140E0,8.199959815E-1,-1.361197890E0,1.997663769E0
9.706908333E-2,1.053767371E0,8.796349499E-1,-1.295304447E0,1.887325337E0
1.070610833E-1,4.392751457E-1,8.591270104E-1,-8.038021177E-1,1.255850197E0
1.170540833E-1,2.264635393E-1,6.164146435E-1,-8.753340304E-2,6.625064860E-1
1.270460833E-1,-9.394544511E-1,4.013675004E-1,1.615895002E0,1.911749773E0
1.370380833E-1,-1.703247873E0,7.273731619E-2,2.627082072E0,3.131757373E0
1.470303333E-1,-1.407783534E0,-6.427066487E-1,3.218517995E0,3.571244097E0
1.570223333E-1,-1.691911291E0,-1.273278571E0,3.812560022E0,4.361125549E0
1.670143333E-1,-2.448138854E0,-1.476629236E0,2.420515146E0,3.746026070E0
1.770073333E-1,-1.728647885E0,-1.294354860E0,3.667297643E-1,2.190449436E0
1.869993333E-1,1.128558741E0,-1.153696871E0,4.645256156E-1,1.679418158E0
1.969913333E-1,8.125433397E-1,-3.899829715E-1,4.877162576E-3,9.012975001E-1
2.069843333E-1,2.585480156E-1,1.574143544E-1,-5.799297720E-1,6.541749734E-1
2.169763333E-1,-2.200161070E-3,3.416340995E-1,-1.116942735E0,1.168023875E0
2.269683333E-1,-6.713137127E-1,5.745479947E-1,-1.198500284E0,1.489016598E0
2.369613333E-1,-1.908052010E0,9.867217344E-1,-2.756880319E-1,2.165706846E0
2.469533333E-1,-1.835030665E0,1.480822128E0,9.464022589E-1,2.540836270E0
2.569453333E-1,-1.037416217E0,1.924966543E0,2.806638370E0,3.557941475E0
