"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.459083332E-3,4.649247611E-1,6.092275384E-1,-9.790788388E-1,1.243345728E0
1.744808333E-2,3.596631119E-1,8.382983512E-1,-5.595756143E-1,1.070152582E0
2.743808333E-2,3.506816424E-1,8.245837069E-1,-4.752137411E-1,1.014270183E0
3.742808333E-2,3.712745127E-1,7.355715430E-1,-5.203875750E-1,9.745324453E-1
4.741808333E-2,2.896406579E-1,5.483600700E-1,-4.697465944E-1,7.779796527E-1
5.740808333E-2,1.249083669E-1,5.602290407E-1,-5.086165452E-1,7.669090352E-1
6.739708333E-2,3.432834528E-1,2.836294279E-1,-5.635955751E-1,7.182820850E-1
7.738708333E-2,1.039699993E0,-5.352582139E-1,1.445618820E-1,1.178293499E0
8.737708333E-2,-1.589243978E-1,1.377563077E0,-4.922437567E-1,1.471475760E0
9.736708333E-2,-4.824027465E-1,7.067152414E-1,-3.244853854E-2,8.562778462E-1
1.073570833E-1,1.880376846E-2,6.341258597E-1,1.557920444E-1,6.532536634E-1
1.173470833E-1,4.657030986E-1,3.363178110E-1,-4.329231691E-1,7.193132255E-1
1.273360833E-1,7.313459064E-1,-3.295900047E-2,-3.215728873E-1,7.996013084E-1
1.373260833E-1,8.808899085E-1,-8.422475606E-2,-5.258751869E-2,8.864684358E-1
1.473160833E-1,7.109076950E-1,1.682770193E-1,9.329232574E-3,7.306120315E-1
1.573060833E-1,6.332964322E-1,2.985693562E-1,6.651734054E-2,7.033012072E-1
1.672960833E-1,3.847099525E-1,5.424809870E-1,-9.022838473E-2,6.711397248E-1
1.772860833E-1,3.006313768E-1,5.319723710E-1,-3.892585015E-1,7.244970733E-1
1.872750833E-1,4.219646099E-1,4.571978849E-1,-5.406978786E-1,8.242804340E-1
1.972650833E-1,1.461890251E-1,4.088434580E-1,-4.989645463E-1,6.614301344E-1
2.072550833E-1,6.868154123E-2,3.812647730E-1,-4.678409868E-1,6.074168011E-1
2.172450833E-1,-1.262989810E-1,4.268838724E-1,-1.025975847E-1,4.568452009E-1
2.272350833E-1,-2.892605889E-1,2.587875322E-1,7.650619751E-1,8.578825682E-1
2.372240833E-1,4.347653344E-2,4.730163574E-2,1.049583396E0,1.051547887E0
2.472140833E-1,4.519796835E-1,3.855654001E-2,3.142053956E-1,5.518127143E-1
2.572040833E-1,2.865707235E-1,2.419548601E-2,-2.511759192E-1,3.818344451E-1
2.671940833E-1,4.199805035E-1,-1.944251829E-1,-1.580543321E-1,4.890459559E-1
