"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.052000000E-3,3.410534710E-2,9.812195045E-1,-8.734599978E-1,1.314110824E0
1.104200000E-2,3.542889360E-1,5.815284008E-1,-1.527473992E0,1.672385341E0
2.103300000E-2,1.008259953E0,4.040759307E-1,-1.989957760E0,2.267112123E0
3.102300000E-2,1.200277838E0,4.596753502E-1,-1.789322249E0,2.203098370E0
4.101400000E-2,1.035218541E0,3.837036467E-1,-1.205844387E0,1.634920977E0
5.100400000E-2,4.300507244E-1,4.784250319E-1,-4.215281153E-1,7.691034317E-1
6.099500000E-2,-6.122356385E-1,9.664120156E-1,1.189345298E0,1.650250557E0
7.098500000E-2,-1.413698139E0,1.154565475E0,2.640044764E0,3.209579446E0
8.097600000E-2,-1.493512487E0,9.029679716E-1,2.605177233E0,3.135742196E0
9.096600000E-2,-1.130863786E0,9.475535756E-1,1.094108189E0,1.836786164E0
1.009570000E-1,-1.756977206E-1,1.098950853E0,-9.292219698E-1,1.449833140E0
1.109470000E-1,7.960468094E-1,1.083790777E0,-2.357540048E0,2.714090649E0
1.209380000E-1,1.217953093E0,9.997537163E-1,-2.722134410E0,3.145303320E0
1.309280000E-1,1.119381317E0,1.243103722E0,-2.559642041E0,3.057791486E0
1.409190000E-1,5.063472408E-1,1.559825759E0,-1.953036686E0,2.550254149E0
1.509090000E-1,-1.853185831E-1,1.519651295E0,-1.123117980E0,1.898704040E0
1.609000000E-1,-5.522775583E-1,1.122708967E0,-2.947873771E-1,1.285451486E0
1.708900000E-1,-9.011136733E-1,8.675151336E-1,6.499080795E-1,1.409598833E0
1.808810000E-1,-5.827310269E-1,4.204805866E-1,5.790918660E-1,9.228904391E-1
1.908710000E-1,-5.089804613E-1,8.377338025E-1,9.961608946E-2,9.852829031E-1
2.008620000E-1,-1.762730574E0,1.462133111E0,-2.011933351E0,3.048430435E0
2.108520000E-1,7.530526713E-2,1.210270144E0,-2.807330680E0,3.058027184E0
2.208430000E-1,9.104341350E-1,1.118497218E0,-1.754303275E0,2.271014381E0
2.308330000E-1,-4.110146753E-1,6.866911590E-1,-2.580902517E-2,8.007146289E-1
2.408240000E-1,-6.989483117E-1,1.292215656E-1,6.583245617E-1,9.688230922E-1
2.508140000E-1,-2.284947158E-1,1.987898371E-1,6.212380117E-1,6.911323330E-1
2.608050000E-1,1.571431167E-1,5.629001950E-1,1.483183088E0,1.594171465E0
2.707950000E-1,2.948647065E-1,1.190797454E0,2.862178148E0,3.114001850E0
2.807860000E-1,5.597704728E-1,1.184216998E0,3.188101948E0,3.446695071E0
2.907760000E-1,4.686769925E-1,-1.800546272E-1,1.792700770E0,1.861680382E0
3.007670000E-1,6.565429151E-1,-1.857690087E0,3.764840895E-1,2.005941507E0
3.107570000E-1,2.265294228E0,-3.134392934E0,-1.577410383E0,4.176625494E0
3.207480000E-1,2.912128572E0,-3.066528980E0,-2.709554125E0,5.022526890E0
3.307380000E-1,2.348191228E0,-5.089703017E-1,-3.144463009E0,3.957360285E0
3.407290000E-1,2.183716945E0,1.852190927E0,-2.187745092E0,3.603534309E0
3.507190000E-1,1.390673558E0,2.030848655E0,-1.572178295E0,2.920627294E0
3.607100000E-1,8.678092486E-1,8.936836164E-1,-2.351771770E0,2.661314291E0
3.707000000E-1,7.749483012E-1,-1.663187867E-1,-3.463615733E0,3.553145192E0
3.806910000E-1,9.328976758E-1,-1.049640845E0,-4.311790032E0,4.534708067E0
3.906810000E-1,1.367534371E0,-1.403437591E0,-4.603939730E0,5.003603538E0
4.006720000E-1,1.635106614E0,-1.883089661E0,-5.109529756E0,5.685674511E0
4.106620000E-1,1.555841174E0,-6.708229852E-1,-4.650573029E0,4.949593391E0
4.206530000E-1,2.078396897E0,5.817272061E-1,-4.227159187E0,4.746263266E0
4.306430000E-1,2.703758365E0,-9.124580026E-3,-4.731467503E0,5.449511656E0
4.406340000E-1,2.170707475E0,-8.790671852E-1,-4.605044854E0,5.166349597E0
4.506240000E-1,1.538733975E0,-1.573848259E0,-4.403617630E0,4.923062951E0
4.606150000E-1,1.785009343E0,-2.166187577E0,-4.562419236E0,5.356705729E0
4.706050000E-1,2.120487202E0,-2.340085233E0,-4.808322136E0,5.752601727E0
4.805960000E-1,2.352169673E0,-2.475855241E0,-5.077794578E0,6.119359372E0
4.905860000E-1,2.680740800E0,-2.975106593E0,-5.366925359E0,6.696380984E0
5.005770000E-1,2.568795564E0,-4.594964839E0,-4.371363219E0,6.842603957E0
5.105670000E-1,3.193444842E0,-5.276665984E0,-5.423485476E0,8.213129036E0
5.205580000E-1,3.184977781E0,-5.168859699E0,-6.276327022E0,8.732323571E0
5.305480000E-1,2.251888463E0,-3.930964677E0,-6.551556632E0,7.965323549E0
5.405390000E-1,1.872567889E0,-2.961781081E0,-6.744177364E0,7.600170129E0
5.505290000E-1,1.336985155E0,-3.205107406E0,-6.886653544E0,7.712732319E0
5.605200000E-1,9.366765851E-1,-4.013527654E0,-6.013010529E0,7.289860278E0
5.705100000E-1,7.624722433E-1,-3.911997187E0,-5.082821429E0,6.459114459E0
5.805010000E-1,7.826387054E-1,-3.778910173E0,-4.363848962E0,5.825449614E0
5.904910000E-1,9.401375520E-1,-4.388354058E0,-3.483185195E0,5.681028873E0
6.004820000E-1,9.583329177E-1,-5.120563452E0,-2.292531874E0,5.691596827E0
6.104720000E-1,7.236712897E-1,-5.632742706E0,-1.159319261E0,5.796163531E0
6.204630000E-1,6.080841154E-1,-6.098040739E0,-3.957389706E-1,6.141048483E0
