"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.686000001E-3,1.630387180E-1,1.032653368E-1,-1.967554153E0,1.976996383E0
1.867800000E-2,7.059496947E-1,-5.248987019E-2,-1.977295030E0,2.100194227E0
2.867100000E-2,1.165728906E0,-5.536342585E-1,-2.128349075E0,2.489036874E0
3.866400000E-2,1.384298046E0,-1.088299272E0,-2.033255807E0,2.689759388E0
4.865600000E-2,1.488934263E0,-1.179551212E0,-1.726709095E0,2.567058745E0
5.864900000E-2,1.331710966E0,-9.623467389E-1,-6.839616787E-1,1.779710348E0
6.864100000E-2,5.417224935E-1,-6.093968153E-1,1.492712880E0,1.700887850E0
7.863400000E-2,1.148995052E-1,-5.955681503E-3,3.364137053E0,3.366103902E0
8.862700000E-2,1.148232356E0,-1.843871216E0,4.441874208E0,4.944547005E0
9.861900000E-2,7.883488038E-1,-2.598828034E0,4.161142368E0,4.968954295E0
1.086120000E-1,4.876083034E-1,-1.488467216E-1,2.870606909E0,2.915527608E0
1.186040000E-1,-3.091294277E-1,5.428496540E-2,8.053650784E-1,8.643614812E-1
1.285970000E-1,-5.377723704E-1,7.467271534E-1,-1.143992540E0,1.468168756E0
1.385900000E-1,-6.804570770E-1,2.001361877E0,-1.687939131E0,2.705108077E0
1.485820000E-1,-1.339752350E0,2.782395814E0,-1.677909402E0,3.514547309E0
1.585750000E-1,-2.240429674E0,3.061768469E0,-1.938440866E0,4.260458224E0
1.685670000E-1,-2.336103571E0,3.240911077E0,-2.052859767E0,4.491672041E0
1.785600000E-1,-1.552499637E0,3.474687436E0,-2.502366809E0,4.554728043E0
1.885530000E-1,-8.566895255E-1,3.426902236E0,-2.840703079E0,4.532898616E0
1.985450000E-1,-1.012867778E0,2.780019506E0,-2.684839114E0,3.995343622E0
2.085380000E-1,-1.170532174E0,1.022145044E0,-1.712954105E0,2.312820319E0
2.185300000E-1,-1.332747531E0,-1.247899316E0,2.567383754E-1,1.843741652E0
2.285230000E-1,-1.151745655E0,-3.109670321E0,1.863722806E0,3.803949298E0
2.385160000E-1,-3.275096384E-1,-3.601177914E0,2.750708583E0,4.543362481E0
2.485080000E-1,7.987001297E-1,-3.504046014E0,2.652489393E0,4.466761729E0
2.585010000E-1,1.377141054E0,-3.483156543E0,3.012971408E0,4.806963043E0
2.684930000E-1,1.201859509E0,-2.199769014E0,8.520404774E-1,2.647531486E0
2.784860000E-1,1.134601327E0,-2.984562126E-1,-1.233761918E0,1.702517181E0
2.884790000E-1,3.654315363E-1,1.635391227E0,-1.077965780E0,1.992499661E0
2.984710000E-1,-1.074074312E0,2.910428202E0,5.960558081E-1,3.159036321E0
3.084640000E-1,-2.438598391E0,2.975929297E0,1.934775247E0,4.306538349E0
3.184560000E-1,-2.718881896E0,1.894598151E0,3.183552230E0,4.595304747E0
3.284490000E-1,-2.192487476E0,2.044319616E-1,2.315234858E0,3.195169199E0
3.384410000E-1,-1.304918147E0,-1.463943702E0,1.169650122E0,2.283423732E0
3.484340000E-1,-1.411795601E-2,-2.797332819E0,-6.793651825E-1,2.878681515E0
3.584270000E-1,5.327889347E-1,-2.806873721E0,-2.256025953E0,3.640337516E0
3.684190000E-1,1.159077771E0,-1.658649259E0,-3.593719205E0,4.124244945E0
3.784120000E-1,1.900338363E0,-2.730394259E-1,-4.141089342E0,4.564477775E0
3.884040000E-1,3.801622805E-1,-8.785232480E-1,-5.284950319E0,5.370942779E0
3.983970000E-1,-7.204162909E-1,-4.245231761E0,-7.414128529E0,8.573814448E0
4.083900000E-1,4.478452635E-1,-6.094354654E0,-7.475949971E0,9.655648709E0
4.183820000E-1,9.433342248E-2,-5.135501334E0,-8.883352559E0,1.026139491E1
4.283750000E-1,5.063029189E0,-2.838322678E0,-1.197823176E1,1.331046116E1
4.383670000E-1,1.235374931E1,-1.362460450E0,-1.091068221E1,1.653827097E1
4.483600000E-1,3.745863172E0,-2.623118244E0,-2.944300538E0,5.438855200E0
4.583530000E-1,1.584118894E0,-2.608240297E0,-8.663000822E-1,3.172195761E0
4.683450000E-1,1.617595958E0,-3.492083780E0,2.372829348E-1,3.855848674E0
4.783380000E-1,-5.238000101E-1,-4.992491303E0,7.959972543E-1,5.082612270E0
4.883300000E-1,-2.098242347E0,-4.249600216E0,1.727762178E0,5.044490567E0
4.983230000E-1,-3.958348650E0,-3.741042143E0,3.433390014E0,6.438329545E0
5.083160000E-1,-5.708359483E0,-3.542393223E0,6.582033489E0,9.405162550E0
5.183080000E-1,-8.528617773E0,-5.831906472E0,1.451774535E1,1.781890525E1
5.283010000E-1,-9.156354965E0,-4.601226037E0,1.571700109E1,1.876257553E1
5.382930000E-1,-1.164043695E1,1.781967621E0,1.195072880E1,1.677781570E1
5.482901250E-1,-1.321237083E1,4.602824958E0,9.701514269E0,1.702563125E1
5.582831250E-1,-1.242937720E1,4.825241347E0,6.154382755E0,1.468498548E1
5.682751250E-1,-1.180998398E1,5.619270136E0,1.042580770E0,1.312017123E1
5.782681250E-1,-1.097384968E1,5.919164472E0,-2.884919432E0,1.279783751E1
5.882601250E-1,-9.909844716E0,5.503183025E0,-2.473494545E1,2.720859372E1
5.982531250E-1,-8.172228810E0,5.009539445E0,-2.818005474E1,2.976568989E1
6.082461250E-1,-3.792579501E0,-1.239742742E0,-4.151045688E0,5.757760124E0
6.182381250E-1,1.827756582E0,-3.428170204E0,-6.514219236E-1,3.939212561E0
6.282311250E-1,4.928887630E0,-3.561558057E0,-3.579151745E0,7.056128987E0
6.382231250E-1,5.404416536E0,-2.435622012E0,-4.429505300E0,7.400033100E0
6.482161250E-1,6.225452737E0,8.085529804E-3,-3.200002202E0,6.999738656E0
6.582081250E-1,5.600536242E0,1.204580804E0,1.458737049E-1,5.730471207E0
6.682011250E-1,9.285974872E-1,3.404586922E0,4.963393219E0,6.090055636E0
6.781941250E-1,-6.031692383E0,6.754002441E0,6.050620989E0,1.089072432E1
6.881861250E-1,-1.288611958E1,7.580041519E0,3.933180479E0,1.545894615E1
6.981791250E-1,-1.410488515E1,6.443305959E0,2.982531973E0,1.579112009E1
7.081711250E-1,-6.375745475E0,1.178282366E0,3.610853301E0,7.421370579E0
7.181641250E-1,-4.556462093E0,-3.477456093E-1,2.723773384E-1,4.577822979E0
7.281571250E-1,-4.891257289E0,3.964412212E-3,-2.253658707E0,5.385479659E0
7.381491250E-1,-7.554454688E0,-9.499503493E-1,-2.638618044E0,8.058194369E0
7.481421250E-1,-9.147091806E0,-3.342895288E0,-1.800905876E0,9.903913337E0
7.581341250E-1,-8.660000616E0,-3.883079197E0,-1.694115838E0,9.640743912E0
7.681271250E-1,-1.099905118E1,-6.811602777E-1,8.267015684E0,1.377630773E1
7.781201250E-1,-9.177231864E0,4.980240217E0,2.152182794E1,2.392098358E1
7.881121250E-1,1.391233867E0,2.176923065E0,-4.930279852E0,5.566164310E0
7.981051250E-1,1.074064986E1,2.703344382E0,-1.193257203E1,1.628053763E1
8.080971250E-1,1.664770007E1,4.223400596E0,-4.799898638E0,1.783317294E1
8.180901250E-1,1.983894080E1,2.234067319E0,2.255099754E0,2.009129423E1
8.280821250E-1,1.745689507E1,2.330793715E0,-2.316261045E0,1.776346954E1
8.380751250E-1,1.198049581E1,5.708116824E0,-5.288410116E0,1.428573271E1
8.480681250E-1,8.962808619E0,5.551866358E0,-7.558792738E0,1.297268307E1
8.580601250E-1,9.988410244E0,1.272664028E-1,-6.349228937E0,1.183626816E1
8.680531250E-1,1.390198092E1,-4.986327753E0,-5.677202595E0,1.582274209E1
8.780451250E-1,1.971010325E1,-9.490809853E0,-8.336625617E0,2.341074473E1
8.880381250E-1,1.822841179E1,-1.163458622E1,-5.780949157E0,2.238432412E1
8.980311250E-1,6.778337967E0,-1.579272721E0,-3.285648124E0,7.696457076E0
9.080231250E-1,-1.367354306E1,5.969273940E0,9.102809672E0,1.747738983E1
9.180161250E-1,-2.752080457E1,8.351962863E0,1.485834566E1,3.237159872E1
9.280081250E-1,-2.522008191E1,1.333908701E1,2.783519649E0,2.866586394E1
9.380011250E-1,-1.133440420E1,6.200060034E0,-5.276259018E0,1.395522742E1
9.479931250E-1,-9.416496420E-1,1.065831639E0,-5.488320572E0,5.669599971E0
9.579861250E-1,1.705244551E0,-2.863541719E0,-1.108352298E0,3.512289135E0
9.679791250E-1,-3.592038131E-1,-2.142401689E0,1.845425114E0,2.850351948E0
9.779711250E-1,-4.376690032E0,-2.227648830E0,5.677278024E-1,4.943697989E0
9.879641250E-1,-4.077470466E0,2.711769050E-1,-2.850710589E0,4.982554884E0
9.979561250E-1,-5.405892373E0,4.640970147E0,-5.187687734E0,8.813307000E0
1.007949125E0,-4.012697935E0,5.843330178E0,1.618169569E0,7.270813231E0
1.017942125E0,5.306669801E-1,4.522664017E0,5.738581987E0,7.325805108E0
1.027934125E0,4.136718548E0,-4.364969873E-1,4.535496901E0,6.154161365E0
1.037927125E0,7.268477896E0,-8.685257079E0,2.622754548E0,1.162511518E1
1.047919125E0,2.192336910E0,-1.081649176E1,1.739242163E0,1.117263614E1
1.057912125E0,-2.007984141E0,-1.406803833E1,-2.395063385E-2,1.421063955E1
1.067904125E0,-3.510337910E0,-1.289851100E1,2.705041829E-1,1.337038634E1
1.077897125E0,-4.864493998E0,-1.049011538E1,-2.191648985E0,1.176899094E1
1.087890125E0,-3.269068051E0,-7.223828557E0,-1.889160094E0,8.151038634E0
1.097882125E0,-9.647847354E-1,-1.734606929E0,4.344168404E-1,2.031843688E0
1.107875125E0,7.494075170E-1,-8.393239528E-1,1.797455726E0,2.120595061E0
1.117867125E0,1.215342604E0,3.660707831E-2,1.885422700E0,2.243483114E0
1.127860125E0,1.714750369E0,-2.504239672E-1,-1.068502062E0,2.035872699E0
1.137853125E0,-3.942818445E-1,-2.051671028E-2,-4.845552528E-1,6.250383199E-1
1.147845125E0,-2.961737520E-1,6.358077528E0,1.575633999E0,6.557094726E0
1.157838125E0,2.024579124E0,6.834191156E0,-3.478239620E-1,7.136250479E0
1.167830125E0,1.029287418E0,3.569555587E-1,-5.232357538E0,5.344568763E0
1.177823125E0,-1.351110858E0,3.928235489E-1,-1.927127674E0,2.386133266E0
1.187815125E0,-2.039824862E0,1.253510889E0,2.087488732E0,3.176442070E0
1.197808125E0,-1.961867444E0,1.025364813E0,6.602594054E-1,2.310030162E0
1.207801125E0,-1.349113742E0,8.129231894E-1,-3.653059673E-1,1.616910774E0
1.217793125E0,-3.800567383E-1,-6.488017863E-1,-2.137421615E0,2.265823921E0
1.227786125E0,1.159953099E-1,-1.927515344E0,-1.994637287E0,2.776211126E0
1.237778125E0,1.002804793E0,-1.730896870E0,-4.211083583E-1,2.044248928E0
1.247771125E0,9.642640409E-1,-8.423586577E-1,5.358890554E-1,1.388002280E0
1.257763125E0,6.115398198E-2,1.363218103E0,9.537205609E-1,1.664838225E0
1.267756125E0,1.691688366E0,5.904986728E0,-6.817488000E-4,6.142530281E0
1.277749125E0,4.900925660E0,1.408478476E1,2.733538234E-1,1.491559440E1
1.287741125E0,3.236259909E0,5.608896006E0,2.376518210E-1,6.479936033E0
1.297734125E0,8.080588907E-1,1.971161885E0,-1.982827080E0,2.910333586E0
1.307726125E0,9.326763587E-1,3.608605047E0,-1.997831036E0,4.228858525E0
1.317719125E0,1.206303978E0,4.406884469E0,-1.500542886E0,4.809098561E0
1.327711125E0,1.636558624E0,5.133348389E0,-1.565230633E0,5.610662773E0
1.337704125E0,1.925661338E0,8.035364202E0,-1.127940836E0,8.339514373E0
1.347697125E0,4.012382770E-1,8.175672235E0,4.178397647E-1,8.196169759E0
1.357689125E0,-6.041525938E-2,4.945001972E0,8.754744367E-1,5.022265424E0
1.367682125E0,-1.067692807E-1,2.878704718E0,4.926138854E-1,2.922500466E0
1.377674125E0,-9.130840932E-1,-4.768928275E0,5.664139330E-1,4.888478720E0
1.387667125E0,-1.747279307E0,-1.128263763E1,1.305638816E0,1.149154427E1
1.397659125E0,-1.263371341E0,-7.565141644E0,-1.697474917E0,7.855501024E0
1.407652125E0,-4.480022612E-1,-6.659131367E0,-3.240184268E0,7.419132744E0
1.417645125E0,-8.244958524E-1,-7.502784013E0,4.745788796E-1,7.562855709E0
1.427637125E0,-6.784788908E-1,-8.857568677E0,1.978904914E0,9.101259316E0
1.437630125E0,-4.407046437E-1,-1.060366714E1,-7.211955786E-1,1.063729761E1
1.447622125E0,6.886778967E-1,-7.863452554E0,-1.270418405E0,7.995131408E0
1.457615125E0,4.043437332E-1,-2.933397235E0,-4.552935930E-1,2.995931482E0
1.467607125E0,1.101571575E-1,-1.317194669E0,4.050132394E-1,1.382451489E0
1.477600125E0,8.951914671E-1,-3.537138623E-1,9.229223259E-1,1.333516734E0
1.487593125E0,1.336111873E0,3.417007577E-1,2.141375795E0,2.547046258E0
1.497585125E0,1.502777107E0,1.544121015E-1,1.647170005E0,2.235028223E0
1.507578125E0,1.645114416E0,1.945544064E0,2.941740919E0,3.891706924E0
1.517570125E0,2.864548025E-1,5.987188055E0,3.951202183E0,7.179169579E0
1.527563125E0,-4.666484472E-1,6.976715283E0,4.206357132E0,8.160009635E0
1.537555125E0,-6.953143403E-1,6.003767835E0,3.982420175E0,7.237980429E0
1.547548125E0,-1.590190935E0,6.040117636E0,1.661729864E0,6.463209296E0
1.557541125E0,-1.995850876E0,4.944539457E0,2.612457893E0,5.937745987E0
1.567533125E0,-9.222611520E-1,3.382879719E0,3.402879243E0,4.886105603E0
1.577526125E0,-3.073705852E-1,1.675843581E0,2.966797700E0,3.421230331E0
1.587518125E0,-1.855540797E-2,1.256422802E0,2.133499303E0,2.476037527E0
1.597511125E0,2.911771600E-1,1.457104506E0,1.124943480E0,1.863715513E0
1.607503125E0,2.868394031E-1,1.564793846E0,2.124705675E-1,1.604992326E0
1.617496125E0,-5.219692469E-2,2.104808185E0,3.342364946E-1,2.131819891E0
1.627489125E0,-4.907939395E-1,3.839181810E0,5.968100989E-1,3.916168785E0
1.637481125E0,-1.160420877E0,6.369180222E0,3.759174943E-1,6.484932326E0
1.647474125E0,-1.462099490E0,8.692941490E0,-6.196007913E-1,8.836790809E0
1.657466125E0,-9.044584268E-1,8.667622461E0,-2.665816367E0,9.113303522E0
1.667459125E0,-7.675327161E-1,6.622588608E0,-3.725288574E0,7.637117342E0
1.677451125E0,7.675090349E-1,4.787086219E0,-2.828263713E0,5.612872724E0
1.687444125E0,1.182883540E0,7.836607402E0,-5.504988061E0,9.649690285E0
1.697436125E0,-4.638508469E0,1.528115549E1,-5.085790645E0,1.675991469E1
1.707429125E0,-3.741380696E0,1.456646669E-1,-9.617997319E-1,3.865773717E0
1.717422125E0,-5.114005215E0,-5.170213330E0,3.055730926E0,7.888069898E0
1.727414125E0,-2.642318746E-1,-1.390278900E1,-1.723303676E0,1.401167856E1
1.737407125E0,4.517863453E0,-1.701150096E1,-3.071775686E0,1.786723429E1
1.747399125E0,7.969752011E-1,-3.772484960E0,-2.309826184E0,4.494675655E0
1.757392125E0,-2.402371528E0,3.252586797E0,-6.456852204E-1,4.094828352E0
1.767384125E0,-1.868389761E0,1.809585775E0,-1.640360922E0,3.075104052E0
1.777377125E0,9.970639971E-1,-2.257715213E0,-3.563228899E-1,2.493668102E0
1.787370125E0,2.570054470E0,-6.133906390E0,-1.033100680E0,6.730325742E0
1.797362125E0,2.668724772E0,-5.416182888E0,-2.040609850E0,6.373477665E0
1.807355125E0,5.850601190E0,-7.371940868E0,-3.456448216E0,1.002607005E1
1.817347125E0,7.648321211E0,-1.017018848E1,-4.483540297E0,1.349191183E1
1.827340125E0,6.907892970E0,-9.698766078E0,-5.499927880E0,1.311618296E1
1.837332125E0,6.511686807E0,-7.470333136E0,-4.931904209E0,1.106940023E1
1.847325125E0,7.079044481E0,-7.096269209E0,-4.219847243E0,1.087552381E1
1.857317125E0,6.379526285E0,-8.241879088E0,-4.744987435E0,1.145171744E1
1.867310125E0,6.434701781E0,-8.535125724E0,-5.226484010E0,1.189831472E1
1.877303125E0,6.567914218E0,-8.043453825E0,-5.101992111E0,1.157000303E1
1.887295125E0,4.394680161E0,-2.975364456E0,-6.613575709E0,8.479704654E0
1.897288125E0,9.540977794E-1,7.638861001E-1,-7.056549073E0,7.161613601E0
1.907280125E0,-4.008585295E0,3.898735117E0,-4.265629773E0,7.033099526E0
1.917273125E0,-3.718839388E0,7.456289293E0,-3.726778445E0,9.127699271E0
1.927265125E0,2.434847841E-1,2.459655238E0,-4.445708812E0,5.086601574E0
1.937258125E0,9.819875363E-1,-5.187591255E0,-5.840508896E0,7.873178946E0
1.947251125E0,2.826893418E0,-8.510269210E0,-7.242865922E0,1.152714688E1
1.957243125E0,4.460833805E0,-8.559384068E0,-7.152617072E0,1.201341021E1
1.967236125E0,4.083728741E0,-7.564796659E0,-6.728669963E0,1.091686715E1
