"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.077075000E-2,1.628478795E-2,-4.549575242E-1,1.016561830E0,1.113844467E0
4.076375000E-2,-1.101254363E-1,-1.306610039E-1,4.493234396E-1,4.807197344E-1
5.075675000E-2,2.461759651E-1,4.481095576E-1,-2.300446665E-1,5.606472420E-1
6.074975000E-2,5.190696126E-1,4.407695478E-1,-7.610484463E-1,1.021227592E0
7.074375000E-2,-9.087274790E-2,5.959365249E-2,-9.860919893E-1,9.920618282E-1
8.073675000E-2,-8.944634888E-1,1.950406024E-1,-7.074745023E-1,1.156990035E0
9.072975000E-2,-1.394438580E0,3.801178417E-1,-3.085616630E-1,1.477889992E0
1.007227500E-1,-1.350939535E0,2.011734545E-1,-5.522806281E-1,1.473269248E0
1.107157500E-1,-4.286608413E-1,-2.038678515E-1,-1.137153051E0,1.232245625E0
1.207087500E-1,6.982291773E-1,-2.269772172E-1,-1.596037858E0,1.756809462E0
1.307017500E-1,1.924419536E0,-4.217827615E-1,-1.610912590E0,2.544863576E0
1.406947500E-1,1.482200902E0,-3.831958160E-1,-1.497922164E-1,1.538244537E0
1.506877500E-1,-1.246651228E-1,6.830044895E-2,1.822030404E0,1.827567000E0
1.606807500E-1,-1.175107767E0,3.707484095E-1,2.774789756E0,3.036081494E0
1.706747500E-1,-1.188629892E0,5.542859307E-1,2.503353819E0,2.826102308E0
1.806677500E-1,-3.402616118E-1,4.497220735E-1,1.426096137E0,1.533550814E0
1.906607500E-1,5.027031098E-1,1.204336390E-1,3.014602196E-1,5.984086748E-1
2.006537500E-1,4.395107885E-1,-5.152537197E-2,4.546245253E-1,6.344352261E-1
2.106467500E-1,-7.530088171E-2,-8.164437979E-1,2.951352865E-1,8.714100845E-1
2.206397500E-1,2.694667406E-1,-5.001538700E-1,1.858128190E-2,5.684289595E-1
2.306327500E-1,4.389354225E-1,3.305755529E-1,1.039588165E-1,5.592422881E-1
2.406257500E-1,5.291858804E-1,3.509835050E-1,-3.511252999E-3,6.350113745E-1
2.506187500E-1,8.866954628E-1,3.722476356E-1,2.003314555E-2,9.618723786E-1
2.606127500E-1,1.374928176E0,2.104597101E-1,-5.018080473E-3,1.390951458E0
2.706057500E-1,1.771542913E0,1.971724972E-2,-2.749436814E-1,1.792860031E0
2.805987500E-1,1.479644353E0,1.683398768E-2,-8.318079418E-1,1.697508541E0
2.905917500E-1,4.525155808E-1,2.035339755E-1,-1.272939432E0,1.366225175E0
3.005847500E-1,-6.778972390E-1,2.726990815E-1,-1.200052720E0,1.405003910E0
3.105777500E-1,-1.163889153E0,2.446726459E-1,-9.389990991E-1,1.515328998E0
3.205707500E-1,-1.181680622E0,4.489043404E-1,-4.032924038E-1,1.326849261E0
3.305637500E-1,-1.042644359E0,3.739458132E-1,3.723261344E-1,1.168575834E0
3.405567500E-1,-9.543468708E-1,-1.046628213E-1,9.693163276E-1,1.364297035E0
3.505497500E-1,-3.458802013E-1,-4.754153238E-1,7.707004452E-1,9.693461817E-1
3.605437500E-1,2.722677031E-1,-5.078270249E-1,5.998781329E-1,8.317882926E-1
3.705367500E-1,4.728834794E-1,-3.563353153E-1,5.499224460E-1,8.080893135E-1
3.805297500E-1,1.285340792E-1,-3.683386257E-1,8.752346277E-2,3.998183453E-1
3.905227500E-1,-2.848576355E-1,-1.410700710E-1,-6.977219313E-1,7.667206342E-1
4.005157500E-1,-1.039332350E-1,-5.109662488E-2,-1.288315271E0,1.293510425E0
4.105087500E-1,7.384040804E-1,-2.899740954E-1,-1.554346626E0,1.745084237E0
4.205017500E-1,1.303100686E0,-4.831163992E-1,-1.052385966E0,1.743269651E0
4.304947500E-1,1.183209815E0,1.644009000E-1,-4.664721537E-1,1.282423250E0
4.404877500E-1,-8.700656891E-2,5.915347409E-1,2.720627582E-1,6.568878421E-1
4.504807500E-1,-1.526998467E0,5.660535984E-1,2.010663920E0,2.587452491E0
4.604747500E-1,-1.609823838E0,1.635039371E-1,2.515908961E0,2.991331514E0
4.704677500E-1,-9.850486998E-1,-8.773206219E-2,1.388263482E0,1.704492109E0
4.804608333E-1,-2.277588437E-1,6.125996277E-2,7.909452599E-1,8.253613016E-1
4.904538333E-1,9.770887390E-2,-1.521791960E-1,2.215089011E-1,2.859575581E-1
5.004468333E-1,1.601634228E-1,-3.997448981E-1,-1.913735211E-1,4.712452972E-1
5.104398333E-1,1.297643334E-3,-4.373916113E-1,-6.168122542E-1,7.561550519E-1
5.204328333E-1,-1.688618870E-1,-2.271631587E-1,-9.857008106E-1,1.025535726E0
5.304258333E-1,-1.011451364E-1,-4.128455848E-2,-1.190137011E0,1.195140519E0
5.404188333E-1,1.384546115E-1,1.209745064E-2,-1.252047915E0,1.259738072E0
5.504118333E-1,7.785436079E-1,-1.832802437E-1,-8.894930631E-1,1.196210561E0
5.604048333E-1,1.531054388E0,-3.241740212E-1,-4.763334829E-1,1.635882002E0
5.703988333E-1,1.511685779E0,-1.557904364E-1,-2.159979004E-1,1.534965683E0
5.803918333E-1,5.671030274E-1,7.522735298E-2,3.743937099E-1,6.836926563E-1
5.903848333E-1,-3.431853658E-1,4.150741048E-1,1.706486499E0,1.789457706E0
6.003778333E-1,-9.955007440E-1,7.018070886E-1,2.221604564E0,2.533590685E0
