"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.121513000E-3,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
9.015263000E-3,7.939124107E-2,-1.637411118E-2,9.026527405E-3,8.156322010E-2
1.371791900E-2,1.603722572E-1,-1.049175262E-1,-5.989456177E-2,2.007842293E-1
1.851620100E-2,2.119493484E-1,-1.718864441E-1,-1.264104843E-1,3.007442211E-1
2.331443000E-2,1.742208004E-1,-2.002615929E-1,-1.388463974E-1,2.995595349E-1
2.811260700E-2,-8.273625374E-2,-7.864379883E-2,-3.428959846E-1,3.613969992E-1
3.291083600E-2,-3.008666039E-1,7.006168365E-2,-3.576984406E-1,4.726283182E-1
3.770906500E-2,-4.119117260E-1,2.175984383E-1,-2.737288475E-1,5.403219710E-1
4.250724200E-2,-3.337621689E-1,2.700977325E-1,-6.941699982E-2,4.349352715E-1
4.730547100E-2,-1.602649689E-1,1.825718880E-1,1.278877258E-1,2.745407528E-1
5.210370100E-2,5.849671364E-2,5.819797516E-3,2.026271820E-1,2.109822515E-1
5.690187800E-2,2.747046947E-1,-2.147502899E-1,1.300125122E-1,3.721338599E-1
6.170010700E-2,5.398290157E-1,-3.155937195E-1,-1.321067810E-1,6.391142023E-1
6.649833600E-2,4.831769466E-1,-5.598764420E-1,-2.463483810E-1,7.794928588E-1
7.129651300E-2,5.834896564E-1,-7.147178650E-1,-3.865995407E-1,1.000370437E0
7.609474200E-2,8.580421209E-1,-8.539185524E-1,-3.664083481E-1,1.264779923E0
8.089297100E-2,1.021242380E0,-8.682093620E-1,-5.240855217E-1,1.439232132E0
8.569114900E-2,9.711042643E-1,-7.639870644E-1,-7.064142227E-1,1.423285207E0
9.048937800E-2,8.649082184E-1,-6.778459549E-1,-7.932062149E-1,1.355255498E0
9.528760700E-2,7.396258116E-1,-5.487270355E-1,-7.355647087E-1,1.178644620E0
1.000857840E-1,5.410740376E-1,-3.070993423E-1,-4.744043350E-1,7.823877512E-1
1.048840130E-1,2.350850105E-1,7.976961136E-2,-7.315063477E-2,2.588033393E-1
1.096822420E-1,-5.473518372E-2,3.897147179E-1,1.752252579E-1,4.307869458E-1
1.144804190E-1,-2.251200676E-1,5.240483284E-1,3.282966614E-1,6.580914778E-1
1.192786490E-1,-2.810997963E-1,4.788103104E-1,3.835372925E-1,6.748164665E-1
1.240768780E-1,-2.078733444E-1,3.667545319E-1,3.726119995E-1,5.626365755E-1
1.288750550E-1,-1.289467812E-1,2.524123192E-1,2.311973572E-1,3.657751621E-1
1.336732840E-1,3.698444366E-2,8.740377426E-2,6.730842590E-2,1.163515923E-1
1.384715130E-1,1.418135166E-1,-4.348039627E-2,-8.426284790E-2,1.705926314E-1
1.432696900E-1,1.690237522E-1,-1.183986664E-1,-1.736044884E-1,2.696771985E-1
1.480679190E-1,1.278624535E-1,-1.461663246E-1,-2.053761482E-1,2.826530801E-1
1.528661490E-1,1.246318817E-1,-1.191282272E-1,-2.532482147E-1,3.063646499E-1
1.576643260E-1,8.168673515E-2,-9.443426132E-2,-2.565417290E-1,2.853142322E-1
1.624625550E-1,6.764125824E-2,-4.894971848E-2,-2.233376503E-1,2.384347307E-1
1.672607840E-1,5.868268013E-2,-4.377651215E-2,-1.939392090E-1,2.072979902E-1
1.720590130E-1,3.866338730E-2,-2.921056747E-2,-1.446533203E-1,1.525539178E-1
1.768571900E-1,4.786109924E-2,-5.688667297E-3,-8.032226562E-2,9.367343333E-2
1.816554190E-1,1.128029823E-2,-1.531839371E-2,-8.503675461E-2,8.713867080E-2
1.864536490E-1,9.589195251E-3,-2.485227585E-2,-8.685445786E-2,9.084759287E-2
1.912518260E-1,1.613950729E-2,-3.663349152E-2,-4.389286041E-2,5.940605686E-2
1.960500550E-1,3.036284447E-2,-9.279537201E-2,4.745674133E-2,1.085588582E-1
2.008482840E-1,5.698561668E-2,-1.622829437E-1,1.163349152E-1,2.076461577E-1
2.056464610E-1,1.264615059E-1,-2.190084457E-1,1.025905609E-1,2.729139699E-1
2.104446900E-1,1.963765621E-1,-2.541365623E-1,4.344844818E-2,3.240939896E-1
2.152429190E-1,2.293989658E-1,-2.679443359E-1,5.203533173E-2,3.565469512E-1
2.200410960E-1,2.212784290E-1,-2.305912971E-1,4.724693298E-2,3.230615455E-1
2.248393260E-1,1.632580757E-1,-2.042274475E-1,1.067018509E-1,2.823957057E-1
2.296375550E-1,9.818935394E-2,-1.295962334E-1,9.286689758E-2,1.872447425E-1
2.344357320E-1,1.663184166E-2,-5.884981155E-2,-7.270956039E-2,9.500841357E-2
2.392339610E-1,-4.866075516E-2,4.575872421E-2,-1.316838264E-1,1.476562226E-1
2.440321900E-1,-1.271028519E-1,1.440792084E-1,-1.593952179E-1,2.496413202E-1
2.488303670E-1,-1.934304237E-1,1.802287102E-1,-1.732902527E-1,3.161126832E-1
2.536285960E-1,-3.262829781E-1,2.706284523E-1,-1.341528893E-1,4.446316888E-1
2.584268260E-1,-4.525413513E-1,3.696985245E-1,-1.738214493E-2,5.846133873E-1
2.632250030E-1,-5.845737457E-1,4.887619019E-1,1.475429535E-1,7.761337411E-1
2.680232320E-1,-6.634802818E-1,5.851125717E-1,1.790199280E-1,9.025579985E-1
2.728214610E-1,-6.804773808E-1,5.836348534E-1,2.677984238E-1,9.356255146E-1
2.776196380E-1,-5.912244320E-1,3.447561264E-1,3.544969559E-1,7.707601491E-1
2.824178670E-1,-4.270794392E-1,6.287765503E-2,3.666152954E-1,5.663543252E-1
2.872160960E-1,-1.693220139E-1,-1.014723778E-1,3.340101242E-1,3.879811218E-1
2.920142740E-1,1.644730568E-2,-1.364326477E-1,3.777666092E-1,4.019850647E-1
2.968125030E-1,4.915738106E-2,-1.147522926E-1,3.483858109E-1,3.700773027E-1
3.016107320E-1,-2.185130119E-2,-6.562328339E-2,2.799406052E-1,2.883585218E-1
3.064089090E-1,-8.474588394E-2,-5.291032791E-2,2.740449905E-1,2.916882317E-1
