"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.960216000E-3,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
1.385365300E-2,-7.349848747E-2,2.015590668E-3,3.972005844E-2,8.356897336E-2
1.874755900E-2,-1.267859936E-1,2.394294739E-2,1.557378769E-1,2.022430201E-1
2.364136100E-2,-1.954805851E-1,-1.259160042E-1,6.007885933E-1,6.442161385E-1
2.853516400E-2,-3.001377583E-1,-2.777223587E-1,7.461690903E-1,8.508705505E-1
3.342896600E-2,-4.181411266E-1,-4.563827515E-1,8.089938164E-1,1.018625649E0
3.832276800E-2,-6.405165195E-1,-6.601758003E-1,8.389992714E-1,1.244995292E0
4.321651800E-2,-8.912739754E-1,-8.590269089E-1,6.752429008E-1,1.410053015E0
4.811032000E-2,-1.167885542E0,-1.136622429E0,3.990139961E-1,1.677819822E0
5.300412200E-2,-1.413938046E0,-1.301074028E0,2.503409386E-1,1.937700959E0
5.789792400E-2,-1.725045204E0,-1.347437859E0,1.274456978E-1,2.192626768E0
6.279172600E-2,-2.597268105E0,-8.497400284E-1,3.697252274E-2,2.732988600E0
6.768552800E-2,-2.499460220E0,-1.007197618E0,1.872134209E-1,2.701258466E0
7.257927800E-2,-2.148570061E0,-1.053447485E0,2.579712868E-1,2.406793322E0
7.747308000E-2,-1.702918053E0,-1.186647415E0,8.124685287E-2,2.077176698E0
8.236688200E-2,-1.368683338E0,-1.221545935E0,-2.049865723E-1,1.845938256E0
8.726068400E-2,-1.128075123E0,-1.217116833E0,-5.368518829E-1,1.744172242E0
9.215448600E-2,-1.067310333E0,-1.041568995E0,-8.876528740E-1,1.735495590E0
9.704828900E-2,-1.104024410E0,-6.984441280E-1,-1.313097954E0,1.852274368E0
1.019420390E-1,-1.706349373E0,2.114362717E-1,-1.843492985E0,2.520872838E0
1.068358410E-1,-1.908054829E0,6.003437042E-1,-2.445118427E0,3.159064722E0
1.117296430E-1,-2.016897917E0,9.313478470E-1,-3.019387722E0,3.748598169E0
1.166234450E-1,-2.023099899E0,1.200223446E0,-3.394017458E0,4.129506511E0
1.215172470E-1,-1.966005325E0,1.335815430E0,-3.508372068E0,4.237718062E0
1.264109970E-1,-1.865578890E0,1.326817989E0,-3.415750504E0,4.111955991E0
1.313047990E-1,-1.793595791E0,1.200712204E0,-3.242048502E0,3.894813750E0
1.361986010E-1,-1.741028547E0,9.584550858E-1,-3.039298534E0,3.631411865E0
1.410924030E-1,-1.676235199E0,6.629629135E-1,-2.806997776E0,3.335943762E0
1.459862050E-1,-1.559482098E0,2.963929176E-1,-2.503178120E0,2.964073864E0
1.508800070E-1,-1.449808359E0,-6.607937813E-2,-2.112815380E0,2.563259564E0
1.557738090E-1,-1.358431101E0,-3.981103897E-1,-1.646753788E0,2.171548981E0
1.606675590E-1,-1.206127405E0,-7.271704674E-1,-1.087793350E0,1.779554601E0
1.655613610E-1,-1.108798981E0,-1.031147480E0,-4.656252861E-1,1.584142422E0
1.704551640E-1,-1.386056900E0,-1.432274818E0,2.430229187E-1,2.007890690E0
1.753489660E-1,-1.347337961E0,-1.793389440E0,2.819690704E-1,2.260767971E0
1.802427680E-1,-8.324587345E-1,-2.016433239E0,5.322632790E-1,2.245505455E0
1.851365180E-1,-4.768893719E-1,-2.147915840E0,1.049374580E0,2.437653162E0
1.900303200E-1,-4.402287006E-1,-2.233049393E0,1.803181171E0,2.903751580E0
1.949241220E-1,-3.284304142E-1,-2.459981203E0,2.466177464E0,3.498771976E0
1.998179240E-1,-9.455800056E-2,-2.739146233E0,2.912713528E0,3.999470389E0
2.047117260E-1,8.167290688E-2,-2.954921722E0,3.185686111E0,4.345897934E0
2.096055280E-1,1.581811905E-1,-3.166616917E0,3.359280109E0,4.619225784E0
2.144992780E-1,2.337417603E-1,-3.254454851E0,3.487015724E0,4.775498953E0
2.193930800E-1,3.340899944E-1,-3.316290379E0,3.648962021E0,4.942096906E0
2.242868820E-1,4.510290623E-1,-3.386941910E0,3.860082150E0,5.155098148E0
2.291806840E-1,5.529668331E-1,-3.409230709E0,4.032067299E0,5.309067060E0
2.340744860E-1,6.018052101E-1,-3.411508560E0,4.240037918E0,5.475260881E0
2.389682890E-1,6.560795307E-1,-3.306886673E0,4.461559296E0,5.592088265E0
2.438620390E-1,7.495827675E-1,-3.251754761E0,4.723935127E0,5.783713896E0
2.487558410E-1,8.173708916E-1,-3.280099392E0,4.927575111E0,5.975629145E0
2.535556320E-1,8.960874081E-1,-3.354114771E0,4.997733116E0,6.085260458E0
2.583534970E-1,1.001969576E0,-3.400863647E0,5.007553101E0,6.135585109E0
2.631513610E-1,1.086996078E0,-3.392584324E0,5.028247833E0,6.162342504E0
2.679492260E-1,1.155759811E0,-3.341730356E0,4.995855331E0,6.120581100E0
2.727470910E-1,1.290289164E0,-3.227658272E0,4.925083160E0,6.028189461E0
2.775449030E-1,1.439772606E0,-3.156835079E0,4.823338509E0,5.941645163E0
2.823427680E-1,1.559031606E0,-3.116458178E0,4.660300255E0,5.819045419E0
2.871406320E-1,1.707405806E0,-3.068011761E0,4.427387238E0,5.650636115E0
2.919384970E-1,1.879717946E0,-2.992737055E0,4.200866699E0,5.489726374E0
2.967363610E-1,2.028784752E0,-2.888460398E0,3.919329643E0,5.274496743E0
3.015342260E-1,2.176592350E0,-2.764888525E0,3.630695343E0,5.056096467E0
3.063320390E-1,2.337884665E0,-2.685605288E0,3.318594933E0,4.867366104E0
3.111299030E-1,2.475454807E0,-2.557891846E0,2.992862701E0,4.650582151E0
3.159277680E-1,2.621322870E0,-2.460329294E0,2.635120392E0,4.457399837E0
3.207256320E-1,2.733731270E0,-2.380768061E0,2.290762901E0,4.288232490E0
3.255234970E-1,2.794681549E0,-2.269670248E0,2.006736755E0,4.121727842E0
3.303213610E-1,2.826076746E0,-2.167948961E0,1.798588753E0,3.990192223E0
3.351191740E-1,2.847017765E0,-2.057140112E0,1.622752190E0,3.869193749E0
3.399170390E-1,2.919137239E0,-1.951891899E0,1.379826546E0,3.772951829E0
3.447149030E-1,2.971366405E0,-1.857170582E0,1.087440491E0,3.668872811E0
3.495127680E-1,3.025629520E0,-1.789529324E0,8.407707214E-1,3.614380251E0
3.543106320E-1,3.068083763E0,-1.751077175E0,5.566930771E-1,3.576215378E0
3.591084450E-1,3.070810318E0,-1.680224538E0,2.995100021E-1,3.513223128E0
3.639063090E-1,3.067406178E0,-1.615161419E0,5.230712891E-2,3.467053952E0
3.687041740E-1,3.074556351E0,-1.548877001E0,-1.873521805E-1,3.447755438E0
3.735020390E-1,3.089716434E0,-1.502568722E0,-4.384908676E-1,3.463572527E0
3.782999030E-1,3.148527622E0,-1.433451533E0,-7.126436234E-1,3.532119820E0
3.830977680E-1,3.172819138E0,-1.431291819E0,-1.009455681E0,3.624138287E0
3.878955800E-1,3.217752457E0,-1.417200565E0,-1.290697575E0,3.745435695E0
3.926934450E-1,3.278791904E0,-1.388833642E0,-1.575291634E0,3.893697339E0
3.974913090E-1,3.334895134E0,-1.381610274E0,-1.858301640E0,4.060007080E0
4.022891740E-1,3.369910240E0,-1.397499323E0,-2.149022102E0,4.234099123E0
4.070870390E-1,3.349325180E0,-1.454866409E0,-2.461236000E0,4.403668707E0
4.118849030E-1,3.288315058E0,-1.463288426E0,-2.747135162E0,4.527800850E0
4.166827160E-1,3.132854700E0,-1.411549568E0,-2.964278221E0,4.538082869E0
4.214805800E-1,3.027745962E0,-1.302816510E0,-3.103899002E0,4.527556238E0
4.262784450E-1,2.940998554E0,-1.201920748E0,-3.221122265E0,4.524346873E0
4.310763090E-1,2.843475103E0,-1.149061680E0,-3.398845673E0,4.577973931E0
4.358741740E-1,2.739387274E0,-1.134093285E0,-3.525171280E0,4.606217838E0
4.406720390E-1,2.649215221E0,-1.135065556E0,-3.605545521E0,4.615915251E0
4.454698510E-1,2.643143177E0,-1.151533604E0,-3.678415060E0,4.673646633E0
4.502677160E-1,2.615509033E0,-1.149800062E0,-3.772423506E0,4.732241202E0
4.550655800E-1,2.537638664E0,-1.222066402E0,-3.896908760E0,4.808217358E0
4.598634450E-1,2.451891899E0,-1.317157984E0,-3.973892212E0,4.851649034E0
4.646613090E-1,2.404751062E0,-1.396459103E0,-4.013915539E0,4.883077273E0
4.694591740E-1,2.357077122E0,-1.414699078E0,-4.051109314E0,4.895781114E0
4.742570390E-1,2.388685465E0,-1.502173424E0,-4.081433296E0,4.961898930E0
4.790548510E-1,2.436884165E0,-1.605337143E0,-4.176633835E0,5.095074285E0
4.838527160E-1,2.505904436E0,-1.796597958E0,-4.239764214E0,5.242415650E0
4.886505800E-1,2.561903954E0,-1.938967586E0,-4.243901253E0,5.322935751E0
4.934484450E-1,2.582917690E0,-2.180886984E0,-4.632503510E0,5.734790371E0
4.982463090E-1,2.561054468E0,-2.950795889E0,-6.089742661E0,7.235410288E0
5.030441740E-1,2.648523092E0,-2.970020771E0,-5.610366821E0,6.878365636E0
5.078419860E-1,2.769081354E0,-2.714164734E0,-4.471011162E0,5.918145196E0
5.126398510E-1,2.958873034E0,-2.570977688E0,-2.943624258E0,4.902017918E0
5.174377160E-1,3.249916553E0,-2.683455944E0,-2.626555681E0,4.966053580E0
5.222355800E-1,3.522940159E0,-2.983592987E0,-2.529816389E0,5.264304839E0
5.270334450E-1,3.762553453E0,-3.349677563E0,-2.908948898E0,5.817141219E0
5.318313090E-1,3.719958544E0,-4.147201538E0,-3.234997272E0,6.442249570E0
5.366291220E-1,3.688995600E0,-4.596159458E0,-3.390998840E0,6.799429640E0
5.414269860E-1,3.734286308E0,-4.652963161E0,-3.367750406E0,6.851036652E0
5.462248510E-1,3.882153034E0,-4.554616928E0,-3.423404932E0,6.894588376E0
5.510227160E-1,4.052356243E0,-4.422142506E0,-3.611779451E0,7.001563130E0
5.558205800E-1,4.068356037E0,-4.254083633E0,-3.886585951E0,7.053672714E0
5.606184450E-1,3.920149326E0,-3.974479914E0,-4.182204247E0,6.975305992E0
5.654162570E-1,3.653258324E0,-3.552780628E0,-4.717291355E0,6.944161886E0
5.702141220E-1,3.357712984E0,-3.457722187E0,-5.406583309E0,7.243011962E0
5.750119860E-1,2.524613857E0,-3.397720575E0,-5.147754192E0,6.664649538E0
5.798098510E-1,1.336541176E0,-3.398920536E0,-4.672936916E0,5.930880419E0
5.846077160E-1,8.244438171E-1,-3.494332790E0,-5.041857719E0,6.189539443E0
5.894055800E-1,4.117870331E-2,-3.613259077E0,-4.707104683E0,5.934152959E0
5.942033930E-1,-8.810806274E-1,-3.690886021E0,-3.993336439E0,5.508691188E0
5.990012570E-1,-1.602233410E0,-3.892890692E0,-3.163555622E0,5.265912458E0
6.037991220E-1,-2.339684963E0,-4.101284027E0,-2.207769871E0,5.212379898E0
6.085969860E-1,-3.019152641E0,-4.258555412E0,-1.158770561E0,5.347272771E0
6.133948510E-1,-3.660033226E0,-4.251405239E0,6.237857342E-1,5.644413022E0
6.181927160E-1,-3.864028454E0,-4.140108585E0,1.799917221E0,5.942298965E0
6.229905280E-1,-3.906722546E0,-4.100388050E0,2.185642481E0,6.070642162E0
6.277883930E-1,-3.980226040E0,-4.258638859E0,3.019613743E0,6.564775047E0
6.325862570E-1,-4.041800976E0,-4.433036804E0,3.423164368E0,6.906954808E0
6.373841220E-1,-3.881385803E0,-4.762863159E0,3.415039301E0,7.029403577E0
6.421819860E-1,-3.779205322E0,-5.264299870E0,3.212350607E0,7.232872348E0
