"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.139334000E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
1.609511000E-2,6.956195831E-2,-1.210391521E-3,-1.185574532E-1,1.374634526E-1
2.089281900E-2,1.071629524E-1,1.343679428E-2,-1.651539803E-1,1.973329243E-1
2.569047500E-2,8.761215210E-2,7.245057821E-2,-1.201095581E-1,1.653822283E-1
3.048807900E-2,2.384519577E-2,8.362293243E-2,3.586769104E-3,8.703018501E-2
3.528573500E-2,-1.304321289E-1,1.537555456E-2,1.904139519E-1,2.313145499E-1
4.008339200E-2,-2.689695358E-1,-7.943928242E-2,4.131669998E-1,4.993617732E-1
4.488099600E-2,-3.500485420E-1,-1.787756681E-1,5.893149376E-1,7.083691248E-1
4.967865200E-2,-4.523468018E-1,-3.063771725E-1,6.174540520E-1,8.244598881E-1
5.447630800E-2,-9.743690491E-1,-6.795545816E-1,4.965820312E-1,1.287549295E0
5.927391300E-2,-5.409393311E-1,-5.996940136E-1,5.081815720E-1,9.541995493E-1
6.407156900E-2,-6.900644302E-2,-5.337842703E-1,6.187534332E-1,8.200874024E-1
6.886917300E-2,-2.971038818E-1,-7.288839817E-1,1.750583649E-1,8.063423631E-1
7.366682900E-2,2.508401871E-2,-4.418090582E-1,2.987508774E-1,5.339255928E-1
7.846448500E-2,2.827243805E-1,-3.358544111E-1,4.320325851E-1,6.159410811E-1
8.326214200E-2,3.424172401E-1,-3.274270296E-1,5.612773895E-1,7.345000572E-1
8.805974600E-2,2.901401520E-1,-4.582291842E-1,7.007417679E-1,8.861119107E-1
9.285740200E-2,7.086896896E-2,-6.245363951E-1,7.286014557E-1,9.622516307E-1
9.765505800E-2,-4.115529060E-1,-6.104792356E-1,7.733898163E-1,1.067797968E0
1.024526630E-1,-5.467553139E-1,-6.649535894E-1,5.764570236E-1,1.036053739E0
1.072503190E-1,-9.643692970E-1,-9.019497633E-1,-6.316862106E-1,1.463744850E0
1.120479750E-1,-6.220178604E-1,-8.663024902E-1,-2.130513191E-1,1.087555556E0
1.168455790E-1,-7.255473137E-1,-7.413998842E-1,-6.450939178E-2,1.039352757E0
1.216432350E-1,-7.459497452E-1,-5.141022205E-1,-5.988693237E-2,9.079254155E-1
1.264408920E-1,-7.649259567E-1,-1.875234842E-1,5.681324005E-2,7.896230244E-1
1.312384960E-1,-7.512407303E-1,1.479927301E-1,2.879314423E-1,8.180275047E-1
1.360361520E-1,-7.507848740E-1,2.922525406E-1,4.033422470E-1,9.009852622E-1
1.408338080E-1,-7.798023224E-1,2.710022926E-1,3.608970642E-1,9.009886767E-1
1.456314130E-1,-7.474436760E-1,1.573311090E-1,2.073698044E-1,7.914716435E-1
1.504290690E-1,-6.876468658E-1,5.400609970E-2,2.035522461E-2,6.900646391E-1
1.552267250E-1,-6.418995857E-1,1.025706530E-1,-2.520608902E-1,6.972019143E-1
1.600243290E-1,-4.923882484E-1,1.718027592E-1,-5.835924149E-1,7.826509324E-1
1.648219850E-1,-2.914447784E-1,2.992639542E-1,-8.582248688E-1,9.544888153E-1
1.696196420E-1,-2.529191971E-2,3.889838457E-1,-1.065722466E0,1.134774201E0
1.744172460E-1,1.770548820E-1,3.589975834E-1,-1.175523758E0,1.241806668E0
1.792149020E-1,3.177232742E-1,3.012012243E-1,-1.202029705E0,1.279275447E0
