"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.009397200E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
1.498740900E-2,5.644860268E-1,-1.527662277E-1,5.918731689E-1,8.320431737E-1
1.988110700E-2,1.562586904E0,-9.195618629E-1,1.384781361E0,2.281423080E0
2.477470100E-2,4.470841289E-1,-3.740844727E-1,1.042325497E0,1.194263728E0
2.966829500E-2,-2.318319082E-1,1.758185387E0,1.304982185E0,2.201803895E0
3.456188800E-2,-2.765742540E-1,1.560709476E0,8.938245773E-1,1.819678478E0
3.945543000E-2,-3.644661903E-1,1.144653797E0,6.988515854E-1,1.389770290E0
4.434907600E-2,-2.577300072E-1,4.287395477E-1,4.703445435E-1,6.866340699E-1
4.924267000E-2,-1.729106903E-1,-4.212679863E-1,2.595338821E-1,5.241399232E-1
5.413621100E-2,4.263341427E-2,-1.221759081E0,1.797628403E-1,1.235648631E0
5.902980500E-2,4.787321687E-1,-1.773193121E0,5.948543549E-2,1.837644375E0
6.392339900E-2,7.735142112E-1,-1.891359806E0,-2.699851990E-1,2.061178827E0
6.881699200E-2,8.937529325E-1,-1.636490822E0,-7.466020584E-1,2.008559471E0
7.371058600E-2,8.214053512E-1,-1.171814203E0,-1.348963737E0,1.966610903E0
7.860418000E-2,6.987952590E-1,-6.474461555E-1,-2.101741791E0,2.307557127E0
8.349777400E-2,7.089518309E-1,-1.443784237E-1,-2.789669037E0,2.881963075E0
8.839136700E-2,8.337851763E-1,5.185127258E-3,-3.260231495E0,3.365164781E0
9.328496100E-2,1.120325565E0,-7.785058022E-2,-3.476841450E0,3.653712708E0
9.817855500E-2,1.464121103E0,-7.645678520E-2,-3.265613079E0,3.579626381E0
1.030721490E-1,1.510167122E0,-4.959561825E-1,-3.285452843E0,3.649764054E0
1.079657420E-1,1.609165430E0,-8.748350143E-1,-3.400830269E0,3.862692869E0
1.128593360E-1,1.728350878E0,-1.388025641E0,-3.577219009E0,4.208361650E0
1.177529300E-1,1.853637218E0,-1.676593542E0,-3.614711046E0,4.394664127E0
1.226465240E-1,1.881703377E0,-2.256925583E0,-3.740690947E0,4.756815052E0
1.275401170E-1,2.253823519E0,-2.250832796E0,-3.635526180E0,4.833530732E0
1.324337110E-1,2.402825356E0,-2.674495697E0,-3.824131489E0,5.248854977E0
1.373273050E-1,2.843231916E0,-2.787217617E0,-3.810580969E0,5.511177469E0
1.422208990E-1,3.043312311E0,-2.999409199E0,-3.731891155E0,5.673201650E0
1.471144400E-1,2.638335943E0,-3.314333200E0,-3.568269491E0,5.538787618E0
1.520080340E-1,1.482105255E-2,-2.832003117E0,-1.659949780E0,3.282665774E0
1.569016280E-1,1.656631947E0,-3.615960121E0,-2.032130241E0,4.466447170E0
1.617952220E-1,-3.017902374E-3,-6.781229019E0,-3.418731689E-1,6.789841926E0
1.666888150E-1,5.196509361E-1,-7.147370815E0,-1.704330444E-1,7.168262976E0
1.715824090E-1,-8.890771866E-2,-7.743920803E0,3.013458252E-1,7.750291820E0
1.764760030E-1,-8.737504482E-1,-6.694070816E0,3.906884193E-1,6.762149168E0
1.813695970E-1,-7.331566811E-1,-2.695979357E0,2.118512630E0,3.506268555E0
1.862631900E-1,3.499114513E-1,-4.871271551E-1,3.586545944E0,3.636350189E0
1.911567840E-1,5.624089241E-1,6.948077679E-1,4.963082790E0,5.042940850E0
1.960503780E-1,-4.463651180E-1,1.190038085E0,5.657479286E0,5.798491557E0
2.009439720E-1,-1.541004896E0,1.058031797E0,5.300922394E0,5.620845630E0
2.058375650E-1,-2.215066910E0,6.642053723E-1,4.626014709E0,5.171818083E0
2.107311590E-1,-2.175296783E0,6.296266317E-1,4.414800644E0,4.961734628E0
2.156247530E-1,-1.984117270E0,9.656738043E-1,4.376500607E0,4.901326840E0
2.205183470E-1,-2.521060705E0,1.062369943E0,4.999329567E0,5.698918590E0
2.254119400E-1,-2.677620411E0,7.307721376E-1,4.494887829E0,5.282773474E0
2.303055340E-1,-2.820592403E0,1.070949793E0,4.182227135E0,5.156907869E0
2.351991280E-1,-3.181109190E0,1.227178097E0,4.442917824E0,5.600441103E0
2.400926700E-1,-2.504881144E0,7.187340260E-1,2.607048035E0,3.686150783E0
2.449863150E-1,-1.491495967E0,8.207582235E-1,2.077486992E0,2.685918182E0
2.498798570E-1,-2.666997433E0,9.676898122E-1,2.869330406E0,4.035140129E0
2.546786590E-1,-2.909394026E0,9.446280003E-1,2.070682526E0,3.693862718E0
2.594763150E-1,-2.371279001E0,1.370307088E0,1.516276360E0,3.130463163E0
2.642739720E-1,-2.102740765E0,1.402966499E0,9.884471893E-1,2.714196302E0
2.690716280E-1,-1.750526786E0,1.071666718E0,5.465898514E-1,2.124046621E0
2.738692840E-1,-1.281937003E0,2.889462113E-1,2.459220886E-1,1.336910643E0
2.786669400E-1,-7.886254787E-1,-4.774847925E-1,3.653650284E-1,9.916720611E-1
2.834645970E-1,-4.356329441E-1,-1.206031084E0,4.198274612E-1,1.349274670E0
2.882622530E-1,-7.314944267E-2,-1.459769964E0,8.003854752E-1,1.666402142E0
2.930599090E-1,5.043704510E-1,-1.419677258E0,1.035003662E0,1.827869155E0
2.978575650E-1,1.171868086E0,-1.582460165E0,4.626522064E-1,2.022746165E0
3.026552220E-1,1.796488762E0,-1.420631409E0,1.532144547E-1,2.295438986E0
3.074528780E-1,2.309939146E0,-8.807824850E-1,1.077423096E-1,2.474511073E0
3.122505340E-1,2.403739214E0,-2.345105708E-1,3.468408585E-1,2.439929507E0
3.170481900E-1,2.088775873E0,3.928325176E-1,8.278160095E-1,2.280916785E0
3.218458470E-1,1.430073738E0,1.022003412E0,1.348491192E0,2.215407494E0
3.266435030E-1,6.904625893E-1,1.355665207E0,1.714070797E0,2.291856330E0
3.314411590E-1,1.419792175E-1,1.265408516E0,1.838045120E0,2.236029220E0
3.362388150E-1,-2.802746296E-1,6.851059794E-1,1.369059563E0,1.556357336E0
3.410364200E-1,-1.446931362E-1,8.964598179E-3,1.002478600E-1,1.762557832E-1
3.458340760E-1,2.687530518E-1,-5.333001614E-1,-9.594950676E-1,1.130162842E0
3.506317320E-1,-6.738662720E-3,-1.289644361E0,-9.861989021E-1,1.623519714E0
3.554293880E-1,-3.027849197E-1,-1.837869644E0,-1.083514214E0,2.154865793E0
3.602270450E-1,-2.565326691E-1,-2.106076002E0,-1.371380806E0,2.526272046E0
3.650247010E-1,6.438174248E-1,-1.954011679E0,-2.472934246E0,3.216841044E0
3.698223570E-1,6.838932037E-1,-2.146958113E0,-1.769918919E0,2.865266485E0
3.746200130E-1,2.248797417E-1,-2.045295000E0,-9.913635254E-1,2.283988655E0
3.794176700E-1,-6.406741142E-1,-1.814987063E0,-4.804935455E-1,1.983813350E0
3.842153260E-1,-1.316342831E0,-1.735951781E0,-6.737031937E-1,2.280386596E0
3.890129820E-1,-1.634440660E0,-1.736264467E0,-1.162065029E0,2.652622420E0
3.938106380E-1,-1.791569233E0,-1.627495766E0,-1.619143009E0,2.912058871E0
3.986082950E-1,-2.075255632E0,-1.644840956E0,-1.889324188E0,3.252957669E0
4.034059510E-1,-2.463351488E0,-1.882076383E0,-1.943256855E0,3.658764719E0
4.082036070E-1,-2.796238899E0,-2.104500055E0,-1.601583004E0,3.848758317E0
4.130012630E-1,-2.971910954E0,-2.318404675E0,-9.339404106E-1,3.883233143E0
4.177989200E-1,-3.152280807E0,-2.627139330E0,-1.646246910E-1,4.106803701E0
4.225965760E-1,-3.214807272E0,-2.912802219E0,5.926938057E-1,4.378434482E0
4.273942320E-1,-3.190649986E0,-3.047966719E0,1.049407959E0,4.535593183E0
4.321918360E-1,-3.141324520E0,-3.083156109E0,1.516326904E0,4.655428940E0
4.369894920E-1,-2.984195709E0,-2.696420431E0,1.821905613E0,4.415364904E0
4.417871490E-1,-3.073912621E0,-2.540646553E0,2.001039028E0,4.461836046E0
4.465848050E-1,-3.041016102E0,-2.437372684E0,1.760743618E0,4.276538626E0
4.513824610E-1,-2.742485285E0,-2.214092016E0,1.276917934E0,3.748859614E0
4.561801170E-1,-2.344662905E0,-2.350643158E0,7.676820755E-1,3.407682961E0
4.609777740E-1,-2.051709652E0,-2.423826218E0,1.161161423E0,3.381233781E0
4.657754300E-1,-1.897916317E0,-2.387645245E0,1.211966515E0,3.282041894E0
4.705730860E-1,-1.733607769E0,-2.894685507E0,7.362084389E-1,3.453491414E0
4.753707420E-1,-1.227754116E0,-3.094552040E0,6.998610497E-1,3.401975601E0
4.801683990E-1,-6.868929863E-1,-3.406083584E0,9.241094589E-1,3.595442344E0
4.849660550E-1,-1.809177399E-1,-3.746405840E0,1.249842644E0,3.953529383E0
4.897637110E-1,6.564946175E-1,-3.774929762E0,1.759561062E0,4.216293991E0
4.945613670E-1,2.009842396E0,-3.318800211E0,2.222486496E0,4.471392123E0
4.993590240E-1,2.402875423E0,-3.261981487E0,1.557439804E0,4.340501384E0
5.041566800E-1,3.492856026E-1,-3.452075720E0,2.851380348E0,4.491012926E0
5.089543360E-1,-6.271362305E-3,-3.276208401E0,4.695575237E0,5.725557407E0
5.137519920E-1,-3.803887367E-1,-3.009601831E0,6.750281811E0,7.400588037E0
5.185496490E-1,-6.386561394E-1,-2.893371582E0,7.350703239E0,7.925422316E0
5.233473050E-1,-7.540445328E-1,-2.840144157E0,7.891781807E0,8.421117627E0
5.281449610E-1,-2.668414116E-1,-2.722829819E0,7.825632095E0,8.290085901E0
5.329425650E-1,4.799509048E-1,-2.875949860E0,7.729035854E0,8.260716416E0
5.377402220E-1,1.169313431E0,-3.285344124E0,8.010189056E0,8.736355569E0
5.425378780E-1,1.779407978E0,-3.433067322E0,8.105826378E0,8.980905592E0
5.473355340E-1,2.162600517E0,-3.273775578E0,8.007583618E0,8.917165633E0
5.521331900E-1,2.312440395E0,-3.509346962E0,9.084874153E0,1.000988687E1
5.569308470E-1,2.645238400E0,-3.607318401E0,9.833480835E0,1.080311888E1
5.617285030E-1,2.994582653E0,-3.219151497E0,9.661649704E0,1.061498642E1
5.665261590E-1,3.131492138E0,-2.883507729E0,9.584954262E0,1.048771701E1
5.713238150E-1,3.236404419E0,-2.767589092E0,9.376677513E0,1.029834667E1
5.761214720E-1,3.316880226E0,-2.591744423E0,9.070954323E0,1.000005230E1
5.809191280E-1,3.427439690E0,-2.368068695E0,8.844997406E0,9.776966364E0
5.857167840E-1,3.555303574E0,-2.087165356E0,8.652372360E0,9.584361751E0
5.905144400E-1,3.666491032E0,-1.801011086E0,8.426328659E0,9.364283853E0
5.953120970E-1,3.715710640E0,-1.528123856E0,8.090416908E0,9.033078868E0
6.001097530E-1,3.734076023E0,-1.268104076E0,7.710679054E0,8.660599470E0
6.049074090E-1,3.754880905E0,-9.874935150E-1,7.309503555E0,8.276660938E0
6.097050650E-1,3.796563148E0,-6.677618027E-1,6.906464100E0,7.909427535E0
6.145027220E-1,3.969319820E0,-4.263548851E-1,6.580234528E0,7.696542390E0
6.193003780E-1,4.307472706E0,-9.594440460E-2,6.288774967E0,7.623136955E0
6.240980340E-1,4.670775414E0,2.768983841E-1,5.855092049E0,7.494992900E0
6.288956900E-1,5.022730350E0,4.910268784E-1,5.151739597E0,7.211750720E0
6.336933470E-1,5.504410744E0,5.024509430E-1,4.336472034E0,7.025381434E0
6.384910030E-1,6.548755169E0,2.863674164E-1,3.667995453E0,7.511483955E0
6.432886070E-1,8.848300934E0,-4.198441505E-1,2.560712814E0,9.220951613E0
6.480862630E-1,9.900164604E0,-4.580645561E-1,1.158484459E0,9.978234742E0
6.528839200E-1,9.952291489E0,1.571307182E-1,2.851910591E-1,9.957616677E0
6.576815760E-1,1.059212875E1,6.836600304E-1,-7.072710991E-2,1.061440459E1
6.624792320E-1,1.208617401E1,1.027017593E0,-3.242413998E-1,1.213406362E1
6.672768880E-1,1.472288513E1,9.018716812E-1,-5.432825089E-1,1.476048356E1
6.720745450E-1,1.331653881E1,1.589936256E0,-4.522368908E-1,1.341874142E1
6.768722010E-1,1.160892296E1,2.037310123E0,-3.661391735E-1,1.179202199E1
6.816698570E-1,8.494481087E0,3.394871235E0,-6.796126366E-1,9.172962061E0
6.864675130E-1,5.562736511E0,5.061861038E0,-9.424357414E-1,7.579885210E0
6.912651700E-1,4.438102245E0,5.058941364E0,-1.998170376E0,7.020137044E0
6.960628260E-1,3.643705845E0,4.151599884E0,-2.086272240E0,5.904651195E0
7.008604820E-1,4.078130722E0,2.888219833E0,-1.355368376E0,5.177836172E0
7.056581380E-1,3.985744953E0,1.281938553E0,-9.794285297E-1,4.299861571E0
7.104557950E-1,4.360357761E0,4.964351654E-2,-3.077561855E-1,4.371486950E0
7.152534510E-1,4.150279999E0,-7.237195969E-1,2.171440363E0,4.739593587E0
7.200511070E-1,4.434487343E0,-9.884977341E-1,4.199278831E0,6.186739729E0
7.248487630E-1,4.581146240E0,-1.250586510E0,5.191694260E0,7.035947468E0
7.296464200E-1,4.593617916E0,-1.492693901E0,5.254942417E0,7.137498193E0
7.344440760E-1,4.631841183E0,-1.634072304E0,4.861441612E0,6.910698922E0
7.392417320E-1,4.698283672E0,-1.425750732E0,4.457098007E0,6.631165604E0
7.440393880E-1,4.652270317E0,-9.863052368E-1,4.249240398E0,6.377496459E0
7.488369920E-1,4.468263149E0,-3.692674637E-1,3.931952000E0,5.963386669E0
7.536346490E-1,4.243228912E0,1.447019577E-1,3.555142879E0,5.537596153E0
7.584323050E-1,4.177719116E0,5.008239746E-1,2.916602373E0,5.119641694E0
7.632299610E-1,4.157055855E0,6.467599869E-1,2.157617807E0,4.728078517E0
7.680276170E-1,4.199326992E0,8.207616806E-1,1.244283915E0,4.456034042E0
7.728252740E-1,4.143531799E0,9.529924393E-1,6.765356064E-1,4.305200435E0
7.776229300E-1,4.166546822E0,1.135646820E0,-3.442404270E-1,4.332240481E0
7.824205860E-1,4.166724205E0,1.207351685E0,-6.963565350E-1,4.393654642E0
7.872182420E-1,4.061775208E0,1.329062462E0,-8.770911694E-1,4.362764466E0
7.920158990E-1,2.332893562E1,-4.307573318E0,-3.539719582E0,2.398591336E1
7.968135550E-1,5.721727848E0,4.179636478E0,1.393022060E0,7.221360060E0
8.016112110E-1,1.787972641E1,-1.102905273E-1,-1.590662003E-1,1.788077410E1
8.064088670E-1,4.499660492E0,4.873273849E0,-1.436996460E0,6.786803473E0
8.112065240E-1,2.690297127E0,4.278113365E0,-3.209608555E0,5.986780409E0
8.160041800E-1,4.043871403E0,3.176721573E0,-4.683479309E0,6.955532640E0
8.208018360E-1,2.501604795E0,3.146268368E0,-5.287924767E0,6.642227001E0
8.255994920E-1,3.343755245E0,3.099137306E0,-4.342226028E0,6.296052578E0
8.303971490E-1,6.509062767E0,1.408174515E0,-3.021365404E0,7.312968103E0
8.351948050E-1,4.864717484E0,2.330173492E0,-2.359092712E0,5.887317142E0
8.399924610E-1,4.161386967E0,1.903358936E0,-2.041445494E0,5.010730130E0
8.447901170E-1,3.377870560E0,1.076514244E0,-1.589964747E0,3.885470413E0
8.495877740E-1,2.115070581E0,7.818155289E-1,-1.232400417E0,2.569741208E0
8.543853780E-1,8.325196505E-1,6.442079544E-1,-5.447597504E-1,1.185266233E0
8.591830340E-1,9.402847290E-2,3.694105148E-1,6.926131248E-2,3.874307830E-1
8.639806900E-1,-4.206975102E-1,6.260681152E-2,3.380541801E-1,5.433108104E-1
8.687783470E-1,-5.376847982E-1,-2.640800476E-1,2.611970901E-1,6.535037366E-1
8.735760030E-1,-5.984208584E-1,-3.365974426E-1,5.980386734E-1,9.105249129E-1
8.783736590E-1,-5.678021312E-1,-2.132682800E-1,6.686217785E-1,9.027390000E-1
8.831713150E-1,1.821876764E-1,-6.071271896E-1,6.011240482E-1,8.735822201E-1
8.879689720E-1,6.602853537E-1,-5.279922485E-1,4.326295853E-1,9.496951726E-1
8.927666280E-1,5.239903331E-1,-1.258420944E-1,1.412675381E-1,5.570983927E-1
8.975642840E-1,2.737912536E-1,4.508018494E-1,-4.210975170E-1,6.749126438E-1
9.023619400E-1,1.497035921E-1,1.135890007E0,-1.613256574E0,1.978700090E0
9.071595970E-1,2.979287803E-1,1.887341976E0,-2.337982416E0,3.019434230E0
9.119572530E-1,7.499743700E-1,2.674825668E0,-3.318452358E0,4.327733814E0
9.167549090E-1,9.687427282E-1,2.890530109E0,-3.457894802E0,4.609844168E0
9.215525650E-1,1.167914152E0,3.486813068E0,-3.942078114E0,5.390906111E0
9.263502220E-1,2.076555967E0,3.477962017E0,-3.675682068E0,5.469821125E0
9.311478780E-1,6.166568756E0,2.835769653E0,-3.208089352E0,7.507329554E0
9.359455340E-1,1.799106598E-3,2.891552925E0,-3.495123386E0,4.536184414E0
9.407431900E-1,3.038152456E-1,2.490858078E0,-1.927587032E0,3.164217034E0
9.455408470E-1,4.049003422E-1,1.869014740E0,-8.800119162E-1,2.105132147E0
9.503385030E-1,-5.075643659E-1,1.850911140E0,-1.161530375E0,2.243356068E0
9.551361590E-1,-7.176858783E-1,1.820886612E0,-1.042259336E0,2.217432208E0
9.599338150E-1,-1.084473848E0,1.590197563E0,-1.131350994E-1,1.928110829E0
9.647314720E-1,-1.288367271E0,1.753422260E0,2.716290951E-1,2.192752201E0
9.695291280E-1,-9.047790766E-1,2.899088860E0,-1.941568136E0,3.604584334E0
9.743267840E-1,-7.444465160E-1,3.615798950E0,-2.493403196E0,4.454802146E0
9.791243880E-1,-9.841933250E-1,3.843368530E0,-2.281911135E0,4.576815114E0
9.839220450E-1,-1.412962437E0,3.826858997E0,-1.976533413E0,4.532989848E0
9.887197010E-1,-1.785282612E0,3.736149788E0,-1.587085128E0,4.434511072E0
9.935173570E-1,-2.147292137E0,3.742955685E0,-1.184338212E0,4.474733264E0
9.983150130E-1,-2.290206909E0,3.620772839E0,-8.712099791E-1,4.371961855E0
1.003112670E0,-2.415505409E0,3.572763443E0,-6.597285271E-1,4.362859926E0
1.007910326E0,-2.296402693E0,3.643866539E0,-3.470799923E-1,4.321075468E0
1.012707982E0,-2.204831362E0,3.573859215E0,-1.819007397E-1,4.203193893E0
1.017505638E0,-2.095076084E0,3.325585842E0,-1.126894951E-1,3.932119519E0
1.022303295E0,-2.241214991E0,3.256694317E0,7.520675659E-2,3.954081254E0
1.027100951E0,-2.385900497E0,3.113698483E0,3.099684715E-1,3.934935816E0
1.031898607E0,-2.636570454E0,3.146412849E0,5.289626122E-1,4.138987681E0
1.036696263E0,-2.664947510E0,3.234466076E0,5.580821037E-1,4.227903932E0
1.041493920E0,-2.866167545E0,3.384281158E0,5.311820507E-1,4.466590392E0
1.046291576E0,-2.779712677E0,3.285900593E0,5.202071667E-1,4.335269400E0
1.051089232E0,-2.609083652E0,3.095365047E0,4.856357574E-1,4.077308471E0
1.055886888E0,-2.283137083E0,2.798888683E0,5.665960312E-1,3.656162450E0
1.060684545E0,-2.069374561E0,2.930409908E0,6.316292286E-1,3.642604671E0
1.065482201E0,-1.917283773E0,3.068843365E0,4.195480347E-1,3.642773287E0
1.070279857E0,-1.797905445E0,3.156967640E0,3.656268120E-1,3.651382154E0
1.075077513E0,-1.351905823E0,2.945200443E0,2.748942375E-1,3.252294858E0
1.079875170E0,-1.014614820E0,2.932894707E0,1.861927509E-1,3.109016297E0
1.084672826E0,-8.677067757E-1,3.019438267E0,5.521297455E-1,3.189791490E0
1.089470482E0,-2.006585598E-1,2.834043503E0,1.691870689E-1,2.846171235E0
1.094268138E0,8.004755974E-1,3.062978268E0,-9.825873375E-2,3.167373017E0
1.099065742E0,1.716114521E0,3.393004894E0,-3.624939919E-2,3.802478834E0
1.103863451E0,1.900726795E0,3.399579525E0,1.117246151E-1,3.896458095E0
1.108661055E0,1.366609573E0,3.113887787E0,1.596724987E-1,3.404322867E0
1.113458711E0,7.641537189E-1,2.974306107E0,1.108544350E0,3.264858082E0
1.118256367E0,-1.142571926E0,2.583707809E0,3.867954969E0,4.789790423E0
1.123054024E0,-3.003977776E0,-4.504613876E-1,9.584195137E0,1.005403374E1
1.127851680E0,-2.560763836E0,-2.474289894E0,1.481508923E1,1.523701056E1
1.132649336E0,7.862589359E-1,-2.333192825E0,6.626324654E-1,2.549720310E0
1.137446992E0,3.275346279E0,3.619681358E0,-5.685106277E0,7.493358377E0
1.142244649E0,3.171667337E0,8.839932442E0,-4.499807835E0,1.041403619E1
1.147042305E0,3.151969671E0,7.537832737E0,-5.056214333E0,9.608284891E0
1.151839961E0,3.392638683E0,4.301594734E0,-5.211560249E0,7.561354027E0
1.156637617E0,2.986315727E0,3.737954140E0,-2.449128866E0,5.374813018E0
1.161435274E0,2.647301197E0,3.822471142E0,2.402853966E-2,4.649738340E0
1.166232930E0,2.667421341E0,2.995085239E0,8.821592331E-1,4.106565124E0
1.171030586E0,3.015390873E0,2.222491264E0,8.358397484E-1,3.838056490E0
1.175828242E0,3.320840836E0,2.188045979E0,9.294047356E-1,4.084032593E0
1.180625899E0,3.087071896E0,2.237020969E0,1.510429382E0,4.100691725E0
1.185423555E0,2.818773746E0,1.599017143E0,2.217532158E0,3.926804061E0
1.190221211E0,2.726619720E0,9.236679077E-1,2.764900684E0,3.991527690E0
1.195018867E0,3.333720684E0,8.734703064E-1,8.151552677E-1,3.541344672E0
1.199816524E0,3.772855282E0,1.482627392E0,-3.187212944E-1,4.066227272E0
1.204614180E0,3.707663059E0,1.908943176E0,-4.109913111E-1,4.190434735E0
