"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.578336000E-3,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
9.471773000E-3,8.835792542E-4,-8.703529835E-3,-2.846717834E-2,2.978107431E-2
1.417338800E-2,1.523256302E-3,-1.928522810E-2,-4.262638092E-2,4.681077529E-2
1.897099200E-2,6.946682930E-3,-2.837795392E-2,-4.253292084E-2,5.160052352E-2
2.376854400E-2,1.377224922E-2,-4.252630472E-2,-2.033519745E-2,4.910887595E-2
2.856604400E-2,2.274668217E-2,-6.222059578E-2,2.545642853E-2,7.097072525E-2
3.336359600E-2,4.279732704E-2,-9.009648860E-2,7.402801514E-2,1.242140712E-1
3.816114800E-2,6.566870213E-2,-1.265394986E-1,1.081762314E-1,1.789601078E-1
4.295870000E-2,9.015572071E-2,-1.675467789E-1,1.388368607E-1,2.355326962E-1
4.775620000E-2,1.038782597E-1,-2.051053047E-1,1.624698639E-1,2.815232415E-1
5.255375200E-2,1.121697426E-1,-2.337391973E-1,1.928548813E-1,3.231239216E-1
5.735130400E-2,1.128567457E-1,-2.564586401E-1,2.273387909E-1,3.608193523E-1
6.214880400E-2,1.170166731E-1,-2.693359852E-1,2.546749115E-1,3.887082264E-1
6.694635700E-2,1.106151342E-1,-2.682357728E-1,2.664852142E-1,3.939549558E-1
7.174390900E-2,9.167850018E-2,-2.492156923E-1,2.658834457E-1,3.757757515E-1
7.654140900E-2,6.038880348E-2,-2.148596346E-1,2.489099503E-1,3.343166665E-1
8.133896100E-2,8.099675179E-3,-1.609514058E-1,2.207412720E-1,2.733087428E-1
8.613651300E-2,-6.912410259E-2,-9.694468975E-2,1.839265823E-1,2.191013513E-1
9.093401300E-2,-1.683301926E-1,-2.716454864E-2,1.567344666E-1,2.316002147E-1
9.573156500E-2,-2.799044847E-1,4.836985469E-2,1.407413483E-1,3.170083446E-1
1.005291170E-1,-3.946530819E-1,1.274839342E-1,1.512527466E-1,4.414528309E-1
1.053266690E-1,-4.991126060E-1,1.917414516E-1,1.893825531E-1,5.672247607E-1
1.101241690E-1,-5.802011490E-1,2.370991260E-1,2.517938614E-1,6.754624471E-1
1.149217210E-1,-6.271693707E-1,2.526103258E-1,3.286085129E-1,7.517559118E-1
1.197192730E-1,-6.314220428E-1,2.300273180E-1,4.081850052E-1,7.862705398E-1
1.245167730E-1,-5.821375847E-1,1.661952436E-1,4.701538086E-1,7.665178603E-1
1.293143250E-1,-4.897594452E-1,6.929332018E-2,5.177688599E-1,7.160659681E-1
1.341118770E-1,-3.699531555E-1,-5.211275816E-2,5.607910156E-1,6.738454126E-1
1.389093770E-1,-2.403812408E-1,-1.834637821E-1,6.085100174E-1,6.795046295E-1
1.437069290E-1,-1.162176132E-1,-3.056401908E-1,6.513080597E-1,7.287829914E-1
1.485044820E-1,-2.123641968E-2,-4.002692103E-1,6.729402542E-1,7.832719911E-1
1.533019820E-1,3.302693367E-2,-4.563040733E-1,6.807708740E-1,8.202153184E-1
1.580995340E-1,4.194664955E-2,-4.652352333E-1,6.980743408E-1,8.399470989E-1
1.628970860E-1,3.406953812E-2,-4.627763629E-1,7.104721069E-1,8.485831192E-1
1.676945860E-1,1.069688797E-2,-4.764690399E-1,6.602182388E-1,8.142636504E-1
1.724921380E-1,-2.564811707E-2,-4.960688353E-1,5.907983780E-1,7.718709987E-1
1.772896900E-1,-7.352781296E-2,-4.930861592E-1,5.605239868E-1,7.501516110E-1
1.820871900E-1,-1.218721867E-1,-4.676448107E-1,5.727796555E-1,7.494137926E-1
1.868847420E-1,-1.720404625E-1,-4.433198571E-1,5.964727402E-1,7.628303522E-1
1.916822940E-1,-1.882913113E-1,-4.293549061E-1,5.528955460E-1,7.249087791E-1
1.964798460E-1,-1.314446926E-1,-4.483328462E-1,5.628662109E-1,7.315042171E-1
2.012773460E-1,5.280637741E-2,-5.621578693E-1,6.735897064E-1,8.789386077E-1
2.060748980E-1,1.254730225E-1,-7.018200755E-1,8.016357422E-1,1.072806954E0
2.108724500E-1,1.790282726E-1,-8.084648848E-1,7.339630127E-1,1.106511770E0
2.156699500E-1,2.785274982E-1,-8.401474953E-1,5.095949173E-1,1.021328723E0
2.204675020E-1,3.927977085E-1,-8.077417612E-1,2.849168777E-1,9.422921096E-1
2.252650540E-1,5.029962063E-1,-7.228488922E-1,8.888530731E-2,8.851080738E-1
2.300625540E-1,5.760648251E-1,-5.462758541E-1,-3.119211197E-1,8.529729048E-1
2.348601070E-1,6.253693104E-1,-4.060602188E-1,-2.717151642E-1,7.935999030E-1
2.396576590E-1,6.729419231E-1,-3.134431839E-1,1.379613876E-1,7.550700669E-1
2.444551590E-1,7.392966747E-1,-2.536197901E-1,6.540775299E-1,1.019166319E0
