"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.033203900E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
1.503506000E-2,-8.608222008E-3,1.548957825E-2,-1.905155182E-2,2.601903432E-2
1.983334100E-2,-3.533244133E-2,5.188941956E-2,-2.953529358E-2,6.937742312E-2
2.463151900E-2,-9.459137917E-2,1.197915077E-1,-2.592563629E-2,1.548214228E-1
2.942969600E-2,-1.777760983E-1,2.030687332E-1,-7.169246674E-2,2.792508931E-1
3.422787300E-2,-2.481204271E-1,2.783989906E-1,-5.587530136E-2,3.770832715E-1
3.902610200E-2,-3.049117327E-1,3.420128822E-1,-4.265642166E-2,4.601777338E-1
4.382427900E-2,-3.413939476E-1,3.851776123E-1,-4.936122894E-2,5.170572032E-1
4.862245600E-2,-3.656415939E-1,3.862071037E-1,-2.677583694E-2,5.325097629E-1
5.342063300E-2,-3.725957870E-1,3.386869431E-1,3.854560852E-2,5.049972573E-1
5.821881000E-2,-3.484200239E-1,2.547049522E-1,3.912792206E-1,5.825551941E-1
6.301703900E-2,-2.629315853E-1,1.362314224E-1,5.353531837E-1,6.117965760E-1
6.781521600E-2,-1.592818499E-1,2.210521698E-2,5.943546295E-1,6.157245926E-1
7.261339400E-2,-1.237848997E-1,-4.464626312E-2,5.697612762E-1,5.847596960E-1
7.741157100E-2,-1.735535860E-1,-7.660818100E-2,5.728168488E-1,6.034142879E-1
8.220980000E-2,-1.960282326E-1,-1.029930115E-1,6.926903725E-1,7.272238861E-1
8.700797700E-2,-1.732141972E-1,-1.369171143E-1,8.209304810E-1,8.501037048E-1
9.180615400E-2,-1.097607613E-1,-1.676988602E-1,9.090552330E-1,9.308876136E-1
9.660433100E-2,-2.489733696E-2,-1.778373718E-1,1.045936584E0,1.061239533E0
1.014025600E-1,1.140974760E-1,-1.871337891E-1,1.006196022E0,1.029790136E0
1.062007370E-1,3.968947530E-1,-2.038865089E-1,6.778802872E-1,8.115521161E-1
1.109989140E-1,7.392387390E-1,-2.253298759E-1,1.989011765E-1,7.980032232E-1
1.157970910E-1,9.730083942E-1,-2.268605232E-1,-8.474445343E-2,1.002692702E0
1.205953210E-1,9.970882535E-1,-1.895723343E-1,-2.363357544E-1,1.042102319E0
1.253934980E-1,1.082020044E0,-1.032466888E-1,-5.738201141E-1,1.229104055E0
1.301916750E-1,1.150437474E0,-7.326126099E-3,-9.568748474E-1,1.496385488E0
1.349898520E-1,1.153118253E0,8.014345169E-2,-1.137261391E0,1.621563489E0
1.397880290E-1,1.154756308E0,1.197633743E-1,-1.290675163E0,1.735986110E0
1.445862580E-1,1.124677181E0,1.432180405E-1,-1.300666332E0,1.725439966E0
1.493844350E-1,1.097324371E0,1.482954025E-1,-1.352009773E0,1.747581966E0
1.541826120E-1,1.042697430E0,1.727695465E-1,-1.277012825E0,1.657657685E0
1.589808410E-1,9.287217259E-1,2.094001770E-1,-1.068147182E0,1.430842717E0
1.637790190E-1,7.869086266E-1,2.464747429E-1,-8.798880577E-1,1.205893022E0
1.685771960E-1,6.015199423E-1,3.026928902E-1,-7.228307724E-1,9.878934924E-1
1.733753730E-1,3.006490171E-1,3.585529327E-1,-5.582523346E-1,7.284200067E-1
1.781735500E-1,-1.086397842E-1,3.917245865E-1,-3.734331131E-1,5.519991343E-1
1.829717790E-1,-4.826717079E-1,4.530248642E-1,-1.842999458E-1,6.871462546E-1
1.877699560E-1,-6.715139151E-1,6.177935600E-1,-6.711769104E-2,9.149342082E-1
1.925681330E-1,-7.310503125E-1,8.872842789E-1,3.417205811E-2,1.150163328E0
1.973663100E-1,-8.673962951E-1,1.291773796E0,2.599196434E-1,1.577534182E0
2.021645390E-1,-8.526924849E-1,1.620592117E0,3.746819496E-1,1.869168224E0
2.069627160E-1,-6.751012206E-1,1.715401649E0,3.456692696E-1,1.875593698E0
2.117608940E-1,-5.034051538E-1,1.684947491E0,2.390079498E-1,1.774708313E0
2.165590710E-1,-3.448528051E-1,1.573776722E0,1.711006165E-1,1.620176549E0
2.213573000E-1,-2.586829066E-1,1.439103127E0,1.249423027E-1,1.467496247E0
2.261554770E-1,-2.275000364E-1,1.222078800E0,1.284022331E-1,1.249687959E0
2.309536540E-1,-1.999521852E-1,9.565725327E-1,2.414741516E-1,1.006638789E0
2.357518310E-1,-1.821646541E-1,6.504740715E-1,4.571495056E-1,8.156507521E-1
2.405500080E-1,-1.504167616E-1,3.339323997E-1,7.715883255E-1,8.540987026E-1
2.453482370E-1,-7.840342820E-2,8.213853836E-2,1.140670300E0,1.146308235E0
2.501464140E-1,5.355831981E-2,-1.267871857E-1,1.439806938E0,1.446370459E0
2.549445910E-1,1.684894264E-1,-4.136409760E-1,1.665843964E0,1.724680740E0
2.597427690E-1,9.452089667E-2,-6.221082211E-1,2.082475662E0,2.175467242E0
2.645409980E-1,1.946964860E-2,-5.326917171E-1,2.476172447E0,2.532897456E0
2.693391750E-1,-2.769112587E-3,-3.244006634E-1,2.567592621E0,2.588006052E0
2.741373520E-1,-4.183454812E-2,-2.078685760E-1,2.472114563E0,2.481191223E0
2.789355290E-1,-2.219990492E-1,-1.298563480E-1,2.388153076E0,2.401961982E0
2.837337580E-1,-4.647868276E-1,-1.943802834E-2,2.282717705E0,2.329636184E0
2.885319350E-1,-6.495591998E-1,1.445245743E-1,2.113559723E0,2.215840520E0
2.933301120E-1,-7.408728004E-1,2.613966465E-1,1.888090134E0,2.045019576E0
2.981282890E-1,-8.470114470E-1,1.073296070E-1,1.531247139E0,1.753187336E0
3.029265190E-1,-9.387106895E-1,-1.987807751E-1,1.183224678E0,1.523388392E0
3.077246960E-1,-9.992758632E-1,-5.383477211E-1,9.280519485E-1,1.466168796E0
3.125228730E-1,-9.179936051E-1,-5.030336380E-1,9.411573410E-1,1.407669081E0
3.173210500E-1,-8.462951183E-1,-5.587608814E-1,1.161669731E0,1.542045951E0
3.221192790E-1,-7.635815144E-1,-6.939444542E-1,1.331627846E0,1.684591450E0
3.269174560E-1,-6.439961791E-1,-8.673388958E-1,1.473089218E0,1.826745654E0
3.317156330E-1,-4.920069873E-1,-9.938108921E-1,1.591593742E0,1.939819993E0
3.365138100E-1,-3.845078349E-1,-1.147165179E0,1.726393700E0,2.108143598E0
3.413120390E-1,-3.402566612E-1,-1.308019519E0,1.765130997E0,2.223145765E0
3.461102160E-1,-3.222762346E-1,-1.424947262E0,1.756627083E0,2.284748428E0
3.509083940E-1,-2.659494579E-1,-1.452226996E0,1.751237869E0,2.290529729E0
3.557065710E-1,-7.147419453E-2,-1.368597031E0,1.770329475E0,2.238801654E0
3.605047480E-1,1.625887454E-1,-1.238693714E0,1.763625145E0,2.161289168E0
3.653029770E-1,3.639947176E-1,-1.140105009E0,1.778205872E0,2.143442957E0
3.701011540E-1,5.613597631E-1,-1.047495842E0,1.784907341E0,2.144356906E0
3.748993310E-1,7.852050662E-1,-1.049246669E0,1.702887535E0,2.148788385E0
3.796975080E-1,9.611864090E-1,-1.190231442E0,1.603576660E0,2.216300590E0
3.844957370E-1,1.041195869E0,-1.283977032E0,1.640773773E0,2.329125250E0
3.892939140E-1,1.058357835E0,-1.174584627E0,1.656756401E0,2.290111815E0
3.940920910E-1,1.084222555E0,-9.301005602E-1,1.580700874E0,2.130549426E0
3.988902690E-1,1.128413439E0,-7.057297230E-1,1.453872681E0,1.971070040E0
4.036884980E-1,1.154752374E0,-4.871225357E-1,1.347820282E0,1.840478449E0
4.084866750E-1,1.141040325E0,-2.914354801E-1,1.305091858E0,1.757888626E0
4.132848520E-1,1.093766093E0,-1.309456825E-1,1.337041855E0,1.732383318E0
4.180830290E-1,1.053425789E0,-2.249002457E-2,1.440791130E0,1.784962401E0
4.228812580E-1,1.036515117E0,2.425551414E-2,1.618308067E0,1.921945087E0
4.276794350E-1,1.024864793E0,-9.289741516E-3,1.750510216E0,2.028477300E0
4.324776120E-1,9.707413912E-1,-1.180565357E-1,1.932682037E0,2.165995395E0
4.372757890E-1,8.931445479E-1,-2.616360188E-1,2.112377167E0,2.308310613E0
4.420740190E-1,8.226781487E-1,-3.834102154E-1,2.280290604E0,2.454287670E0
4.468721960E-1,8.949568868E-1,-4.626340866E-1,2.288617134E0,2.500549242E0
4.516703730E-1,1.002249479E0,-5.100946426E-1,2.383192062E0,2.635204920E0
4.564685500E-1,9.403700829E-1,-6.275541782E-1,2.619549751E0,2.853096745E0
4.612667270E-1,8.502223492E-1,-7.416267395E-1,2.809679985E0,3.027736759E0
4.660649560E-1,7.566204667E-1,-8.245077133E-1,2.987882614E0,3.190568917E0
4.708631330E-1,6.769697070E-1,-8.652508259E-1,3.069603920E0,3.260278393E0
4.756613100E-1,5.857645869E-1,-8.787732124E-1,3.120265961E0,3.294149689E0
4.804594870E-1,4.842723012E-1,-8.680701256E-1,3.207139015E0,3.357648890E0
4.852577160E-1,3.401936293E-1,-8.437747955E-1,3.309444427E0,3.432216489E0
4.900558940E-1,1.748091280E-1,-8.093183041E-1,3.392455101E0,3.492034645E0
4.948540710E-1,-3.167808056E-2,-7.607903481E-1,3.426526070E0,3.510112015E0
4.996522480E-1,-2.712625563E-1,-8.001847267E-1,3.450800896E0,3.552732159E0
5.044504770E-1,-6.161792278E-1,-8.072144985E-1,3.489500999E0,3.634265994E0
5.092486540E-1,-9.784175158E-1,-8.794593811E-1,3.604014397E0,3.836622135E0
5.140468310E-1,-1.320008993E0,-1.018471956E0,3.760077477E0,4.113136455E0
5.188450080E-1,-1.667263150E0,-1.249571562E0,3.933089256E0,4.450886046E0
5.236432370E-1,-2.104191542E0,-1.632899523E0,4.069795609E0,4.863868747E0
5.284414140E-1,-2.410672188E0,-1.883399487E0,4.224710464E0,5.216005419E0
5.332395910E-1,-2.623403788E0,-1.913496017E0,4.321641922E0,5.405580759E0
5.380377690E-1,-2.804193974E0,-1.776970387E0,4.283143044E0,5.419081281E0
5.428359980E-1,-2.991539478E0,-1.577305317E0,4.101429939E0,5.315912721E0
