"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.090559000E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
1.579902800E-2,1.292471886E-1,-5.249166489E-2,3.151893616E-2,1.430162717E-1
2.069303800E-2,7.087564468E-2,-1.974720955E-1,-1.238875389E-1,2.436528428E-1
2.558694400E-2,-9.892416000E-2,1.749763489E-1,-1.333637238E-1,2.412231227E-1
3.048085000E-2,-6.953334808E-2,1.722230911E-1,-2.108097076E-2,1.869226764E-1
3.537475700E-2,-5.817937851E-2,8.485698700E-2,4.245233536E-2,1.113002655E-1
4.026861100E-2,-7.439088821E-2,-6.816482544E-2,5.422401428E-2,1.145455866E-1
4.516251700E-2,-1.767330170E-1,-1.645312309E-1,-6.622409821E-2,2.503811423E-1
5.005642300E-2,-5.633068085E-1,-5.387401581E-2,-5.177450180E-1,7.669920950E-1
5.495033000E-2,-1.007299900E0,2.826995850E-1,-8.338842392E-1,1.337884550E0
5.984423600E-2,-1.664755344E0,3.830432892E-1,-1.283372402E0,2.136627539E0
6.473814200E-2,-1.746770382E0,4.648756981E-1,-1.016232491E0,2.073654903E0
6.963199600E-2,-1.747184753E0,5.188393593E-1,-8.105010986E-1,1.994683151E0
7.452590300E-2,-2.252210140E0,8.250422478E-1,-1.740661860E0,2.963620916E0
7.941980900E-2,-3.027471542E0,1.348437786E0,-2.372410297E0,4.075806549E0
8.431371500E-2,-3.481968880E0,1.588547707E0,-1.403906107E0,4.076584778E0
8.920762100E-2,-4.016109467E0,1.802141190E0,-8.452329636E-1,4.482328288E0
9.410147500E-2,-4.650625229E0,1.876944542E0,-5.933194160E-1,5.050075619E0
9.899538200E-2,-5.187379360E0,1.773426056E0,-5.101733208E-1,5.505835215E0
1.038892880E-1,-5.496109009E0,1.650729179E0,-5.461239815E-1,5.764579123E0
1.087831940E-1,-5.613001823E0,1.503398895E0,-6.963229179E-1,5.852423713E0
1.136771000E-1,-5.558631897E0,1.356194496E0,-7.415490150E-1,5.769536118E0
1.185710070E-1,-5.242191315E0,1.128028870E0,-5.824179649E-1,5.393721312E0
1.234649130E-1,-4.721546173E0,9.220099449E-1,-4.523918629E-1,4.831951883E0
1.283587670E-1,-4.170227051E0,6.589426994E-1,-3.735470772E-1,4.238459219E0
1.332526730E-1,-3.596249580E0,4.518165588E-1,-2.527875900E-1,3.633325035E0
1.381465800E-1,-3.064498901E0,6.693029404E-2,-1.358053684E-1,3.068236673E0
1.430404860E-1,-2.603038788E0,-4.010019302E-1,-1.470510960E-1,2.637847134E0
1.479343920E-1,-2.247108459E0,-7.938995361E-1,1.667037010E-1,2.389050654E0
1.528282460E-1,-1.810848236E0,-1.289263248E0,3.249514103E-1,2.246545009E0
1.577221530E-1,-1.287702560E0,-1.825367451E0,3.212988377E-1,2.256851160E0
1.626160590E-1,-7.736225128E-1,-2.395563602E0,5.578873158E-1,2.578459816E0
1.675099650E-1,-2.923555374E-1,-2.896262169E0,8.469700813E-1,3.031693360E0
1.724038710E-1,1.980514526E-1,-3.277953148E0,1.095154285E0,3.461728488E0
1.772977780E-1,8.574528694E-1,-3.651905060E0,1.221246004E0,3.945006691E0
1.821916320E-1,1.667867661E0,-4.093125343E0,1.161129713E0,4.569866499E0
1.870855380E-1,2.444142342E0,-4.677589417E0,9.900386333E-1,5.369716103E0
1.919794440E-1,3.212768078E0,-5.286294937E0,8.314859867E-1,6.241647365E0
1.968733500E-1,3.964828491E0,-5.814685345E0,8.114440441E-1,7.084410495E0
2.017672570E-1,4.598113060E0,-6.473949432E0,6.795330048E-1,7.969719573E0
2.066611110E-1,5.095569134E0,-7.204748631E0,6.988990307E-1,8.852213705E0
2.115550170E-1,5.542422295E0,-8.014896393E0,7.918641567E-1,9.776709974E0
2.164489230E-1,6.004911423E0,-8.667025566E0,1.057724833E0,1.059693707E1
2.213428300E-1,6.259701729E0,-9.097498894E0,1.445954561E0,1.113728587E1
2.262367360E-1,6.394028187E0,-9.253713608E0,1.820489645E0,1.139425270E1
2.311306420E-1,6.549251080E0,-9.247714996E0,1.920169115E0,1.149347518E1
2.360244960E-1,6.572906494E0,-9.081744194E0,1.908011079E0,1.137196921E1
2.409184030E-1,6.474765778E0,-8.767358780E0,1.910599470E0,1.106524117E1
2.458123090E-1,6.231624603E0,-8.479616165E0,1.861704111E0,1.068657933E1
2.507062150E-1,5.832637310E0,-8.342768669E0,1.553979158E0,1.029739279E1
2.555065800E-1,5.383118153E0,-8.286545753E0,9.992456436E-1,9.931933016E0
2.603044960E-1,4.953599930E0,-8.241133690E0,7.243507504E-1,9.642568163E0
2.651024650E-1,4.475871086E0,-8.246110916E0,8.744614124E-1,9.423186827E0
2.699004340E-1,4.113500595E0,-8.213555336E0,1.335750580E0,9.282650915E0
2.746984030E-1,3.736402750E0,-8.047735214E0,2.143900871E0,9.128146501E0
2.794963710E-1,3.654430389E0,-7.851823807E0,2.862867355E0,9.121513474E0
2.842943400E-1,3.352017879E0,-7.605183601E0,3.522020578E0,9.026597943E0
2.890923090E-1,3.011515141E0,-7.237999916E0,4.013483524E0,8.807151425E0
2.938902250E-1,2.614553452E0,-6.865117073E0,4.406260490E0,8.566262527E0
2.986881940E-1,2.229924202E0,-6.413523197E0,4.679878235E0,8.246641864E0
3.034861630E-1,1.772165298E0,-6.317843914E0,4.803194046E0,8.131813734E0
3.082841320E-1,1.143148899E0,-6.414954185E0,5.140543461E0,8.299615273E0
3.130821000E-1,5.402946472E-1,-6.784860611E0,5.277441025E0,8.612643937E0
3.178800690E-1,-2.193965912E-1,-7.184133053E0,5.384374619E0,8.980612040E0
3.226779860E-1,-1.073764324E0,-7.462877274E0,5.437391281E0,9.295844823E0
3.274759550E-1,-2.039338112E0,-7.666820526E0,5.173069000E0,9.470991490E0
3.322739230E-1,-3.212378502E0,-7.583633423E0,5.494618893E0,9.900591311E0
