"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.824760000E-3,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
1.071887400E-2,2.646446228E-5,-1.382646561E-1,-4.221248627E-1,4.441919805E-1
1.561319700E-2,-1.421720982E-1,-3.927898407E-2,-1.803059578E-1,2.329506010E-1
2.050741600E-2,-2.225437164E-1,-2.095985413E-1,-1.110124588E-2,3.059092870E-1
2.540158300E-2,-3.286616802E-1,-2.617869377E-1,5.370054245E-1,6.818546229E-1
3.029580100E-2,-7.086081505E-1,-1.680798531E-1,5.139679909E-1,8.913694204E-1
3.519002000E-2,-1.062707424E0,-2.070107460E-1,4.155058861E-1,1.159674808E0
4.008423900E-2,-1.466314793E0,5.645895004E-2,-7.851123810E-2,1.469500153E0
4.497840600E-2,-1.785150528E0,4.320988655E-1,-5.111298561E-1,1.906495625E0
4.987262400E-2,-1.924171925E0,7.560462952E-1,-7.626523972E-1,2.203561271E0
5.476684300E-2,-2.000512600E0,9.375309944E-1,-1.028800011E0,2.437097554E0
5.966106200E-2,-2.059407234E0,9.322805405E-1,-1.251733303E0,2.584016529E0
6.455522800E-2,-1.970374107E0,7.795410156E-1,-1.679232121E0,2.703678759E0
6.944944700E-2,-1.776833534E0,6.978259087E-1,-1.755998611E0,2.593767440E0
7.434366600E-2,-1.509236336E0,7.436676025E-1,-1.516294241E0,2.264946809E0
7.923783300E-2,-1.299700260E0,3.534259796E-1,-1.823836803E0,2.267269586E0
8.413205100E-2,-1.625768661E0,3.796882629E-1,-1.671157122E0,2.362213590E0
8.902627000E-2,-2.450047970E0,9.640259743E-1,-1.955223083E-1,2.640134486E0
9.392043700E-2,-2.556047440E0,1.324123383E0,2.419137955E-1,2.888806593E0
9.881465600E-2,-2.074215412E0,1.374160290E0,1.837406158E-1,2.494884104E0
1.037088740E-1,-1.729564190E0,1.338855743E0,1.080221653E0,2.439427353E0
1.086030930E-1,-1.506500721E0,1.128853321E0,1.406070709E0,2.349657227E0
1.134972600E-1,-1.297666550E0,9.229445457E-1,1.696235180E0,2.326580945E0
1.183914780E-1,-1.057799816E0,4.919676781E-1,1.456346035E0,1.865989395E0
1.232856970E-1,-9.219393730E-1,1.528973579E-1,1.109846115E0,1.450899104E0
1.281798640E-1,-7.433390617E-1,-3.426012993E-1,4.453415871E-1,9.318034879E-1
1.330740830E-1,-3.603277206E-1,-1.069365501E0,-4.736018181E-1,1.223796276E0
1.379683010E-1,1.342101097E-1,-1.811236382E0,-1.303766012E0,2.235709149E0
1.428624680E-1,6.592864990E-1,-2.511738300E0,-1.989131927E0,3.271105899E0
1.477566870E-1,1.121825695E0,-2.938333511E0,-2.410470247E0,3.962658644E0
1.526509060E-1,1.897018909E0,-3.897555828E0,-3.674949408E0,5.682858024E0
1.575451240E-1,1.922607422E0,-4.313365459E0,-3.850323200E0,6.093154325E0
1.624392910E-1,1.814640522E0,-4.109262943E0,-3.569585085E0,5.737673731E0
1.673335100E-1,1.966506958E0,-3.825215101E0,-2.941411972E0,5.210693291E0
1.722277280E-1,2.363060951E0,-4.017431259E0,-2.425029278E0,5.254005898E0
1.771219470E-1,2.531404495E0,-3.646148205E0,-1.947380781E0,4.847132901E0
1.820161140E-1,2.480279922E0,-3.274843693E0,-8.478426933E-1,4.194666487E0
1.869103330E-1,2.652204037E0,-3.144605398E0,5.320954323E-2,4.114068621E0
1.918045510E-1,2.920900583E0,-3.266661644E0,4.011566639E-1,4.400416478E0
1.966987180E-1,2.966080666E0,-3.710412502E0,2.522563934E-1,4.756934805E0
