"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.278257100E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
1.767600900E-2,1.623027325E-1,-2.901489735E-1,-6.166172028E-2,3.381283359E-1
2.257001900E-2,1.725318432E-1,-3.564488888E-1,-5.010652542E-2,3.991662700E-1
2.746387300E-2,7.525968552E-2,1.977434158E-1,-2.194614410E-1,3.048438992E-1
3.235772700E-2,1.576468945E-1,5.664393902E-1,-4.916152954E-1,7.664148516E-1
3.725163400E-2,4.873886108E-1,7.381973267E-1,-5.086712837E-1,1.020406500E0
4.214548800E-2,8.890409470E-1,9.219007492E-1,-4.766554832E-1,1.366563298E0
4.703934200E-2,1.074499369E0,1.275229454E0,-5.002808571E-1,1.740988222E0
5.193324800E-2,1.187090039E0,1.516095161E0,-5.524086952E-1,2.003218078E0
5.682710200E-2,1.323582888E0,1.648582935E0,-2.378759384E-1,2.127506126E0
6.172095600E-2,1.539622903E0,1.531424999E0,1.867151260E-1,2.179578801E0
6.661486300E-2,1.897590041E0,1.325154305E0,5.440115929E-1,2.377568192E0
7.150871700E-2,2.146939516E0,1.084897041E0,7.772784233E-1,2.527946325E0
7.640257100E-2,2.234832287E0,9.048171043E-1,8.969140053E-1,2.572474310E0
8.129647700E-2,2.351105213E0,7.028336525E-1,7.249641418E-1,2.558758268E0
8.619033100E-2,2.278889179E0,7.138080597E-1,4.182066917E-1,2.424408108E0
9.108418600E-2,1.802495003E0,7.158212662E-1,-2.584505081E-2,1.939602095E0
9.597809200E-2,1.236467957E0,2.869849205E-1,-1.427955627E-1,1.277342525E0
1.008719460E-1,7.237282395E-1,-3.094606400E-1,-3.438634872E-1,8.589473501E-1
1.057658000E-1,2.973919809E-1,-7.633557320E-1,-7.696151733E-1,1.124038024E0
1.106597060E-1,1.502602696E-1,-1.498234510E0,-1.780419827E0,2.331776052E0
1.155535610E-1,-4.184420109E-1,-1.732614517E0,-2.004034519E0,2.682014380E0
1.204474150E-1,-8.529655337E-1,-1.908065796E0,-2.095168114E0,2.959390935E0
1.253412690E-1,-9.272817373E-1,-1.858143330E0,-2.425529480E0,3.193077091E0
1.302351750E-1,-9.744196534E-1,-1.757567167E0,-2.450221062E0,3.168930302E0
1.351290290E-1,-2.121927977E0,-2.069712877E0,1.830786228E0,3.483973012E0
1.400228840E-1,-1.403743029E0,-1.730245113E0,-2.517370224E0,3.361754823E0
1.449167900E-1,-1.381312728E0,-1.455779791E0,-1.087317467E0,2.282450202E0
1.498106440E-1,-1.213700891E0,-1.447639704E0,-7.084054947E-1,2.017565094E0
1.547044980E-1,-8.823210001E-1,-1.271351099E0,-1.341579914E0,2.048087066E0
1.595984040E-1,-7.307807207E-1,-1.249290705E0,-1.473020077E0,2.065080113E0
1.644922590E-1,-7.083758116E-1,-1.232914448E0,-1.495965481E0,2.063925155E0
1.693861130E-1,-7.597556114E-1,-1.257225990E0,-1.686711311E0,2.236703116E0
1.742800190E-1,-1.064912200E0,-1.207647085E0,-1.807939053E0,2.420969453E0
1.791738730E-1,-1.368212342E0,-1.232671738E0,-1.789895773E0,2.568114387E0
1.840677270E-1,-1.588891387E0,-1.023024559E0,-1.620555878E0,2.489449024E0
1.889616340E-1,-1.449346900E0,-6.405558586E-1,-1.473953724E0,2.164129808E0
1.938554880E-1,-6.357218027E-1,-7.858443260E-1,-2.166522503E0,2.390713967E0
1.987493420E-1,1.629316807E-1,-6.553769112E-1,-2.367006063E0,2.461459594E0
2.036432480E-1,8.521453142E-1,-6.270058155E-1,-2.239515305E0,2.476836032E0
2.085371020E-1,1.295268059E0,-6.307194233E-1,-2.020372868E0,2.481417510E0
2.134309560E-1,1.376287699E0,-8.151535988E-1,-2.628803492E0,3.077214815E0
2.183248630E-1,1.548140645E0,-1.111363888E0,-2.603511810E0,3.226475305E0
2.232187170E-1,1.467172980E0,-1.375041485E0,-2.484385014E0,3.196170292E0
2.281125710E-1,9.656816721E-1,-1.427212596E0,-2.771223783E0,3.263304789E0
2.330064770E-1,3.549137115E-1,-1.357951045E0,-2.621751785E0,2.973815261E0
2.379003310E-1,-2.783946991E-1,-5.056171417E-1,4.731521606E-1,7.463412555E-1
2.427941860E-1,-7.411408424E-1,3.651256561E-1,1.024751663E-1,8.325308720E-1
2.476880400E-1,-1.157774210E0,1.136448622E0,1.031893730E0,1.922696352E0
2.525819460E-1,-2.844633102E0,2.167264462E0,4.145219803E0,5.474652496E0
2.573821020E-1,-3.642623663E0,2.333460569E0,4.727715015E0,6.408200578E0
2.621800710E-1,-2.171298027E0,1.375670910E0,1.476904392E0,2.964498635E0
2.669779880E-1,-1.693862200E0,3.275251389E-1,2.514853477E-1,1.743469744E0
2.717759040E-1,-2.179757357E0,-2.514626980E-1,-3.433151245E-1,2.220909925E0
2.765738730E-1,-2.348420858E0,-7.009096146E-1,-1.616817951E0,2.936061155E0
2.813717900E-1,-1.826062560E0,-9.706794024E-1,-2.893166065E0,3.556280762E0
2.861697060E-1,-9.401855469E-1,-9.198538065E-1,-3.530000925E0,3.767092568E0
2.909676230E-1,4.213786125E-2,-5.440069437E-1,-3.749469995E0,3.788963500E0
