"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.955696000E-3,-1.976156235E-2,-4.712789133E-2,-2.511692047E-2,5.694222670E-2
1.465772800E-2,-5.045795441E-2,-9.811185300E-2,-2.372264862E-2,1.128481498E-1
1.945548800E-2,-8.371114731E-2,-1.436567307E-1,-4.144668579E-3,1.663189428E-1
2.425324900E-2,-1.241092682E-1,-1.791140437E-1,3.023910522E-2,2.199985332E-1
2.905100900E-2,-1.728181839E-1,-2.034975290E-1,5.240249634E-2,2.720723996E-1
3.384876900E-2,-2.208251953E-1,-2.072551250E-1,5.913639069E-2,3.085701970E-1
3.864647800E-2,-2.559514046E-1,-1.934014559E-1,5.029296875E-2,3.247223850E-1
4.344423800E-2,-2.860894203E-1,-1.707710624E-1,2.695178986E-2,3.342698179E-1
4.824199900E-2,-2.967767715E-1,-1.425852478E-1,-1.893329620E-2,3.297961108E-1
5.303975900E-2,-2.960128784E-1,-1.141516864E-1,-1.016168594E-1,3.331369355E-1
5.783751900E-2,-2.799277306E-1,-7.720834017E-2,-2.084145546E-1,3.574315161E-1
6.263522800E-2,-2.483668327E-1,-3.089392185E-2,-3.471608162E-1,4.279733056E-1
6.743298800E-2,-1.534848213E-1,7.472175360E-2,-5.136518478E-1,5.412754859E-1
7.223074900E-2,-7.410144806E-2,1.858644187E-1,-6.804394722E-1,7.092492383E-1
7.702850900E-2,-1.128101349E-2,2.446401715E-1,-8.018193245E-1,8.383855342E-1
8.182621700E-2,3.706932068E-2,2.091628909E-1,-9.188289642E-1,9.430641097E-1
8.662397800E-2,5.268621445E-2,1.498973966E-1,-1.072009087E0,1.083719774E0
9.142173800E-2,6.778955460E-2,9.639909863E-2,-1.151908398E0,1.157921054E0
9.621949900E-2,3.065156937E-2,5.514740944E-2,-1.104372025E0,1.106172827E0
1.010172590E-1,-4.292726517E-2,-1.018518209E-2,-1.051244259E0,1.052169654E0
1.058149670E-1,-1.348342896E-1,-9.070998430E-2,-1.007672787E0,1.020692428E0
1.106127280E-1,-3.443408012E-1,-1.694890857E-1,-9.927577972E-1,1.064361396E0
1.154104880E-1,-5.235056877E-1,-2.298282385E-1,-9.000782967E-1,1.066311476E0
1.202082490E-1,-6.423664093E-1,-2.693374157E-1,-7.625546455E-1,1.032795640E0
1.250059570E-1,-7.191953659E-1,-2.832692862E-1,-6.179909706E-1,9.896445334E-1
1.298037170E-1,-7.593150139E-1,-2.781680822E-1,-4.885473251E-1,9.447831821E-1
1.346014780E-1,-7.702088356E-1,-2.738826275E-1,-3.588871956E-1,8.927672503E-1
1.393992380E-1,-7.451739311E-1,-2.869575024E-1,-2.326622009E-1,8.317214050E-1
1.441969990E-1,-6.804275513E-1,-3.169956207E-1,-9.990406036E-2,7.572639549E-1
1.489947070E-1,-5.954699516E-1,-3.680529594E-1,2.815246582E-2,7.005997471E-1
1.537924670E-1,-4.859824181E-1,-4.324765205E-1,1.452546120E-1,6.665686415E-1
1.585902280E-1,-3.920059204E-1,-5.307446718E-1,2.474532127E-1,7.046925860E-1
1.633879880E-1,-2.638573647E-1,-6.382870674E-1,3.475828171E-1,7.732043094E-1
1.681856960E-1,-1.162180901E-1,-7.100392580E-1,4.579420090E-1,8.528618153E-1
1.729834570E-1,3.606271744E-2,-7.506389618E-1,5.946216583E-1,9.582975984E-1
1.777812170E-1,1.707592010E-1,-7.711656094E-1,7.748398781E-1,1.106450152E0
1.825789780E-1,2.889728546E-1,-7.867995501E-1,9.961576462E-1,1.301878988E0
1.873767380E-1,3.873314857E-1,-8.074321747E-1,1.242394924E0,1.531508258E0
1.921744460E-1,4.864974022E-1,-8.403785229E-1,1.458732128E0,1.752374163E0
1.969722070E-1,5.811052322E-1,-8.693708181E-1,1.659414291E0,1.961413954E0
2.017699670E-1,6.753215790E-1,-8.906973600E-1,1.853555202E0,2.164501770E0
2.065677280E-1,7.704024315E-1,-9.056973457E-1,2.037647247E0,2.359197722E0
2.113654360E-1,9.310655594E-1,-7.937617302E-1,2.291763306E0,2.597906813E0
2.161631960E-1,1.148780346E0,-5.314407349E-1,2.570563793E0,2.865296451E0
2.209609570E-1,1.238200188E0,-3.805619478E-1,2.671094894E0,2.968621740E0
2.257587170E-1,1.169326782E0,-3.898515701E-1,2.626897335E0,2.901706219E0
2.305564780E-1,1.108622074E0,-4.659892321E-1,2.534569263E0,2.805393060E0
2.353541860E-1,1.130986214E0,-5.263288021E-1,2.430307388E0,2.731766063E0
2.401519460E-1,1.182310104E0,-4.955298901E-1,2.331634521E0,2.660813146E0
2.449497070E-1,1.244345665E0,-3.840758801E-1,2.255070686E0,2.604084141E0
2.497474670E-1,1.304520607E0,-2.504932880E-1,2.184922695E0,2.557031108E0
2.545452280E-1,1.393453598E0,-1.420327425E-1,2.130370140E0,2.549580978E0
2.593429360E-1,1.471391201E0,-4.615116119E-2,2.089630127E0,2.556105644E0
2.641406960E-1,1.558146954E0,5.385601521E-2,2.058769703E0,2.582490095E0
2.689384570E-1,1.577226639E0,1.251310110E-1,1.966407299E0,2.523897642E0
2.737362170E-1,1.549890995E0,1.331356764E-1,1.810811520E0,2.387242251E0
2.785339260E-1,1.531629086E0,1.003170013E-1,1.650601864E0,2.253982624E0
2.833316860E-1,1.555617809E0,6.245195866E-2,1.521908283E0,2.177166011E0
2.881294460E-1,1.631084442E0,6.624329090E-2,1.422759533E0,2.165425898E0
2.929272070E-1,1.748545647E0,1.200577021E-1,1.325759888E0,2.197604380E0
2.977249670E-1,1.893740177E0,2.015248537E-1,1.234276772E0,2.269427962E0
3.025226760E-1,2.047433376E0,2.982527018E-1,1.153372288E0,2.368798374E0
3.073204360E-1,2.195163250E0,3.863959312E-1,1.092503071E0,2.482258341E0
3.121181960E-1,2.320075989E0,4.614776373E-1,1.044230938E0,2.585755684E0
3.169159570E-1,2.437837124E0,5.312029123E-1,1.047404766E0,2.705971752E0
3.217136650E-1,2.530779362E0,6.026628017E-1,1.123331070E0,2.833711228E0
3.265114260E-1,2.526122570E0,6.354031563E-1,1.143984795E0,2.844948790E0
3.313091860E-1,2.437038898E0,6.132098436E-1,1.127299786E0,2.754267545E0
3.361069460E-1,2.294579029E0,5.599107742E-1,1.129595280E0,2.618124995E0
3.409046550E-1,2.107364655E0,5.131795406E-1,1.214259148E0,2.485712032E0
3.457024150E-1,1.876756191E0,4.915614128E-1,1.379720688E0,2.380646047E0
3.505001760E-1,1.606587410E0,4.903271198E-1,1.572705746E0,2.301075217E0
3.552979360E-1,1.305634022E0,5.051395893E-1,1.781227589E0,2.265528178E0
3.600956960E-1,9.899978638E-1,5.457916260E-1,1.989193916E0,2.287985294E0
3.648934050E-1,6.499567032E-1,6.097359657E-1,2.183368206E0,2.358244768E0
3.696911650E-1,3.020319939E-1,7.038521767E-1,2.372067928E0,2.492656709E0
3.744889260E-1,-3.272628784E-2,8.020768166E-1,2.561271191E0,2.684121521E0
3.792866860E-1,-3.544845581E-1,8.714518547E-1,2.719735146E0,2.877854565E0
3.840844460E-1,-6.489143372E-1,9.335694313E-1,2.824433565E0,3.044678417E0
3.888821550E-1,-9.299440384E-1,1.037522554E0,2.871742249E0,3.191888549E0
3.936799150E-1,-1.204279900E0,1.210517883E0,2.865046263E0,3.335286151E0
3.984776760E-1,-1.457180023E0,1.460458517E0,2.805464745E0,3.482376363E0
4.032754360E-1,-1.678574562E0,1.788021088E0,2.687567234E0,3.638358092E0
4.080731440E-1,-1.891530037E0,2.182038307E0,2.496666670E0,3.817397217E0
4.128709050E-1,-2.099827766E0,2.602956295E0,2.246633530E0,4.028898154E0
4.176686650E-1,-2.328137398E0,3.008781195E0,1.970299006E0,4.284281292E0
4.224664260E-1,-2.560363770E0,3.374286652E0,1.676844597E0,4.555554943E0
4.272641860E-1,-2.804451942E0,3.691341877E0,1.382223845E0,4.837509515E0
4.320618940E-1,-3.073853493E0,3.947948456E0,1.145711899E0,5.132984323E0
4.368596550E-1,-3.344705582E0,4.144476891E0,1.010175467E0,5.420719380E0
4.416574150E-1,-3.596049309E0,4.267518520E0,9.634270668E-1,5.663168430E0
4.464551760E-1,-3.835387230E0,4.303936005E0,9.540853500E-1,5.843315770E0
4.512529360E-1,-4.076742172E0,4.280488968E0,9.536957741E-1,5.987649637E0
4.560506440E-1,-4.324294090E0,4.230507374E0,9.488892555E-1,6.123487800E0
4.608484050E-1,-4.570468903E0,4.142089367E0,9.311344624E-1,6.238036686E0
4.656461650E-1,-4.810578346E0,4.015775204E0,9.033104181E-1,6.331199272E0
4.704439260E-1,-5.052061081E0,3.875638962E0,8.955245018E-1,6.430074857E0
4.752416340E-1,-5.276623726E0,3.726844549E0,9.222728014E-1,6.525543300E0
4.800393940E-1,-5.459021568E0,3.576956272E0,9.554806948E-1,6.596095513E0
4.848371550E-1,-5.599991798E0,3.447679043E0,9.426558018E-1,6.643417711E0
4.896349150E-1,-5.687963486E0,3.376616001E0,8.517960310E-1,6.669334353E0
4.944326240E-1,-5.704333305E0,3.377217770E0,6.986616850E-1,6.665819265E0
4.992303840E-1,-5.640205383E0,3.427484751E0,4.778164625E-1,6.617240894E0
5.040281440E-1,-5.494007111E0,3.489296675E0,2.099698782E-1,6.511788753E0
5.088259050E-1,-5.259713173E0,3.544476032E0,-8.676838875E-2,6.343139740E0
5.136236650E-1,-4.945664406E0,3.572876453E0,-3.826780319E-1,6.113222149E0
5.184213740E-1,-4.564848900E0,3.568736553E0,-6.675078869E-1,5.832606008E0
5.232191340E-1,-4.137288094E0,3.521695614E0,-9.218608737E-1,5.510836619E0
5.280168940E-1,-3.665970802E0,3.435641050E0,-1.213235736E0,5.168647047E0
5.328146550E-1,-3.163387299E0,3.319182873E0,-1.480854869E0,4.818394472E0
5.376123630E-1,-2.627481461E0,3.181133986E0,-1.887945533E0,4.537357226E0
5.424101240E-1,-2.027867317E0,3.026048422E0,-2.422290325E0,4.374552014E0
5.472078840E-1,-1.315651894E0,2.821581841E0,-3.280966759E0,4.522942279E0
5.520056440E-1,-5.304946899E-1,2.600068569E0,-4.320086479E0,5.070002798E0
5.568034050E-1,2.708597183E-1,2.340652227E0,-5.447456837E0,5.935217252E0
5.616011130E-1,1.007459641E0,2.024739265E0,-6.490969181E0,6.873661683E0
5.663988740E-1,1.627137661E0,1.658990860E0,-7.178231716E0,7.544987622E0
5.711966340E-1,2.102165222E0,1.265985250E0,-7.237893581E0,7.642572916E0
5.759943940E-1,2.421186447E0,9.132070541E-1,-6.669606209E0,7.154001532E0
5.807921550E-1,2.598015785E0,5.759291649E-1,-5.715272903E0,6.304421051E0
